시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11110,창신동,창신쌍용1,79.87,8,1992,2026,3,7,43000,0,,,,,702
11110,창신동,MID그린(2동),54.72,3,2002,2026,3,9,30000,0,,,,,601-1
11110,인의동,효성쥬얼리시티,92.81,15,2006,2026,3,28,69000,0,갱신,26.06~27.12,69000,,48-2
11110,필운동,신동아블루아광화문의꿈,111.97,5,2007,2026,3,12,95000,0,신규,26.04~28.04,,,254
11110,인의동,효성쥬얼리시티,106.81,13,2006,2026,3,9,70770,0,갱신,26.03~27.03,67400,,48-2
11110,홍파동,경희궁자이(2단지),84.9895,7,2017,2026,3,10,127000,0,신규,26.04~28.04,,,199
11110,창신동,창신쌍용1,54.7,11,1992,2026,3,10,32000,0,갱신,26.06~28.06,32000,,702
11110,사직동,광화문스페이스본(101동~105동),121.37,13,2008,2026,3,30,118000,0,갱신,26.05~28.05,105000,,9
11110,홍파동,경희궁자이(2단지),84.8359,18,2017,2026,3,3,130000,0,신규,26.04~28.04,,,199
11110,평창동,삼성,84.93,3,1998,2026,3,21,45000,0,신규,26.05~28.05,,,596
11110,홍파동,경희궁자이(2단지),84.9895,4,2017,2026,3,24,130000,0,신규,26.06~28.06,,,199
11110,인의동,효성쥬얼리시티,84.64,12,2006,2026,3,19,72000,0,신규,26.05~28.05,,,48-2
11110,숭인동,종로청계힐스테이트,84.9478,19,2009,2026,3,21,52500,0,갱신,26.04~28.04,50000,,766
11110,무악동,경희궁롯데캐슬,59.6737,7,2019,2026,3,19,78750,0,갱신,26.04~28.04,75000,,89
11110,창신동,MID그린(3동),58.91,1,2002,2026,3,21,23000,0,신규,26.06~28.06,,,601-2
11110,무악동,인왕산아이파크,84.858,11,2008,2026,3,21,80000,0,신규,26.06~28.06,,,60
11110,창신동,동대문맨션,89.55,9,1973,2026,3,13,27000,0,신규,26.04~28.04,,,578-5
11110,무악동,경희궁롯데캐슬,84.8792,3,2019,2026,3,28,80000,0,갱신,26.04~28.04,80000,,89
11110,평동,경희궁자이(3단지),84.614,8,2017,2026,3,6,118000,0,신규,26.05~28.05,,,233
11110,내수동,경희궁의아침3단지,174.55,15,2004,2026,3,4,185000,0,신규,26.03~28.03,,,72
11110,내수동,세종로대우,109.91,10,1994,2026,3,28,95000,0,신규,26.06~28.06,,,167
11110,홍파동,경희궁자이(2단지),84.9339,5,2017,2026,3,27,124000,0,갱신,26.04~28.04,119000,,199
11110,평창동,롯데낙천대,133.34,2,2001,2026,3,10,85000,0,신규,26.05~28.05,,,72
11110,숭인동,종로센트레빌,84.92,8,2008,2026,3,31,60000,0,신규,26.04~28.08,,,2-1
11110,창신동,창신쌍용1,54.7,8,1992,2026,3,4,36750,0,갱신,26.04~28.04,35000,,702
11110,무악동,현대,114.9,9,2000,2026,3,27,75000,0,갱신,26.03~28.03,35000,95,82
11110,평동,경희궁자이(3단지),84.614,7,2017,2026,3,18,113400,0,갱신,26.07~28.07,108000,,233
11110,창신동,창신쌍용1,79.87,8,1992,2026,3,7,43000,0,갱신,26.04~28.04,41000,,702
11110,창신동,창신쌍용1,106.62,8,1992,2026,3,24,52500,0,갱신,26.04~28.04,50000,,702
11110,평창동,삼성,59.97,8,1998,2026,3,20,40950,0,갱신,26.05~28.05,39000,,596
11110,무악동,경희궁롯데캐슬,104.445,5,2019,2026,3,17,129000,0,갱신,26.06~28.06,125000,,89
11110,숭인동,롯데캐슬천지인,84.95,9,2004,2026,3,19,67000,0,갱신,26.03~28.03,65000,,76
11110,홍파동,경희궁자이(2단지),84.9443,3,2017,2026,3,19,130000,0,신규,26.04~28.04,,,199
11110,인의동,효성쥬얼리시티,141.04,19,2006,2026,3,17,97000,0,갱신,26.06~28.06,95000,,48-2
11110,창신동,창신쌍용1,79.87,12,1992,2026,3,6,46000,0,신규,26.04~28.04,,,702
11110,창신동,동대문,28.8,5,1966,2026,3,7,15000,0,신규,26.04~28.04,,,328-17
11110,익선동,현대뜨레비앙,48.54,4,2003,2026,3,16,30000,0,신규,26.06~28.06,,,55
11110,창신동,창신이수,84.5,9,2003,2026,3,10,53000,0,신규,26.05~28.05,,,23-816
11110,창신동,창신쌍용2,64.66,10,1993,2026,3,14,38000,0,신규,26.05~28.05,,,703
11110,창신동,동대문,28.8,5,1966,2026,3,7,15000,0,신규,26.04~28.04,,,328-17
11110,창신동,일우,59.3,4,2002,2026,3,13,26000,0,갱신,26.03~28.03,25000,,602
11110,내수동,경희궁의아침4단지,124.17,10,2004,2026,3,12,140000,0,갱신,26.05~28.05,140000,,73
11110,숭인동,블루버드숭인,27.3,15,2023,2026,3,10,35500,0,갱신,26.03~27.09,35500,,202-10
11110,무악동,현대,114.9,6,2000,2026,3,11,80000,0,신규,26.03~28.03,,,82
11110,창신동,창신쌍용2,54.7,3,1993,2026,3,2,38000,0,신규,26.07~28.07,,,703
11110,창신동,창신쌍용1,79.87,11,1992,2026,3,7,43000,0,신규,26.05~28.05,,,702
11110,교북동,경희궁자이(4단지),45.879,12,2017,2026,3,8,70000,0,신규,26.05~28.05,,,126
11110,홍파동,경희궁자이(2단지),84.9443,1,2017,2026,3,7,130000,0,신규,26.05~28.05,,,199
11110,무악동,현대,60,9,2000,2026,3,9,59000,0,신규,26.06~28.06,,,82
11110,창신동,창신쌍용2,64.66,9,1993,2026,3,7,37000,0,갱신,26.03~28.03,36000,,703
11110,무악동,인왕산아이파크,84.858,7,2008,2026,3,7,73500,0,갱신,26.04~28.04,68000,,60
11110,창신동,창신쌍용2,64.66,6,1993,2026,3,7,43000,0,신규,26.06~28.06,,,703
11110,창신동,두산,59.95,8,1999,2026,3,6,46200,0,갱신,26.03~28.03,44000,,232
11110,창신동,두산,84.9,1,1999,2026,3,4,58000,0,신규,26.04~28.04,,,232
11110,홍파동,경희궁자이(2단지),84.8359,18,2017,2026,3,3,130000,0,신규,26.04~28.04,,,199
11110,창신동,창신쌍용2,64.66,4,1993,2026,3,4,33600,0,갱신,26.06~28.06,32000,,703
11110,교북동,경희궁자이(4단지),45.879,9,2017,2026,3,3,75000,0,신규,26.04~28.04,,,126
11110,홍파동,경희궁자이(2단지),59.8547,6,2017,2026,4,17,69500,0,갱신,26.05~28.05,66500,,199
11110,창신동,창신쌍용1,54.7,10,1992,2026,4,9,47000,0,신규,26.07~28.07,,,702
11110,창신동,두산,59.95,17,1999,2026,4,25,41500,0,갱신,26.07~28.07,40000,,232
11110,내수동,경희궁의아침3단지,150.48,10,2004,2026,4,15,170000,0,신규,26.06~28.06,,,72
11110,홍파동,경희궁자이(2단지),84.9339,5,2017,2026,4,20,125000,0,갱신,26.06~28.06,113000,,199
11110,홍파동,경희궁자이(2단지),84.614,20,2017,2026,4,26,130000,0,갱신,26.07~27.07,115000,,199
11110,홍파동,경희궁자이(2단지),84.614,4,2017,2026,4,30,112000,0,갱신,26.05~28.05,107000,,199
11110,창신동,덕산,59.28,4,1999,2026,4,1,25000,0,신규,26.05~28.05,,,639-50
11110,명륜2가,명륜동주상복합아남아파트,59.36,2,1999,2026,4,12,45000,0,갱신,26.04~26.06,45000,,237
11110,홍파동,경희궁자이(2단지),84.614,20,2017,2026,4,26,130000,0,갱신,26.07~27.07,115000,,199
11110,교북동,동아,59.98,1,1995,2026,4,30,48000,0,신규,26.05~28.05,,,101
11110,평동,경희궁자이(3단지),116.9383,8,2017,2026,4,14,160000,0,신규,26.04~28.04,,,233
11110,숭인동,할리우드파크아파트,68.77,2,2014,2026,4,16,32500,0,신규,26.06~28.06,,,56-135
11110,무악동,현대,114.9,16,2000,2026,4,28,81000,0,갱신,26.04~28.04,79000,,82
11110,무악동,현대,84.92,20,2000,2026,4,25,73000,0,신규,26.08~28.08,,,82
11110,창신동,창신쌍용1,54.7,2,1992,2026,4,26,36000,0,신규,26.05~28.05,,,702
11110,창신동,창신쌍용2,106.62,12,1993,2026,4,13,65000,0,신규,26.07~28.07,,,703
11110,창신동,창신쌍용2,106.62,12,1993,2026,4,13,65000,0,신규,26.07~28.07,,,703
11110,교북동,경희궁자이(4단지),45.879,16,2017,2026,4,20,67000,0,갱신,26.04~26.11,67000,,126
11110,내수동,경희궁파크팰리스,146.33,3,2003,2026,4,18,128000,0,갱신,26.04~28.04,120000,,95
11110,평창동,벽산블루밍평창힐스,150.83,2,2004,2026,4,18,100000,0,신규,26.07~28.07,,,45
11110,평동,경희궁자이(3단지),116.9383,9,2017,2026,4,18,180000,0,신규,26.07~28.07,,,233
11110,무악동,현대,84.92,12,2000,2026,4,18,69000,0,갱신,26.05~28.05,69000,,82
11110,홍파동,경희궁자이(2단지),84.8359,1,2017,2026,4,18,133000,0,신규,26.07~28.07,,,199
