시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11140,신당동,약수하이츠,57.63,4,1999,2026,1,1,55000,0,,,,,842
11140,신당동,인성아트빌,59.72,2,2001,2026,1,16,15700,0,,,,,432-502
11140,신당동,약수하이츠,57.63,4,1999,2026,1,23,55000,0,,,,,842
11140,만리동2가,서울역센트럴자이,84.9918,18,2017,2026,1,17,20000,0,,,,,273
11140,중림동,삼성사이버빌리지,114.77,8,2001,2026,1,17,77170,0,,,,,200
11140,만리동2가,서울역한라비발디센트럴,71.9832,5,2018,2026,1,10,62300,0,,,,,288
11140,신당동,약수하이츠,57.63,4,1999,2026,1,1,55000,0,신규,26.03~28.03,,,842
11140,묵정동,힐스테이트남산,44.55,7,2024,2026,1,14,53550,0,갱신,26.04~28.04,51000,,35
11140,신당동,약수하이츠,84.88,18,1999,2026,1,18,70000,0,신규,26.03~28.03,,,842
11140,만리동2가,서울역센트럴자이,59.943,11,2017,2026,1,31,78000,0,신규,26.04~28.04,,,273
11140,인현동2가,세운푸르지오헤리시티,29.4564,16,2023,2026,1,28,35000,0,신규,26.03~28.03,,,240
11140,신당동,남산타운,114.88,5,2002,2026,1,24,80000,0,갱신,26.03~28.03,78000,,844
11140,중림동,삼성사이버빌리지,114.77,2,2001,2026,1,9,95000,0,신규,26.03~28.03,,,200
11140,신당동,남산타운,59.94,7,2002,2026,1,17,55000,0,갱신,26.02~28.02,55000,,844
11140,충무로5가,충무로엘크루메크로시티2차,22.75,11,2016,2026,1,14,18500,0,신규,26.02~28.02,,,36-2
11140,신당동,현대,79.11,15,1993,2026,1,20,47250,0,갱신,26.03~28.03,45000,,840
11140,신당동,약수하이츠,65.37,13,1999,2026,1,24,60000,0,신규,26.03~28.03,,,842
11140,정동,삼정아트테라스정동,22.0989,7,2020,2026,1,29,35000,0,신규,26.02~28.02,,,37
11140,인현동2가,세운푸르지오헤리시티,24.5533,19,2023,2026,1,16,34000,0,신규,26.02~27.02,,,240
11140,황학동,황학아크로타워,130.939,10,2010,2026,1,8,90000,0,신규,26.02~28.02,,,2523
11140,인현동2가,세운푸르지오헤리시티,28.4064,17,2023,2026,1,23,30000,0,신규,26.03~28.03,,,240
11140,신당동,약수하이츠,114.92,12,1999,2026,1,28,80000,0,갱신,26.06~27.06,80000,,842
11140,신당동,남산타운,59.94,5,2002,2026,1,26,48400,0,신규,26.02~28.02,,,844
11140,중림동,삼성사이버빌리지,114.77,4,2001,2026,1,30,85000,0,신규,26.02~28.02,,,200
11140,중림동,삼성사이버빌리지,59.7,16,2001,2026,1,9,63000,0,신규,26.03~28.02,,,200
11140,신당동,신당푸르지오,114.48,2,2005,2026,1,20,85500,0,신규,26.05~28.05,,,850
11140,신당동,명경,59.71,3,2002,2026,1,24,28500,0,갱신,26.02~28.02,28500,,432-657
11140,만리동1가,LIG서울역리가,84.9866,2,2012,2026,1,7,78000,0,신규,26.02~28.02,,,231
11140,만리동2가,서울역센트럴자이,59.943,3,2017,2026,1,31,78000,0,신규,26.03~28.03,,,273
11140,중림동,삼성사이버빌리지,84.93,8,2001,2026,1,31,80000,0,신규,26.02~28.02,,,200
11140,만리동1가,LIG서울역리가,84.9866,2,2012,2026,1,7,78000,0,신규,26.02~28.02,,,231
11140,신당동,남산타운,59.94,15,2002,2026,1,17,57000,0,갱신,26.02~28.02,55000,,844
11140,만리동2가,서울역한라비발디센트럴,84.9774,14,2018,2026,1,7,78000,0,갱신,26.02~27.02,76000,,288
11140,신당동,약수하이츠,65.37,13,1999,2026,1,24,60000,0,신규,26.03~28.03,,,842
11140,만리동2가,서울역센트럴자이,84.972,8,2017,2026,1,16,97000,0,신규,26.03~28.03,,,273
11140,신당동,청구e편한세상,118.47,8,2011,2026,1,26,122000,0,신규,26.02~28.02,,,852
11140,신당동,신당동파라다이스,84.77,6,2000,2026,1,22,57000,0,갱신,26.02~28.02,30000,100,846
11140,신당동,남산타운,84.88,13,2002,2026,1,31,68000,0,신규,26.04~28.04,,,844
11140,황학동,황학아크로타워,84.962,10,2010,2026,1,23,73500,0,갱신,26.02~28.02,70000,,2523
11140,충무로4가,남산센트럴자이,128.952,11,2009,2026,1,23,104500,0,갱신,26.02~28.02,100000,,306
11140,만리동2가,서울역센트럴자이,84.972,7,2017,2026,1,31,105000,0,신규,26.03~28.03,,,273
11140,만리동2가,서울역센트럴자이,59.943,11,2017,2026,1,20,66000,0,갱신,26.02~28.02,63000,,273
11140,신당동,남산타운,114.88,14,2002,2026,1,21,73500,0,갱신,26.02~28.02,70000,,844
11140,신당동,남산타운,84.88,4,2002,2026,1,24,73000,0,신규,26.03~28.03,,,844
11140,신당동,래미안하이베르,84.98,5,2011,2026,1,21,65500,0,갱신,26.01~28.01,62500,,851
11140,충무로4가,남산센트럴자이,82.413,13,2009,2026,1,24,75000,0,신규,26.03~28.03,,,306
11140,신당동,남산타운,59.94,17,2002,2026,1,19,54600,0,갱신,26.01~28.01,52000,,844
11140,신당동,청구e편한세상,84.96,1,2011,2026,1,16,82000,0,갱신,26.02~28.02,73800,,852
11140,신당동,남산타운,114.88,18,2002,2026,1,31,80000,0,갱신,26.03~28.03,77000,,844
11140,신당동,약수하이츠,57.63,5,1999,2026,1,29,55000,0,신규,26.03~28.03,,,842
11140,신당동,래미안하이베르,59.95,3,2011,2026,1,31,58800,0,갱신,26.02~28.02,56000,,851
11140,묵정동,힐스테이트남산,21.05,4,2024,2026,1,30,34650,0,갱신,26.04~28.03,33000,,35
