시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11170,이촌동,북한강(성원),59.55,18,2001,2026,3,14,60000,0,,,,,422
11170,용문동,브라운스톤,59.94,7,2011,2026,3,30,67000,0,,,,,90
11170,이촌동,현대한강,59.55,18,1997,2026,3,24,60000,0,,,,,400
11170,이촌동,현대한강,59.55,18,1997,2026,3,24,60000,0,,,,,400
11170,효창동,용산롯데캐슬센터포레,59.8677,11,2019,2026,3,27,82000,0,,,,,287
11170,이촌동,동원베네스트,84.973,7,2005,2026,3,14,57750,0,,,,,434
11170,서빙고동,신동아,140.81,5,1984,2026,3,11,120000,0,,,,,241-21
11170,신계동,용산e편한세상,84.89,17,2011,2026,3,14,90000,0,,,,,48
11170,이촌동,강촌,59.12,8,1998,2026,3,14,63000,0,,,,,402
11170,이촌동,대림,59.22,13,1994,2026,3,2,42950,0,,,,,395
11170,이촌동,이촌코오롱(B),84.78,5,1999,2026,3,5,100000,0,,,,,414
11170,보광동,신동아1,84.93,5,1992,2026,3,27,60000,0,신규,26.03~28.03,,,448
11170,한강로3가,쌍용스윗닷홈,84.97,4,2003,2026,3,4,84000,0,신규,26.05~28.05,,,89
11170,이촌동,한강맨숀,101.95,2,1971,2026,3,24,47000,0,갱신,26.05~28.05,45000,,300-23
11170,이촌동,강촌,84.85,6,1998,2026,3,11,73500,0,갱신,26.05~28.05,70000,,402
11170,효창동,용산데시앙포레,59.8391,5,2022,2026,3,26,78000,0,갱신,26.05~28.05,69500,,288
11170,한강로3가,센트럴파크,114.5011,32,2020,2026,3,24,190000,0,신규,26.05~28.05,,,98
11170,용문동,브라운스톤,59.94,7,2011,2026,3,30,67000,0,신규,26.05~28.05,,,90
11170,이촌동,대림,84.78,7,1994,2026,3,28,62000,0,신규,26.05~28.05,,,395
11170,이촌동,한가람,114.96,17,1998,2026,3,30,140000,0,갱신,26.05~28.05,135000,,404
11170,한남동,한남동리첸시아,72.06,10,2004,2026,3,28,75000,0,신규,26.04~28.04,,,72-1
11170,한남동,나인원한남,206.8953,5,2019,2026,3,26,609000,0,신규,26.04~28.04,,,829
11170,한남동,현대하이페리온,203.76,9,2002,2026,3,10,28800,0,신규,26.04~28.04,,,805
11170,산천동,리버힐삼성,59.55,13,2001,2026,3,22,57000,0,갱신,26.04~28.04,55000,,193
11170,원효로4가,강변삼성스위트,72.84,4,1999,2026,3,28,54000,0,신규,26.05~28.05,,,178
11170,효창동,용산데시앙포레,59.8391,5,2022,2026,3,26,78000,0,갱신,26.05~28.05,69500,,288
11170,이촌동,현대한강,59.55,18,1997,2026,3,24,60000,0,갱신,26.04~28.04,59000,,400
11170,이촌동,이촌코오롱(A),59.82,6,1999,2026,3,30,60000,0,갱신,26.04~28.04,57500,,412
11170,이촌동,강촌,84.905,13,1998,2026,3,6,95000,0,신규,26.04~28.04,,,402
11170,문배동,G&P용산파크,28.28,8,2018,2026,3,21,30000,0,신규,26.04~28.04,,,11-34
11170,서빙고동,신동아,140.81,12,1984,2026,3,31,94500,0,갱신,26.04~28.04,90000,,241-21
11170,이촌동,동부센트레빌,100.8,24,2001,2026,3,4,100000,0,신규,26.04~28.04,,,418
11170,이촌동,현대한강,84.88,4,1997,2026,3,19,79000,0,신규,26.04~28.04,,,400
11170,이촌동,한가람,59.88,7,1998,2026,3,5,24310,0,갱신,26.03~28.03,23153,,404
11170,효창동,용산데시앙포레,59.8391,13,2022,2026,3,28,73000,0,갱신,26.05~28.05,70000,,288
11170,보광동,한강빌라,84.58,-1,2001,2026,3,14,35000,0,신규,26.04~28.04,,,208-1
11170,원효로1가,시온캐슬용산,19.33,18,2021,2026,3,30,31000,0,신규,26.05~28.05,,,28-7
11170,서빙고동,신동아,140.81,2,1984,2026,3,16,89000,0,갱신,26.04~28.04,87000,,241-21
11170,신계동,용산e편한세상,124.08,15,2011,2026,3,31,145000,0,신규,26.03~28.03,,,48
11170,신계동,용산e편한세상,84.21,9,2011,2026,3,26,88000,0,갱신,26.04~28.04,84000,,48
11170,원효로4가,강변삼성스위트,59.94,21,1999,2026,3,30,60000,0,신규,26.05~28.05,,,178
11170,이촌동,강변,64.43,5,1971,2026,3,25,19300,0,갱신,26.05~28.05,18400,,193-3
11170,한남동,한남아이파크애비뉴,49.6971,5,2017,2026,3,26,65000,0,신규,26.06~28.06,,,828
11170,이촌동,이촌코오롱(A),59.82,11,1999,2026,3,25,50935,0,갱신,26.04~28.04,55000,,412
11170,동자동,센트레빌아스테리움서울,145.2,3,2013,2026,3,26,96500,0,갱신,26.05~28.05,92000,,45
11170,서빙고동,신동아,166.98,10,1984,2026,3,10,115500,0,갱신,26.04~28.04,110000,,241-21
11170,이태원동,남산대림,84.75,4,1994,2026,3,17,70000,0,신규,26.06~28.06,,,729
11170,후암동,브라운스톤남산,166.1,5,2004,2026,3,18,108000,0,신규,26.06~28.06,,,458
11170,효창동,용산롯데캐슬센터포레,59.8677,11,2019,2026,3,27,82000,0,갱신,26.05~28.05,80000,,287
11170,신계동,용산e편한세상,124.08,11,2011,2026,3,25,149000,0,신규,26.06~28.06,,,48
11170,원효로1가,용산더프라임,59.557,4,2014,2026,3,30,69300,0,갱신,26.04~28.04,66000,,41
11170,한남동,한남아이파크애비뉴,49.5507,14,2017,2026,3,29,66000,0,갱신,26.03~28.03,63000,,828
11170,효창동,용산데시앙포레,84.9417,12,2022,2026,3,14,95000,0,갱신,26.05~28.05,90000,,288
11170,보광동,신동아1,84.93,4,1992,2026,3,30,60100,0,갱신,26.03~28.03,60000,,448
11170,원효로1가,용산더프라임,84.976,21,2014,2026,3,30,91350,0,갱신,26.05~28.05,87000,,41
11170,산천동,리버힐삼성,114.48,12,2001,2026,3,27,83000,0,신규,26.05~28.05,,,193
11170,용문동,브라운스톤,59.94,2,2011,2026,3,29,63000,0,갱신,26.04~28.04,60000,,90
11170,이태원동,남산대림,59.92,1,1994,2026,3,7,65000,0,신규,26.06~28.06,,,729
11170,이촌동,동아그린,59.58,7,1999,2026,3,10,51400,0,갱신,26.03~28.03,49000,,411
11170,산천동,리버힐삼성,84.98,6,2001,2026,3,21,48300,0,갱신,26.05~28.05,46000,,193
11170,이촌동,LG한강자이,202.32,19,2003,2026,3,27,220000,0,신규,26.12~28.12,,,430
11170,이촌동,현대한강,84.88,17,1997,2026,3,20,68250,0,갱신,26.03~28.03,65000,,400
11170,이촌동,동아그린,114.96,10,1999,2026,3,9,69000,0,갱신,26.05~28.05,67000,,411
11170,한강로2가,용산푸르지오써밋(420),148.8269,27,2017,2026,3,17,210000,0,신규,26.05~28.05,,,420
11170,한남동,태성1,59.95,2,1975,2026,3,30,30000,0,갱신,26.04~28.04,25000,,644-2
11170,문배동,용산KCC웰츠타워,84.03,29,2015,2026,3,27,90000,0,갱신,26.05~28.05,77000,,11-10
11170,문배동,용산KCC웰츠타워,84.03,12,2015,2026,3,31,85000,0,신규,26.06~28.06,,,11-10
11170,이촌동,한가람,59.88,11,1998,2026,3,29,68200,0,갱신,26.05~28.05,65000,,404
11170,후암동,후암미주,62.28,5,1980,2026,3,29,26000,0,신규,26.05~28.05,,,423-1
11170,이촌동,한가람,59.88,18,1998,2026,3,10,67200,0,갱신,26.04~28.04,64000,,404
11170,보광동,신동아1,84.93,7,1992,2026,3,28,50000,0,갱신,26.05~28.05,47200,,448
11170,한강로3가,센트럴파크,102.8617,9,2020,2026,3,13,168000,0,신규,26.05~28.05,,,98
11170,효창동,용산데시앙포레,59.8391,8,2022,2026,3,21,83000,0,신규,26.05~28.05,,,288
11170,한강로3가,센트럴파크,102.8617,22,2020,2026,3,31,100000,0,신규,26.05~28.05,,,98
11170,이촌동,이촌시범,69.42,2,1970,2026,3,31,20000,0,신규,26.04~28.04,,,206-27
11170,산천동,리버힐삼성,59.55,15,2001,2026,3,2,35000,0,갱신,26.04~28.03,15000,30,193
11170,보광동,신동아1,84.93,12,1992,2026,3,28,50000,0,갱신,26.05~28.05,48300,,448
11170,도원동,삼성래미안,114.99,10,2001,2026,3,28,81900,0,갱신,26.04~28.04,78000,,23
11170,한남동,대림아르빌,84.74,3,2005,2026,3,6,90000,0,신규,26.03~28.03,,,808
11170,신창동,세방리버하이빌,84.77,3,2005,2026,3,28,60000,0,신규,26.05~28.05,,,102
11170,효창동,효창파크푸르지오,84.45,2,2010,2026,3,30,102000,0,신규,26.06~28.06,,,274
11170,한강로3가,용산시티파크(1단지),116.31,6,2007,2026,3,27,143000,0,신규,26.05~28.05,,,63-389
11170,한남동,한남동리첸시아,72.06,10,2004,2026,3,28,75000,0,신규,26.04~28.04,,,72-1
11170,한강로2가,용산푸르지오써밋(420),189.6783,31,2017,2026,3,30,295000,0,신규,26.04~28.04,,,420
11170,한강로3가,한강대우트럼프월드3,126.19,7,2004,2026,3,25,125000,0,신규,26.05~28.05,,,65-230
11170,신창동,세방리버하이빌,84.54,3,2005,2026,3,28,58500,0,갱신,26.06~28.06,56000,,102
11170,이촌동,장미(203-14),46.78,1,1972,2026,3,28,19640,0,갱신,26.05~28.05,18740,,203-14
11170,이촌동,한강(대우),84.98,7,2000,2026,3,18,107000,0,갱신,26.04~28.04,103000,,415
