시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11200,금호동1가,이편한세상금호파크힐스,59.983,15,2019,2026,1,10,76000,0,,,,,1823
11200,옥수동,옥수어울림,84.699,7,2011,2026,1,17,94500,0,,,,,560
11200,성수동1가,쌍용,59.76,17,1997,2026,1,5,60000,0,,,,,706
11200,금호동4가,대우,84.71,19,2001,2026,1,31,70000,0,,,,,800
11200,금호동4가,서울숲푸르지오,59.9,13,2007,2026,1,29,67000,0,,,,,340
11200,금호동2가,래미안하이리버,59.99,4,2012,2026,1,31,70300,0,,,,,1217
11200,하왕십리동,무학현대,84.675,8,1996,2026,1,31,56000,0,,,,,992
11200,행당동,대림e-편한세상,59.96,7,2000,2026,1,29,58000,0,,,,,347
11200,성수동1가,대우2,84.97,3,1999,2026,1,3,73000,0,,,,,709
11200,금호동2가,금호자이1차,84.98,12,2012,2026,1,31,80000,0,,,,,1215
11200,하왕십리동,센트라스,59.95,25,2016,2026,1,30,68000,0,,,,,1070
11200,성수동1가,한진타운,84.21,9,1994,2026,1,30,72000,0,,,,,704
11200,성수동1가,한진타운,59.4,1,1994,2026,1,12,55000,0,,,,,704
11200,옥수동,옥수삼성,59.7,11,1999,2026,1,26,51450,0,,,,,250
11200,성수동1가,서울숲아이파크리버포레2차,84.9612,10,2025,2026,1,23,100000,0,,,,,723
11200,행당동,행당한진타운,59.96,17,2000,2026,1,24,50000,0,,,,,346
11200,금호동3가,두산,116.81,9,1994,2026,1,24,72000,0,,,,,1331
11200,성수동1가,쌍용,59.76,12,1997,2026,1,24,49350,0,,,,,706
11200,금호동4가,브라운스톤금호,84.838,8,2007,2026,1,19,90000,0,,,,,1507
11200,하왕십리동,센트라스,84.99,2,2016,2026,1,17,94000,0,,,,,1070
11200,응봉동,대림강변타운,59.76,12,2001,2026,1,17,58000,0,,,,,15
11200,하왕십리동,왕십리자이,59.99,20,2017,2026,1,13,61800,0,,,,,1071
11200,성수동2가,금호타운2차아파트,59.94,14,1997,2026,1,10,58000,0,,,,,832
11200,행당동,신동아,59.97,2,1995,2026,1,3,49000,0,,,,,344
11200,성수동1가,동아,95.85,8,1983,2026,1,23,60000,0,,,,,656-320
11200,성수동1가,서울숲아이파크리버포레2차,59.9566,15,2025,2026,1,23,105000,0,신규,26.03~28.03,,,723
11200,성수동1가,서울숲아이파크리버포레2차,59.9919,21,2025,2026,1,31,97000,0,신규,26.03~28.03,,,723
11200,응봉동,대림강변타운,59.76,10,2001,2026,1,9,61000,0,신규,26.03~28.03,,,15
11200,성수동2가,롯데캐슬파크,81.567,1,2003,2026,1,26,100000,0,신규,26.02~28.02,,,835
11200,금호동1가,이편한세상금호파크힐스,84.957,16,2019,2026,1,10,97600,0,신규,26.04~28.04,,,1823
11200,하왕십리동,한신무학,62.41,4,1989,2026,1,25,53000,0,신규,26.04~28.04,,,990
11200,금호동1가,벽산,84.82,3,2001,2026,1,31,57000,0,신규,26.03~28.03,,,633
11200,마장동,현대,134.79,20,1998,2026,1,19,75000,0,갱신,26.01~28.01,75000,,818
11200,금호동1가,이편한세상금호파크힐스,116.134,1,2019,2026,1,23,131000,0,갱신,26.03~28.03,131000,,1823
11200,하왕십리동,극동미라주,84.33,6,2001,2026,1,11,51030,0,신규,26.03~28.07,,,1058
11200,옥수동,옥수파크힐스117동~125동,59.91,17,2016,2026,1,16,76020,0,신규,26.03~28.04,,,528-1
11200,상왕십리동,텐즈힐(2단지),84.9,7,2014,2026,1,30,90000,0,신규,26.03~28.03,,,811
11200,옥수동,래미안 옥수 리버젠,84.73,14,2012,2026,1,19,99000,0,갱신,26.03~28.03,95000,,561
11200,금호동1가,이편한세상금호파크힐스,59.949,8,2019,2026,1,12,63000,0,갱신,26.03~28.03,63000,,1823
11200,행당동,대림e-편한세상,84.87,6,2000,2026,1,21,73000,0,신규,26.03~28.03,,,347
11200,금호동3가,금호한신,59.99,7,2005,2026,1,24,60000,0,신규,26.03~28.03,,,1662
11200,옥수동,옥수파크힐스101동~116동,59.88,5,2016,2026,1,14,76650,0,갱신,26.02~28.02,73000,,528
11200,성수동1가,현대그린,56.97,5,1994,2026,1,31,57000,0,신규,26.04~28.04,,,33-2
11200,행당동,대림e-편한세상,59.96,4,2000,2026,1,28,60900,0,갱신,26.03~28.03,58000,,347
11200,하왕십리동,텐즈힐(1단지),84.88,7,2015,2026,1,16,89000,0,갱신,26.02~28.02,85000,,1066
