시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11215,자양동,우성1,79.75,6,1988,2026,1,26,49600,0,,,,,579
11215,구의동,아차산한라아파트,71.82,3,2009,2026,1,22,20502,0,,,,,662
11215,구의동,현대프라임,59.82,18,1997,2026,1,5,70000,0,갱신,26.01~28.01,35000,,631-1
11215,자양동,경남,114.97,12,1999,2026,1,16,77000,0,갱신,26.01~28.01,74000,,641
11215,자양동,한라아파트,84.6,2,1996,2026,1,18,68000,0,신규,26.03~28.03,,,762
11215,광장동,워커힐,162.41,5,1978,2026,1,3,95000,0,신규,26.03~28.03,,,145-8
11215,구의동,래미안파크스위트,59.98,4,2018,2026,1,8,78700,0,갱신,26.02~28.02,75000,,668
11215,광장동,"현대8(801동,802동)",84.92,5,1995,2026,1,10,76650,0,갱신,26.02~28.02,73000,,565
11215,자양동,현대3,84.9,14,1996,2026,1,30,65000,0,갱신,26.04~28.04,60000,,670
11215,구의동,광진해모로리버뷰,93.39,5,2009,2026,1,29,71400,0,갱신,26.04~28.04,68000,,547-7
11215,자양동,도성,75.62,2,2005,2026,1,19,47000,0,갱신,26.05~30.05,47000,,610-47
11215,구의동,래미안파크스위트,84.98,4,2018,2026,1,31,95000,0,갱신,26.02~28.02,90500,,668
11215,광장동,워커힐푸르지오,69,3,1987,2026,1,29,49500,0,갱신,26.01~28.01,48000,,148-4
11215,자양동,우성1,79.75,12,1988,2026,1,10,49500,0,신규,26.03~28.03,,,579
11215,광장동,극동2,84.55,8,1989,2026,1,21,59500,0,갱신,26.01~28.02,56700,,218-1
11215,자양동,자양7차현대홈타운,109.91,4,2001,2026,1,25,70000,0,신규,26.03~28.03,,,788
11215,화양동,화양현대,59.97,15,1999,2026,1,24,55000,0,신규,26.06~28.06,,,234
11215,자양동,자양7차현대홈타운,59.94,10,2001,2026,1,31,57000,0,신규,26.02~28.02,,,788
11215,자양동,자양호반써밋,40.2673,15,2021,2026,1,15,65000,0,갱신,26.03~28.03,65000,,861
11215,광장동,"현대8(801동,802동)",84.92,19,1995,2026,1,23,90000,0,신규,26.03~28.03,,,565
11215,구의동,현대프라임,59.82,7,1997,2026,1,19,63000,0,갱신,26.02~28.02,60000,,631-1
11215,자양동,이튼타워리버5차,84.96,14,2009,2026,1,29,87000,0,갱신,26.05~28.05,83000,,856
11215,자양동,한강우성,84.72,16,1993,2026,1,29,75000,0,신규,26.03~28.03,,,87-1
11215,구의동,현대프라임,84.99,16,1997,2026,1,13,95000,0,신규,26.04~28.04,,,631-1
11215,광장동,워커힐푸르지오,92.4,2,1987,2026,1,14,77000,0,갱신,26.01~28.01,69050,,148-4
11215,자양동,테라팰리스건대2차,84.13,16,2018,2026,1,14,88000,0,신규,26.05~28.05,,,860
11215,구의동,광진파크프라이빗,54.91,4,2020,2026,1,26,42000,0,갱신,26.02~28.02,40000,,670
11215,자양동,이튼타워리버5차,84.98,8,2009,2026,1,26,90000,0,갱신,26.01~28.01,8000,,856
11215,자양동,우성2,51.57,5,1989,2026,1,31,40000,0,신규,26.04~28.04,,,520-2
11215,구의동,현대프라임,59.82,21,1997,2026,1,26,68000,0,신규,26.02~28.02,,,631-1
11215,광장동,현대5,84.56,16,1989,2026,1,19,69975,0,갱신,26.02~28.02,66675,,554-7
11215,광장동,극동2,75.55,10,1989,2026,1,30,69000,0,신규,26.03~28.03,,,218-1
11215,자양동,자양현대6,59.98,8,1999,2026,1,10,50000,0,갱신,26.02~28.02,50000,,786
11215,자양동,한솔리베르,83.38,19,2002,2026,1,17,70000,0,신규,26.03~28.03,,,672
11215,자양동,더샵스타시티,100.32,33,2007,2026,1,30,115500,0,갱신,26.03~28.03,110000,,227-7
11215,자양동,우성2,80.1,12,1989,2026,1,7,60000,0,신규,26.02~28.02,,,520-2
11215,자양동,자양호반써밋,40.2751,3,2021,2026,1,17,56500,0,갱신,26.02~28.02,55000,,861
11215,광장동,현대파크빌,59.76,13,2000,2026,1,31,64000,0,갱신,26.02~28.02,64000,,577
11215,구의동,현대프라임,59.82,4,1997,2026,1,31,49770,0,갱신,26.02~28.02,47400,,631-1
11215,자양동,대동,59.54,5,1999,2026,1,17,44100,0,갱신,26.02~28.02,42000,,784-1
11215,자양동,우성1,79.75,7,1988,2026,1,17,55000,0,신규,26.03~28.03,,,579
11215,광장동,현대3,59.67,20,1990,2026,1,31,54000,0,갱신,26.02~28.02,52000,,484
11215,중곡동,대영2동,84.91,2,2002,2026,1,12,46000,0,신규,26.03~28.03,,,133-9
11215,광장동,극동2,84.55,1,1989,2026,1,24,63000,0,갱신,26.02~28.02,60000,,218-1
