시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11230,이문동,현대,84.56,9,2000,2026,3,21,35000,0,,,,,54
11230,전농동,래미안크레시티,84.96,8,2014,2026,3,13,72450,0,,,,,690
11230,청량리동,한신,84.92,12,1997,2026,3,26,55000,0,,,,,60
11230,용두동,이편한세상청계센트럴포레,74.98,17,2021,2026,3,30,76650,0,,,,,795
11230,청량리동,청량리롯데캐슬하이루체,51.4261,5,2026,2026,3,15,60000,0,,,,,199
11230,청량리동,한신,84.92,12,1997,2026,3,26,55000,0,,,,,60
11230,답십리동,동서울한양,76.41,4,1989,2026,3,7,37800,0,,,,,41
11230,휘경동,동일스위트리버,84.973,7,2007,2026,3,19,49000,0,,,,,366
11230,제기동,안암골벽산,84.98,4,2003,2026,3,23,55000,0,,,,,153
11230,답십리동,래미안위브,84.99,20,2014,2026,3,15,80000,0,,,,,1003
11230,장안동,래미안장안,84.774,20,2003,2026,3,12,56700,0,,,,,354-2
11230,장안동,래미안장안2차,81.05,1,2007,2026,3,4,70000,0,,,,,329-3
11230,휘경동,브라운스톤휘경,59.78,7,2013,2026,3,4,49500,0,,,,,368
11230,이문동,대림e-편한세상,59.958,10,2003,2026,3,14,42300,0,,,,,225
11230,이문동,래미안이문2차,59.79,4,2004,2026,3,7,50400,0,,,,,311
11230,이문동,신이문금호어울림,84.84,10,2008,2026,3,7,52000,0,,,,,428
11230,휘경동,롯데낙천대,82.82,13,2003,2026,3,7,55000,0,,,,,109
11230,용두동,이편한세상청계센트럴포레,59.96,13,2021,2026,3,4,68000,0,,,,,795
11230,이문동,래미안이문2차,59.79,18,2004,2026,3,23,55000,0,신규,26.05~28.05,,,311
11230,휘경동,휘경센트레빌,84.89,22,2011,2026,3,21,64500,0,신규,26.07~28.07,,,367
11230,휘경동,롯데낙천대,82.82,13,2003,2026,3,7,55000,0,신규,26.06~28.06,,,109
11230,이문동,래미안이문2차,59.79,4,2004,2026,3,7,50400,0,갱신,26.05~28.05,48000,,311
11230,전농동,전농우성,59.78,9,1992,2026,3,10,34500,0,갱신,26.05~28.05,33000,,6
11230,용두동,래미안엘리니티,84.92,8,2022,2026,3,27,84000,0,갱신,26.05~28.05,80000,,796
11230,전농동,전농우성,126.63,10,1992,2026,3,25,46200,0,갱신,26.05~28.05,44000,,6
11230,답십리동,래미안미드카운티,59.98,9,2019,2026,3,27,57250,0,갱신,26.07~28.02,52250,,1013
11230,답십리동,청계한신휴플러스,90.62,17,2010,2026,3,30,63000,0,갱신,26.05~27.04,60000,,1002
11230,이문동,이문아이파크자이,84.95,24,2025,2026,3,23,88000,0,신규,26.04~28.04,,,149-8
11230,이문동,이문동웰츠타워,112.134,9,2008,2026,3,28,63000,0,신규,26.06~28.06,,,292-10
11230,용두동,청량리역한양수자인그라시엘,84.97,30,2023,2026,3,31,84000,0,신규,26.05~28.05,,,798
11230,휘경동,휘경센트레빌,84.89,21,2011,2026,3,14,60000,0,신규,26.06~28.06,,,367
11230,청량리동,미주,102.15,13,1978,2026,3,26,55000,0,신규,26.05~28.05,,,235-1
11230,용두동,래미안엘리니티,84.99,16,2022,2026,3,7,90000,0,신규,26.04~28.04,,,796
11230,답십리동,래미안위브,84.99,20,2014,2026,3,30,68000,0,갱신,26.05~28.05,65000,,1003
11230,장안동,장안힐스테이트,114.958,20,2007,2026,3,21,75000,0,신규,26.03~27.02,,,329-2
11230,답십리동,래미안위브,59.96,9,2014,2026,3,28,72000,0,신규,26.06~28.06,,,1003
11230,청량리동,한신,114.95,1,1997,2026,3,26,50000,0,신규,26.05~28.05,,,60
11230,이문동,래미안이문2차,59.79,11,2004,2026,3,5,52000,0,갱신,26.05~28.05,50000,,311
11230,이문동,이문아이파크자이,59.91,10,2025,2026,3,10,70000,0,신규,26.04~28.04,,,149-8
11230,답십리동,래미안미드카운티,59.98,3,2019,2026,3,28,69000,0,신규,26.05~28.05,,,1013
11230,전농동,전농SK,59.34,2,2000,2026,3,30,39900,0,갱신,26.04~28.04,38000,,10
11230,답십리동,래미안미드카운티,59.98,6,2019,2026,3,28,69000,0,신규,26.05~28.05,,,1013
11230,답십리동,답십리청솔우성,59.74,15,2000,2026,3,31,40900,0,갱신,26.04~28.03,39000,,80
11230,용두동,청계한양아이클래스,14.22,17,2019,2026,3,17,16000,0,신규,26.04~28.04,,,255-49
11230,이문동,이문아이파크자이,102.93,33,2025,2026,3,19,50000,0,신규,26.04~28.04,,,149-8
11230,답십리동,동서울한양,76.41,8,1989,2026,3,18,39900,0,갱신,26.03~28.03,38000,,41
11230,용두동,용두롯데캐슬리치,84.9406,13,2015,2026,3,20,65000,0,신규,26.06~28.06,,,794
11230,답십리동,동답한신,35.45,14,1992,2026,3,9,27000,0,신규,26.04~28.04,,,42
11230,용두동,청량리역해링턴플레이스,84.873,13,2023,2026,3,21,76000,0,신규,26.04~28.04,,,797
11230,답십리동,래미안위브,84.98,7,2014,2026,3,27,83000,0,신규,26.06~28.05,,,1003
11230,장안동,젬스톤힐즈,59.84,13,2017,2026,3,6,42000,0,신규,26.04~28.04,,,335-7
11230,용두동,리안빌딩,44.22,6,2014,2026,3,21,24308,0,갱신,26.05~28.05,23150,,138-59
11230,답십리동,청계한신휴플러스,90.62,17,2010,2026,3,30,70000,0,갱신,26.05~27.04,60000,,1002
11230,용두동,이편한세상청계센트럴포레,59.96,19,2021,2026,3,28,68000,0,갱신,26.05~28.05,68000,,795
11230,이문동,이문아이파크자이,20.8,23,2025,2026,3,14,24000,0,신규,26.04~28.04,,,149-8
11230,용두동,청량리역한양수자인그라시엘,84.97,45,2023,2026,3,29,95000,0,신규,26.07~28.07,,,798
11230,이문동,현대,114.6,18,2000,2026,3,18,65000,0,신규,26.04~28.04,,,54
11230,장안동,월튼파크뷰(342-21),54.23,5,2016,2026,3,16,37000,0,신규,26.04~28.04,,,342-21
11230,장안동,장안현대홈타운(336),84.78,17,2003,2026,3,28,52500,0,갱신,26.03~28.03,50000,,336
11230,답십리동,래미안미드카운티,59.98,9,2019,2026,3,12,65100,0,갱신,26.05~28.05,62000,,1013
11230,답십리동,청계한신휴플러스,73.96,8,2010,2026,3,21,59000,0,갱신,26.04~28.04,57000,,1002
11230,휘경동,휘경SK뷰,59.39,19,2019,2026,3,14,58800,0,갱신,26.06~28.06,56000,,372
11230,용두동,래미안엘리니티,59.96,13,2022,2026,3,25,70000,0,신규,26.06~28.06,,,796
11230,이문동,쌍용,84.89,13,2000,2026,3,28,51000,0,신규,26.04~28.04,,,64
11230,용두동,래미안 허브리츠,84.96,16,2011,2026,3,5,70000,0,신규,26.04~28.04,,,792
11230,이문동,이문동웰츠타워,84.998,13,2008,2026,3,26,41600,0,갱신,26.04~28.04,34600,,292-10
11230,휘경동,롯데낙천대,112.03,8,2003,2026,3,9,57750,0,신규,26.03~28.03,,,109
11230,전농동,씨티빌라트,84.68,4,1999,2026,3,28,33000,0,갱신,26.05~28.05,30000,,103-340
11230,전농동,전농SK,59.34,13,2000,2026,3,14,42000,0,갱신,26.05~28.05,40000,,10
11230,전농동,래미안크레시티,59.99,3,2014,2026,3,2,70000,0,신규,26.04~28.04,,,690
11230,답십리동,답십리파크자이,49.27,16,2019,2026,3,28,44900,0,갱신,26.05~28.05,42777,,1014
11230,이문동,현대,59.92,10,2000,2026,3,11,42000,0,신규,26.04~28.04,,,54
