시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11260,묵동,신내,49.77,7,1996,2026,3,2,28000,0,,,,,13
11260,묵동,신내,49.77,11,1996,2026,3,21,28900,0,,,,,13
11260,신내동,새한,59.77,20,1998,2026,3,14,32550,0,,,,,795
11260,면목동,현대,84.81,4,1994,2026,3,14,39359,0,,,,,1502
11260,신내동,새한,84.4,4,1998,2026,3,11,36700,0,,,,,795
11260,망우동,신내역힐데스하임참좋은아파트,84.8456,7,2021,2026,3,6,50400,0,,,,,598
11260,면목동,효성,73.8,2,1993,2026,3,12,22000,0,신규,26.05~28.05,,,177-56
11260,신내동,데시앙,59.99,10,2010,2026,3,31,13870,0,갱신,26.04~28.03,13210,,317
11260,중화동,한신아파트상가동유치원동(103~109),84.03,20,1997,2026,3,21,55000,0,신규,26.05~28.05,,,450
11260,면목동,두산6,59.55,3,1993,2026,3,25,36000,0,갱신,26.05~28.05,36000,,1501
11260,신내동,중앙하이츠,84.97,8,1996,2026,3,16,44000,0,신규,26.05~28.05,,,479
11260,면목동,한양수자인사가정파크,74.9394,5,2019,2026,3,29,55000,0,갱신,26.03~28.03,55000,,1543
11260,신내동,진로아파트,101.86,2,1995,2026,3,16,58000,0,신규,26.05~28.05,,,654
11260,신내동,경원,55.89,5,1989,2026,3,21,18000,0,신규,26.05~28.05,,,449-1
11260,상봉동,동부아파트,54,8,1999,2026,3,7,36000,0,신규,26.04~28.04,,,495
11260,망우동,경남,81.91,5,1989,2026,3,17,25000,0,갱신,26.04~28.04,25000,,226
11260,면목동,두산3,84.77,21,1995,2026,3,22,41000,0,갱신,26.03~28.03,37000,,1511
11260,망우동,금호어울림(580-1),84.94,3,2006,2026,3,21,50000,0,신규,26.04~28.04,,,580-1
11260,망우동,금호어울림(580-1),84.94,3,2006,2026,3,21,50000,0,신규,26.04~28.04,,,580-1
11260,묵동,금호어울림,101.97,1,2003,2026,3,26,65000,0,신규,26.05~28.05,,,386
11260,묵동,신내,39.84,2,1996,2026,3,22,22500,0,갱신,26.03~28.03,21500,,13
11260,면목동,면목한신,27,12,1987,2026,3,30,17000,0,신규,26.05~28.05,,,193-1
11260,면목동,늘푸른동아,84.97,14,2002,2026,3,11,55000,0,신규,26.05~28.05,,,715
11260,면목동,용마동아,84.88,13,1993,2026,3,13,45000,0,신규,26.05~28.05,,,1499
11260,중화동,한신아파트상가동유치원동(103~109),59.76,27,1997,2026,3,28,39900,0,갱신,26.04~28.04,38000,,450
11260,면목동,한양수자인사가정파크,74.9394,5,2019,2026,3,29,55000,0,갱신,26.03~28.03,55000,,1543
11260,상봉동,프레미어스엠코,107.12,11,2013,2026,3,27,70000,0,신규,26.05~28.05,,,500
11260,상봉동,프레미어스엠코,107.12,11,2013,2026,3,27,70000,0,신규,26.05~28.05,,,500
11260,망우동,신내역힐데스하임참좋은아파트,84.9309,2,2021,2026,3,30,51400,0,갱신,26.04~28.04,49000,,598
11260,면목동,사가정센트럴아이파크,84.87,11,2020,2026,3,24,75000,0,신규,26.04~28.04,,,1545
11260,묵동,묵동리본타워,59.98,15,2013,2026,3,24,24392,0,갱신,26.04~28.03,23231,,7
11260,상봉동,프레미어스엠코,101.97,10,2013,2026,3,27,57000,0,갱신,26.03~28.03,53000,,500
11260,신내동,새한,115.84,16,1998,2026,3,21,46500,0,갱신,26.03~28.03,45000,,795
11260,중화동,청원다미소,84.8,5,2004,2026,3,30,44000,0,신규,26.06~28.06,,,286-22
11260,신내동,신내11대명,49.77,2,1996,2026,3,31,31000,0,신규,26.05~28.05,,,661
11260,망우동,신내역프라디움더테라스,84.9331,29,2023,2026,3,25,54236,0,신규,26.05~27.11,,,584
11260,묵동,신내,59.76,11,1996,2026,3,15,32550,0,갱신,26.05~28.05,31000,,13
11260,중화동,한신아파트상가동유치원동(103~109),84.87,4,1997,2026,3,28,47250,0,갱신,26.05~28.05,45000,,450
11260,묵동,신내,49.77,11,1996,2026,3,21,28900,0,갱신,26.04~28.04,27550,,13
11260,면목동,두원,84.96,2,1998,2026,3,30,58000,0,신규,26.06~28.06,,,1521
11260,묵동,신내대림아파트,126.28,1,1995,2026,3,7,50000,0,신규,26.05~26.10,,,20
11260,신내동,성원,84.32,2,1994,2026,3,28,44000,0,갱신,26.05~28.05,40000,,783
11260,묵동,신내,49.77,10,1996,2026,3,18,31000,0,신규,26.10~28.10,,,13
11260,상봉동,솔렌시아3(85-1),42.27,7,2018,2026,3,28,25000,0,갱신,26.04~28.04,25000,,85-1
11260,묵동,브라운스톤태릉,101.9481,4,2004,2026,3,30,57000,0,갱신,26.04~28.04,55000,,387
11260,신내동,진로아파트,101.86,8,1995,2026,3,21,53550,0,갱신,26.04~28.04,51000,,654
11260,신내동,신내 데시앙포레,49.77,1,2013,2026,3,24,10882,0,갱신,26.04~28.03,10476,,817
11260,면목동,한양수자인사가정파크,84.989,5,2019,2026,3,17,66100,0,갱신,26.03~28.03,63000,,1543
11260,상봉동,동부아파트,54,1,1999,2026,3,9,33000,0,신규,26.05~28.05,,,495
11260,상봉동,건영1,84.96,17,1997,2026,3,31,47000,0,신규,26.07~28.07,,,1
11260,망우동,신내역프라디움더테라스,84.9713,5,2023,2026,3,30,46313,0,신규,26.05~27.11,,,584
11260,상봉동,태영데시앙1,84.9353,23,2003,2026,3,28,48000,0,갱신,26.04~28.04,55000,,497
11260,상봉동,건영2차아파트,84.96,23,1996,2026,3,30,45000,0,갱신,26.04~28.04,42000,,63
11260,망우동,신내역금강펜테리움센트럴파크,84.9871,19,2021,2026,3,28,55000,0,갱신,26.04~28.04,50000,,610
11260,신내동,데시앙,59.99,14,2010,2026,3,10,15257,0,갱신,26.04~28.03,13870,,317
11260,신내동,데시앙,59.99,5,2010,2026,3,31,13870,0,갱신,26.04~28.03,13210,,317
11260,신내동,데시앙,84.82,9,2010,2026,3,31,18949,0,갱신,26.04~28.03,18047,,317
11260,신내동,신내9진흥,33.18,10,1996,2026,3,26,22000,0,갱신,26.06~28.06,21000,,657
11260,상봉동,상봉타워,15.525,7,2019,2026,3,31,17000,0,갱신,26.05~28.05,17000,,102-57
11260,신내동,데시앙,59.98,13,2010,2026,3,18,13870,0,갱신,26.04~28.03,13210,,317
11260,신내동,데시앙,114.71,3,2010,2026,3,24,26743,0,갱신,26.04~28.03,25470,,317
11260,상봉동,건영2차아파트,84.96,17,1996,2026,3,28,50000,0,갱신,26.04~28.04,46000,,63
11260,면목동,사가정센트럴아이파크,84.956,22,2020,2026,3,5,74000,0,신규,26.03~28.03,,,1545
11260,신내동,데시앙,59.99,3,2010,2026,3,31,14563,0,갱신,26.04~28.03,15852,,317
11260,묵동,신내,39.84,4,1996,2026,3,27,26000,0,신규,26.05~28.05,,,13
11260,면목동,현대,84.99,6,1994,2026,3,31,55000,0,신규,26.06~28.06,,,1502
11260,신내동,신내6대주,59.76,7,1996,2026,3,30,35000,0,신규,26.05~28.05,,,650
11260,중화동,동양엔파트2차,84.87,13,2013,2026,3,30,52000,0,갱신,26.03~28.03,47000,,454
11260,신내동,진로아파트,101.86,7,1995,2026,3,28,60000,0,신규,26.07~28.07,,,654
11260,중화동,한신아파트상가동유치원동(103~109),50.37,7,1997,2026,3,28,36000,0,갱신,26.04~28.04,31000,,450
11260,면목동,사가정센트럴아이파크,84.87,9,2020,2026,3,28,80000,0,신규,26.06~28.06,,,1545
11260,신내동,중앙하이츠,84.97,3,1996,2026,3,28,36750,0,갱신,26.05~28.05,35000,,479
11260,중화동,한신아파트상가동유치원동(103~109),59.76,21,1997,2026,3,27,45000,0,신규,26.06~28.06,,,450
11260,묵동,신내두산아파트,102.7,9,1995,2026,3,28,60000,0,신규,26.07~28.07,,,20
11260,신내동,신내11대명,39.76,6,1996,2026,3,27,25000,0,신규,26.07~28.07,,,661
11260,신내동,신내11대명,39.76,6,1996,2026,3,27,25000,0,신규,26.07~28.07,,,661
11260,신내동,데시앙,59.98,6,2010,2026,3,27,13870,0,갱신,26.04~28.03,13870,,317
11260,묵동,신내,39.84,12,1996,2026,3,26,26000,0,신규,26.06~28.06,,,13
11260,면목동,두산5,59.72,8,2000,2026,3,19,42000,0,갱신,26.03~28.03,40000,,1522-1
11260,신내동,데시앙,59.99,12,2010,2026,3,27,13870,0,갱신,26.04~28.03,13210,,317
11260,신내동,라이프미성,76.6,11,1992,2026,3,19,34650,0,신규,26.06~28.06,,,487
11260,상봉동,상봉듀오트리스,203.77,33,2016,2026,3,23,100000,0,신규,26.05~28.05,,,501
11260,신내동,데시앙,59.98,1,2010,2026,3,17,13870,0,갱신,26.04~28.03,13210,,317
11260,신내동,데시앙,59.7,1,2010,2026,3,27,15257,0,갱신,26.04~28.03,15852,,317
11260,신내동,데시앙,59.98,12,2010,2026,3,27,13870,0,갱신,26.04~28.03,14531,,317
11260,신내동,데시앙,59.99,6,2010,2026,3,27,14563,0,갱신,26.04~28.03,14531,,317
11260,면목동,한양수자인사가정파크,74.9394,6,2019,2026,3,1,57700,0,갱신,26.03~28.02,55000,,1543
11260,신내동,데시앙,59.99,8,2010,2026,3,26,13870,0,갱신,26.04~28.03,13210,,317
11260,면목동,두산4,84.86,16,2000,2026,3,26,54000,0,신규,26.06~28.06,,,1522
11260,신내동,데시앙,59.99,9,2010,2026,3,11,13870,0,갱신,26.04~28.03,13210,,317
11260,중화동,한신아파트상가동유치원동(103~109),84.87,14,1997,2026,3,20,42400,0,신규,26.05~28.05,,,450
11260,신내동,데시앙,59.99,7,2010,2026,3,11,13870,0,갱신,26.04~28.03,13210,,317
11260,신내동,신내11대명,59.76,4,1996,2026,3,26,35000,0,갱신,26.04~26.07,35000,,661
11260,면목동,한양수자인사가정파크,23.1074,1,2019,2026,3,26,18600,0,갱신,26.04~28.04,18900,,1543
11260,면목동,라온프라이빗,95.1327,23,2020,2026,3,14,76500,0,갱신,26.05~28.05,73000,,1544
11260,신내동,신내9진흥,49.93,2,1996,2026,3,24,26000,0,갱신,26.04~28.04,25000,,657
11260,묵동,효산센터빌,106.93,10,2008,2026,3,25,42000,0,갱신,26.05~28.05,40000,,391
11260,묵동,이편한세상화랑대,84.834,4,2017,2026,3,25,65100,0,갱신,26.04~28.04,62000,,396
11260,신내동,신내9진흥,33.18,1,1996,2026,3,21,15960,0,갱신,26.05~28.05,15200,,657
11260,신내동,데시앙,59.99,12,2010,2026,3,25,13870,0,갱신,26.04~28.03,13210,,317
11260,신내동,데시앙,59.98,3,2010,2026,3,18,13870,0,갱신,26.04~28.03,13210,,317
11260,면목동,용마산금호어울림,67.663,12,2006,2026,3,22,48000,0,신규,26.05~28.05,,,1525
11260,신내동,라이프미성,59.6,10,1992,2026,3,18,28000,0,신규,26.06~28.06,,,487
11260,신내동,데시앙,114.71,8,2010,2026,3,25,36352,0,갱신,26.04~28.03,34621,,317
11260,면목동,용마한신,59.22,13,1990,2026,3,18,36500,0,신규,26.05~28.05,,,1077-1
11260,묵동,이편한세상화랑대,84.956,5,2017,2026,3,7,68000,0,신규,26.05~28.05,,,396
11260,신내동,데시앙,114.48,13,2010,2026,3,24,26743,0,갱신,26.04~28.03,25470,,317
11260,중화동,동양엔파트2차,84.63,4,2013,2026,3,21,50000,0,갱신,26.04~28.04,48000,,454
11260,신내동,신내 데시앙포레,114.54,14,2013,2026,3,24,26365,0,갱신,26.04~28.03,25110,,817
11260,신내동,데시앙,114.99,14,2010,2026,3,24,26743,0,갱신,26.04~28.03,25470,,317
11260,신내동,데시앙,114.99,1,2010,2026,3,24,26743,0,갱신,26.04~28.03,25470,,317
11260,면목동,효성,73.8,2,1993,2026,3,12,22000,0,신규,26.05~28.05,,,177-56
11260,신내동,화성.두산아파트,66.96,1,1995,2026,3,20,36750,0,갱신,26.05~28.05,35000,,656
11260,신내동,데시앙,114.48,2,2010,2026,3,24,26743,0,갱신,26.04~28.03,25470,,317
11260,면목동,용마산하늘채,59.9636,13,2015,2026,3,14,54690,0,신규,26.05~27.05,,,1537
11260,신내동,신내9진흥,33.18,8,1996,2026,3,24,17920,0,갱신,26.05~28.05,17070,,657
11260,묵동,신내,39.84,9,1996,2026,3,21,26500,0,신규,26.05~28.05,,,13
11260,신내동,데시앙,114.48,12,2010,2026,3,24,26743,0,갱신,26.04~28.03,25470,,317
11260,묵동,신내,59.76,6,1996,2026,3,16,34500,0,갱신,26.03~28.03,33000,,13
11260,신내동,신내9진흥,49.93,12,1996,2026,3,6,24000,0,갱신,26.05~26.06,24000,,657
11260,신내동,석탑,84.6,4,1997,2026,3,14,40000,0,신규,26.05~28.05,,,787
11260,신내동,신내 데시앙포레,59.6,6,2013,2026,3,23,15446,0,갱신,26.04~28.03,14711,,817
11260,신내동,데시앙,114.71,1,2010,2026,3,23,26743,0,갱신,26.04~28.03,25470,,317
11260,신내동,신내 데시앙포레,114.54,1,2013,2026,3,23,35490,0,갱신,26.04~28.03,33800,,817
11260,신내동,데시앙,114.71,10,2010,2026,3,22,26743,0,갱신,26.04~28.03,25470,,317
11260,신내동,데시앙,114.99,8,2010,2026,3,22,26743,0,갱신,26.04~28.03,25470,,317
11260,면목동,용마동아,84.88,15,1993,2026,3,23,42000,0,갱신,26.03~28.03,40000,,1499
11260,묵동,신내,39.84,11,1996,2026,3,21,23000,0,신규,26.05~28.05,,,13
11260,망우동,신내역금강펜테리움센트럴파크,84.9871,24,2021,2026,3,22,60000,0,신규,26.04~28.04,,,610
11260,신내동,화성.두산아파트,66.96,1,1995,2026,3,20,36750,0,갱신,26.05~28.05,35000,,656
11260,상봉동,"엘지,쌍용아파트",68.12,2,1996,2026,3,19,39300,0,갱신,26.03~27.03,37500,,484
11260,신내동,신내 데시앙포레,59.6,9,2013,2026,3,20,15446,0,갱신,26.04~28.03,14711,,817
11260,망우동,경남,59.94,1,1989,2026,3,4,20000,0,신규,26.03~28.03,,,226
11260,신내동,데시앙,114.48,10,2010,2026,3,20,26743,0,갱신,26.04~28.03,25470,,317
11260,신내동,동성3,129.37,1,1997,2026,3,20,10000,0,신규,26.06~28.07,,,618
11260,신내동,데시앙,114.48,15,2010,2026,3,20,26743,0,갱신,26.04~28.03,25470,,317
11260,신내동,신내 데시앙포레,59.6,5,2013,2026,3,20,15446,0,갱신,26.04~28.03,14711,,817
11260,신내동,데시앙,114.71,8,2010,2026,3,20,26743,0,갱신,26.04~28.03,25470,,317
11260,신내동,데시앙,114.99,10,2010,2026,3,20,26743,0,갱신,26.04~28.03,25470,,317
11260,신내동,데시앙,114.48,14,2010,2026,3,20,26743,0,갱신,26.04~28.03,25470,,317
11260,신내동,데시앙,114.71,5,2010,2026,3,20,26743,0,갱신,26.04~28.03,25470,,317
11260,상봉동,동부아파트,54,9,1999,2026,3,6,31400,0,갱신,26.03~28.03,30000,,495
11260,신내동,데시앙,114.71,13,2010,2026,3,20,26743,0,갱신,26.04~28.03,25470,,317
11260,신내동,데시앙,59.99,15,2010,2026,3,20,16644,0,갱신,26.04~28.03,13870,,317
11260,신내동,신내 데시앙포레,59.6,15,2013,2026,3,20,15446,0,갱신,26.04~28.03,14711,,817
11260,신내동,데시앙,114.71,10,2010,2026,3,20,26743,0,갱신,26.04~28.03,25470,,317
11260,면목동,두산4,84.86,13,2000,2026,3,14,51200,0,갱신,26.05~28.05,50000,,1522
11260,중화동,한신아파트상가동유치원동(103~109),59.76,3,1997,2026,3,14,45000,0,신규,26.06~28.06,,,450
11260,신내동,신내 데시앙포레,59.6,3,2013,2026,3,19,15446,0,갱신,26.04~28.03,14711,,817
11260,신내동,신내 데시앙포레,59.49,15,2013,2026,3,19,16180,0,갱신,26.04~28.03,15410,,817
