시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11290,장위동,참누리아파트,59.98,3,2006,2026,3,27,42000,0,,,,,316-5
11290,길음동,길음동동부센트레빌(1278-0),84.844,11,2003,2026,3,21,60000,0,,,,,1278
11290,정릉동,정릉2차e-편한세상,59.37,2,2009,2026,3,21,52500,0,,,,,1035
11290,하월곡동,샹그레빌아파트,79.984,6,2004,2026,3,5,50000,0,,,,,224
11290,길음동,길음뉴타운8단지(래미안),59.99,26,2010,2026,3,7,46830,0,,,,,1284
11290,돈암동,돈암동더샵아파트,84.413,12,2006,2026,3,13,49600,0,,,,,603
11290,보문동6가,보문파크뷰자이,59.19,10,2017,2026,3,28,66000,0,,,,,458
11290,정릉동,정릉푸른마을동아,59.94,14,2003,2026,3,21,37800,0,,,,,210
11290,종암동,아이파크종암동1차,59.73,13,2004,2026,3,22,53000,0,,,,,130
11290,길음동,길음역롯데캐슬트윈골드,59.36,25,2024,2026,3,19,65000,0,,,,,542-1
11290,장위동,꿈의숲대명루첸아파트,84.843,2,2008,2026,3,15,48500,0,,,,,317
11290,하월곡동,샹그레빌아파트,79.248,11,2004,2026,3,2,45000,0,,,,,224
11290,보문동1가,보문리슈빌하우트,59.7918,14,2022,2026,3,14,63000,0,,,,,228
11290,정릉동,정릉푸르지오,114.93,13,2005,2026,3,11,60000,0,,,,,406
11290,돈암동,한신,132.96,18,1998,2026,3,30,63000,0,갱신,26.07~28.07,60000,,609-1
11290,장위동,장위지웰에스테이트,39.975,9,2022,2026,3,21,34000,0,신규,26.04~28.04,,,322-22
11290,정릉동,정릉풍림아이원,59.88,2,2005,2026,3,8,35000,0,신규,26.05~28.05,,,239
11290,보문동6가,보문파크뷰자이,45.81,12,2017,2026,3,14,60000,0,신규,26.05~28.05,,,458
11290,정릉동,정릉힐스테이트3차,84.97,7,2008,2026,3,9,58300,0,신규,26.05~28.05,,,1031
11290,돈암동,돈암동해피트리,84.98,3,2013,2026,3,18,52500,0,갱신,26.03~28.03,50010,,642
11290,돈암동,한진(609-1),59.58,18,1998,2026,3,30,40000,0,신규,26.06~28.06,,,609-1
11290,길음동,삼부컨비니언,59.94,9,1998,2026,3,28,39585,0,갱신,26.05~28.05,37700,,1276
11290,길음동,롯데캐슬클라시아,84.9757,4,2022,2026,3,28,73500,0,갱신,26.06~28.06,70000,,1289
11290,동소문동7가,브라운스톤동선,59.96,6,2010,2026,3,31,60000,0,신규,26.05~28.05,,,120
11290,돈암동,한신,68.13,14,1998,2026,3,15,48000,0,신규,26.06~28.06,,,609-1
11290,길음동,길음동동부센트레빌(1278-0),84.844,11,2003,2026,3,21,60000,0,갱신,26.05~28.05,48300,,1278
11290,장위동,래미안장위퍼스트하이,116.91,7,2020,2026,3,28,77000,0,갱신,26.06~28.06,74000,,320
