시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11305,미아동,한화포레나미아,80.8489,10,2025,2026,1,27,67000,0,신규,26.03~28.03,,,1379
11305,번동,동문,84.86,1,1998,2026,1,31,39900,0,갱신,26.03~28.03,38000,,657
11305,번동,한진,59.91,5,2000,2026,1,6,32000,0,신규,26.03~28.03,,,658
11305,번동,삼성,84.96,4,1998,2026,1,22,34200,0,갱신,26.03~28.03,33000,,470-1
11305,미아동,에스케이북한산시티,84.76,22,2004,2026,1,19,44100,0,갱신,26.02~28.02,42000,,1353
11305,미아동,한화포레나미아,84.9706,11,2025,2026,1,22,67000,0,신규,26.02~28.02,,,1379
11305,미아동,두산위브트레지움,84.99,15,2011,2026,1,31,55000,0,갱신,26.03~28.03,53500,,811
11305,수유동,수유벽산1차,63.78,4,1993,2026,1,28,37000,0,신규,26.03~28.03,,,205
11305,미아동,꿈의숲해링턴플레이스,59.88,2,2019,2026,1,10,51000,0,신규,26.02~28.02,,,1369
11305,번동,기산그린,59.94,18,2000,2026,1,17,30000,0,신규,26.03~28.03,,,191
11305,미아동,한화포레나미아,80.8489,10,2025,2026,1,27,67000,0,신규,26.03~28.03,,,1379
11305,번동,번동금호어울림,59.43,7,1998,2026,1,22,31000,0,신규,26.05~28.05,,,656
11305,번동,한솔솔파크,84.88,4,2005,2026,1,26,45000,0,신규,26.03~28.03,,,138
11305,미아동,꿈의숲해링턴플레이스,84.36,3,2019,2026,1,24,50000,0,갱신,26.01~28.01,50000,,1369
11305,미아동,에스케이북한산시티,114.85,12,2004,2026,1,31,54000,0,신규,26.03~28.03,,,1353
11305,미아동,꿈의숲해링턴플레이스,84.67,3,2019,2026,1,9,60000,0,신규,26.02~28.02,,,1369
11305,번동,스카이캐슬,15.03,7,2021,2026,1,4,15500,0,신규,26.03~28.03,,,446-59
11305,미아동,벽산라이브파크,84.89,24,2004,2026,1,23,40000,0,갱신,26.04~28.04,40000,,1354
11305,미아동,에스케이북한산시티,59.98,9,2004,2026,1,24,40000,0,신규,26.04~28.04,,,1353
11305,미아동,래미안트리베라1단지,114.98,19,2010,2026,1,31,66150,0,갱신,26.02~28.02,63000,,813
11305,미아동,삼성래미안트리베라2단지,84.29,10,2010,2026,1,13,59500,0,갱신,26.03~28.03,58500,,812
11305,미아동,삼성래미안트리베라2단지,59.33,8,2010,2026,1,31,50000,0,신규,26.05~28.05,,,812
11305,미아동,한화포레나미아,84.9706,11,2025,2026,1,22,67000,0,신규,26.02~28.02,,,1379
11305,미아동,한화포레나미아,59.9877,11,2025,2026,1,8,52000,0,신규,26.03~28.03,,,1379
11305,번동,주공4단지,41.3,3,1991,2026,1,31,20000,0,갱신,26.02~28.02,20000,,234
11305,미아동,두산위브트레지움,59.54,6,2011,2026,1,31,44000,0,갱신,26.02~28.02,42000,,811
11305,미아동,두산위브트레지움,84.99,17,2011,2026,1,9,53000,0,갱신,26.01~28.01,51000,,811
11305,수유동,수유시그니티,22.1,5,2023,2026,1,31,19950,0,갱신,26.02~28.02,19000,,87-5
11305,미아동,에스케이북한산시티,59.98,10,2004,2026,1,31,36750,0,갱신,26.02~28.02,35000,,1353
