시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11320,창동,주공17단지,49.94,11,1989,2026,1,7,20000,0,,,,,38
11320,창동,창동주공3단지(해등마을),58.01,14,1990,2026,1,29,22000,0,,,,,347
11320,창동,주공17단지,36.16,12,1989,2026,1,30,16000,0,,,,,38
11320,창동,동아청솔,84.97,22,1997,2026,1,17,42000,0,,,,,808
11320,창동,창동주공3단지(해등마을),58.01,15,1990,2026,1,10,26250,0,,,,,347
11320,창동,주공17단지,41.3,3,1989,2026,1,28,17500,0,,,,,38
11320,창동,삼성래미안,73.92,18,1992,2026,1,25,37800,0,,,,,45
11320,창동,동아청솔,84.97,22,1997,2026,1,17,42000,0,,,,,808
11320,창동,북한산아이파크5차,84.4516,2,2004,2026,1,17,51000,0,,,,,825
11320,방학동,우성아파트1,84.69,5,1992,2026,1,17,28700,0,,,,,507
11320,방학동,이에스에이아파트1,126.97,14,2003,2026,1,2,52500,0,,,,,718-7
11320,창동,삼성래미안,84.87,19,1992,2026,1,10,45150,0,,,,,45
11320,방학동,이에스에이아파트1,126.97,14,2003,2026,1,2,52500,0,,,,,718-7
11320,창동,창동주공4단지,36.16,10,1991,2026,1,6,16000,0,,,,,373
11320,쌍문동,경남,76.18,5,1988,2026,1,21,34000,0,,,,,73
11320,창동,삼성래미안,73.92,18,1992,2026,1,25,37800,0,갱신,26.03~28.03,36000,,45
11320,창동,창동주공3단지(해등마을),61.52,12,1990,2026,1,29,25300,0,신규,26.03~28.03,,,347
11320,방학동,우성아파트2,84.98,4,1993,2026,1,14,30800,0,갱신,26.04~28.04,29400,,508
11320,쌍문동,한양2,48.96,5,1988,2026,1,5,22500,0,신규,26.03~28.03,,,59
11320,창동,창동주공1단지,41.3,2,1990,2026,1,31,23000,0,신규,26.03~28.03,,,305
11320,창동,창동신도브래뉴1차,59.619,3,2003,2026,1,3,36700,0,신규,26.04~28.04,,,820
11320,창동,금용,59.97,15,1997,2026,1,31,30000,0,갱신,26.03~28.03,30000,,809
11320,쌍문동,e편한세상,84.754,1,2007,2026,1,31,48000,0,신규,26.04~28.04,,,731
11320,방학동,송학휴스테이,51.867,4,2016,2026,1,6,24150,0,갱신,26.03~28.03,23000,,636
11320,방학동,신동아아파트1,53.16,3,1986,2026,1,16,23000,0,신규,26.03~28.03,,,271-1
11320,쌍문동,한양1,79.2,5,1986,2026,1,10,40000,0,신규,26.03~28.03,,,388-33
11320,창동,동아청솔,84.97,12,1997,2026,1,23,50000,0,신규,26.04~28.04,,,808
11320,창동,창동주공1단지,59.39,12,1990,2026,1,8,29500,0,갱신,26.02~28.02,29500,,305
11320,창동,창동주공18단지,45.9,10,1988,2026,1,21,24500,0,신규,26.02~28.02,,,30
11320,도봉동,한신,84.94,10,1995,2026,1,24,30000,0,신규,26.02~28.02,,,30-1
11320,도봉동,한신,84.94,10,1995,2026,1,24,30000,0,신규,26.02~28.02,,,30-1
11320,창동,대림e-편한세상,84.976,5,2003,2026,1,30,55000,0,신규,26.04~28.04,,,822
11320,도봉동,서원,49.77,6,1996,2026,1,6,23000,0,신규,26.02~28.02,,,641
11320,도봉동,서원,49.77,6,1996,2026,1,6,23000,0,신규,26.02~28.02,,,641
