시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11350,공릉동,태릉해링턴플레이스,59.98,19,2022,2026,3,5,49500,0,,,,,758
11350,상계동,상계주공6(고층),41.3,14,1988,2026,3,19,21000,0,,,,,720
11350,중계동,주공2,44.52,13,1992,2026,3,23,16275,0,,,,,369
11350,상계동,상계주공13(고층),58.01,4,1989,2026,3,28,25000,0,,,,,637
11350,월계동,대동,59.76,4,1997,2026,3,28,34650,0,,,,,925
11350,공릉동,동신아파트,114.98,14,1999,2026,3,21,57000,0,,,,,745
11350,하계동,한신1,35.28,2,1988,2026,3,21,18900,0,,,,,284
11350,하계동,한신1,35.28,2,1988,2026,3,21,18900,0,,,,,284
11350,월계동,삼호3,59.22,2,1986,2026,3,21,26200,0,,,,,13
11350,월계동,미륭,51.48,13,1986,2026,3,21,20837,0,,,,,13
11350,월계동,초안2,39.6,15,1997,2026,3,7,15600,0,,,,,924
11350,중계동,중계그린1단지,39.78,5,1990,2026,3,21,18522,0,,,,,502-1
11350,하계동,한신1,27,4,1988,2026,3,2,15750,0,,,,,284
11350,하계동,한신1,27,4,1988,2026,3,2,15750,0,,,,,284
11350,공릉동,비선아파트,59.87,15,1999,2026,3,13,40000,0,,,,,109
11350,월계동,주공2,44.52,13,1992,2026,3,12,21000,0,,,,,556
11350,상계동,상계주공6(고층),59.39,13,1988,2026,3,16,29900,0,,,,,720
11350,상계동,상계주공7(고층),58.01,1,1988,2026,3,1,29400,0,,,,,691
11350,하계동,극동,55.72,11,1988,2026,3,14,30500,0,,,,,271-3
11350,월계동,성원(사슴4),59.94,7,1995,2026,3,12,33000,0,,,,,322-1
11350,공릉동,태강아파트(아이파크),59.38,12,1999,2026,3,7,37800,0,,,,,81
11350,하계동,청솔(시영7),49.85,15,1989,2026,3,8,20000,0,,,,,274
11350,상계동,상계주공2(고층),58.01,14,1987,2026,3,8,35000,0,,,,,740
11350,월계동,청백3,39.84,14,1998,2026,3,2,22000,0,,,,,780
11350,월계동,삼호3,59.22,11,1986,2026,3,7,32000,0,,,,,13
11350,공릉동,태강아파트(아이파크),59.38,12,1999,2026,3,7,37800,0,,,,,81
11350,상계동,상계주공13(고층),45.55,2,1989,2026,3,1,17500,0,,,,,637
11350,상계동,상계주공6(고층),58.01,13,1988,2026,3,14,24200,0,,,,,720
11350,중계동,금호타운(583),84.98,8,1997,2026,3,25,60000,0,갱신,26.06~28.06,60000,,583
11350,상계동,상계주공4(고층),41.3,5,1988,2026,3,28,23000,0,신규,26.05~28.05,,,749-5
11350,중계동,중계그린1단지,44.1,1,1990,2026,3,20,30000,0,신규,26.05~28.05,,,502-1
11350,중계동,현대그린,84.99,4,1998,2026,3,14,48000,0,신규,26.05~28.05,,,49
11350,월계동,월계센트럴아이파크,84.99,8,2020,2026,3,19,67000,0,신규,26.05~28.05,,,951
11350,공릉동,태릉우성아파트,84.97,1,1985,2026,3,7,34000,0,갱신,26.04~27.04,34000,,254
11350,중계동,건영3,84.9,6,1995,2026,3,27,85000,0,신규,26.05~28.05,,,360-15
11350,월계동,미륭,51.48,13,1986,2026,3,9,27000,0,신규,26.06~28.06,,,13
11350,상계동,상계주공1(고층),68.86,8,1988,2026,3,11,30000,0,갱신,26.04~28.04,30000,,765
11350,월계동,삼호4,50.18,9,1987,2026,3,24,20000,0,갱신,26.04~28.04,20000,,12
11350,공릉동,태릉해링턴플레이스,59.98,19,2022,2026,3,5,49500,0,갱신,26.05~28.05,48000,,758
11350,하계동,청솔(시영7),39.78,3,1989,2026,3,7,19000,0,신규,26.06~28.06,,,274
11350,상계동,상계주공11(고층),59.39,4,1988,2026,3,23,27300,0,갱신,26.04~28.04,26000,,652
11350,상계동,노원현대,84.78,14,1997,2026,3,9,50000,0,신규,26.07~28.07,,,359
11350,중계동,주공6,44.1,13,1993,2026,3,10,24000,0,신규,26.05~28.05,,,364-12
11350,중계동,중계그린1단지,49.5,4,1990,2026,3,14,30000,0,신규,26.05~28.05,,,502-1
11350,월계동,한진한화그랑빌,84.97,25,2002,2026,3,3,62000,0,신규,26.05~28.05,,,18
11350,상계동,상계주공3(고층),84.2,4,1987,2026,3,1,45000,0,갱신,26.05~28.05,43000,,730-2
11350,상계동,상계주공4(고층),32.39,9,1988,2026,3,28,18000,0,신규,26.05~28.05,,,749-5
11350,중계동,금호타운(583),59.52,8,1997,2026,3,30,34600,0,갱신,26.05~28.05,33000,,583
11350,월계동,롯데캐슬루나,127.0318,10,2006,2026,3,17,63000,0,신규,26.06~28.06,,,947
11350,월계동,꿈의숲SKVIEW,84.93,4,2016,2026,3,3,54000,0,갱신,26.05~28.05,50000,,949
11350,중계동,중계무지개,39.96,13,1991,2026,3,7,24000,0,신규,26.06~28.06,,,512
11350,상계동,상계주공16(고층),45.77,14,1988,2026,3,31,13000,0,갱신,26.04~28.04,13000,,624
11350,중계동,경남,50.97,6,1989,2026,3,2,33000,0,신규,26.06~28.06,,,505
11350,공릉동,동신아파트,59.99,11,1999,2026,3,3,36000,0,신규,26.04~28.04,,,745
11350,상계동,상계주공7(고층),59.39,5,1988,2026,3,13,30000,0,신규,26.05~28.05,,,691
11350,상계동,상계주공9(고층),66.56,1,1988,2026,3,28,42000,0,신규,26.06~28.06,,,670
11350,중계동,이연아마빌레,144.96,5,2003,2026,3,20,72000,0,신규,26.05~28.05,,,58-34
11350,상계동,건영,84.77,12,2003,2026,3,14,34300,0,갱신,26.05~27.05,32700,,1321
11350,상계동,상계대림,59.67,8,1989,2026,3,7,30000,0,신규,26.05~28.05,,,172
11350,상계동,상계우방유쉘,139.16,4,2000,2026,3,13,54340,0,갱신,26.03~28.03,51750,,1295
11350,하계동,한신1,44.52,1,1988,2026,3,2,23000,0,신규,26.04~28.04,,,284
11350,공릉동,비선아파트,59.87,15,1999,2026,3,13,40000,0,신규,26.06~28.06,,,109
11350,공릉동,태강아파트(아이파크),49.6,8,1999,2026,3,21,37000,0,신규,26.06~28.06,,,81
11350,중계동,경남,50.97,6,1989,2026,3,2,33000,0,신규,26.06~28.06,,,505
11350,중계동,중계그린1단지,39.78,10,1990,2026,3,28,21000,0,갱신,26.05~28.05,20000,,502-1
11350,하계동,우성,84.91,15,1988,2026,3,30,48300,0,갱신,26.04~28.04,46000,,270
11350,월계동,미성,50.14,7,1986,2026,3,28,30000,0,신규,26.05~28.05,,,13
11350,상계동,상계주공10(고층),58.01,9,1988,2026,3,1,29500,0,갱신,26.05~28.05,26000,,666
11350,월계동,삼호3,59.22,6,1986,2026,3,23,21000,0,갱신,26.04~28.04,21000,,13
11350,중계동,동진,41.85,5,1988,2026,3,19,17500,0,신규,26.06~28.06,,,103
11350,상계동,상계주공12(고층),41.3,9,1988,2026,3,28,24000,0,신규,26.05~28.05,,,647
11350,하계동,건영,53.14,1,1988,2026,3,12,24100,0,신규,26.04~27.07,,,271-3
11350,하계동,극동,84.91,10,1988,2026,3,31,51500,0,갱신,26.05~28.05,49000,,271-3
11350,월계동,월계센트럴아이파크,84.99,3,2020,2026,3,24,60000,0,신규,26.07~28.07,,,951
11350,상계동,상계주공16(고층),59.39,11,1988,2026,3,27,26200,0,갱신,26.04~28.04,25000,,624
11350,중계동,주공6,44.1,5,1993,2026,3,30,25000,0,신규,26.05~28.05,,,364-12
11350,상계동,상계주공13(고층),45.9,2,1989,2026,3,19,19400,0,갱신,26.03~28.03,18500,,637
11350,중계동,청구3,84.77,14,1996,2026,3,27,73500,0,갱신,26.04~28.04,70000,,360-2
11350,중계동,중계그린1단지,39.91,1,1990,2026,3,14,23000,0,신규,26.05~28.05,,,502-1
11350,중계동,성원2,56.97,5,1995,2026,3,16,32000,0,신규,26.04~28.04,,,581
11350,상계동,상계주공4(고층),41.3,6,1988,2026,3,7,18191,0,갱신,26.04~28.04,17325,,749-5
11350,상계동,코지한주,101.54,6,2006,2026,3,18,16000,0,갱신,26.03~28.03,16000,,1401-8
11350,상계동,노원센트럴푸르지오,59.994,3,2021,2026,3,26,48300,0,갱신,26.04~27.04,46000,,1355
11350,중계동,건영2,84.96,1,1991,2026,3,30,46000,0,신규,26.06~28.06,,,515-2
11350,월계동,롯데캐슬루나,84.9852,6,2006,2026,3,11,47000,0,갱신,26.05~28.05,45000,,947
11350,상계동,상계주공2(고층),32.39,15,1987,2026,3,7,18000,0,신규,26.04~28.04,,,740
11350,상계동,상계주공14(고층),49.94,6,1989,2026,3,26,32000,0,신규,26.05~28.05,,,626
11350,중계동,라이프,115.65,14,1993,2026,3,20,76000,0,신규,26.06~28.06,,,366
11350,중계동,주공7,44.1,1,1993,2026,3,28,23000,0,신규,26.06~28.06,,,363-1
11350,월계동,삼호3,59.22,7,1986,2026,3,14,34000,0,신규,26.04~28.04,,,13
11350,상계동,수락산벨리체,114.92,2,2000,2026,3,23,68000,0,신규,26.04~28.04,,,1265
11350,하계동,한신동성,112.24,1,1993,2026,3,21,63000,0,신규,26.06~28.06,,,256-5
11350,상계동,벽산,46.8,10,1989,2026,3,31,20000,0,신규,26.03~28.03,,,173-1
11350,상계동,상계주공12(고층),41.3,6,1988,2026,3,4,18900,0,갱신,26.04~28.04,18000,,647
11350,월계동,초안산쌍용스윗닷홈,84.69,2,2006,2026,3,17,41500,0,신규,26.06~28.06,,,945
11350,상계동,상계주공4(고층),58.01,12,1988,2026,3,28,30000,0,갱신,26.05~28.05,30000,,749-5
11350,상계동,수락파크빌,114.82,8,2001,2026,3,27,65000,0,신규,26.04~28.04,,,1269
11350,공릉동,태릉우성아파트,84.97,7,1985,2026,3,19,40000,0,갱신,26.04~28.04,35000,,254
11350,중계동,중계무지개,59.26,9,1991,2026,3,27,28875,0,갱신,26.04~28.04,27500,,512
11350,상계동,보람아파트,54.59,2,1988,2026,3,29,23000,0,갱신,26.05~28.05,22000,,639
11350,상계동,상계주공7(고층),58.01,9,1988,2026,3,30,33000,0,갱신,26.05~28.05,32000,,691
11350,중계동,주공5,44.52,2,1992,2026,3,31,23000,0,신규,26.05~28.05,,,359-1
11350,하계동,한신2,44.52,13,1988,2026,3,9,27000,0,갱신,26.04~28.04,27000,,284
11350,하계동,극동,55.72,7,1988,2026,3,31,21000,0,갱신,26.04~28.04,19500,,271-3
11350,상계동,상계주공4(고층),41.3,5,1988,2026,3,28,23000,0,신규,26.05~28.05,,,749-5
11350,상계동,불암현대,114.37,12,1999,2026,3,20,55000,0,신규,26.06~28.06,,,1293
11350,월계동,한진한화그랑빌,59.94,27,2002,2026,3,23,42000,0,갱신,26.04~28.04,40000,,18
11350,상계동,상계주공2(고층),32.39,2,1987,2026,3,17,14175,0,갱신,26.03~28.02,13500,,740
11350,상계동,"상계주공15(고층,공무원임대)",49.94,14,1988,2026,3,26,17103,0,갱신,26.06~28.06,16349,,624
11350,상계동,상계주공10(고층),58.01,11,1988,2026,3,13,26500,0,갱신,26.05~28.05,25500,,666
11350,하계동,하계1청구,84.6,7,1997,2026,3,28,53000,0,갱신,26.05~28.05,51000,,251
11350,중계동,중계무지개,49.89,2,1991,2026,3,31,24150,0,갱신,26.04~28.04,23000,,512
11350,상계동,상계주공11(고층),41.3,7,1988,2026,3,21,22000,0,갱신,26.06~28.06,19000,,652
11350,중계동,중계3벽산,59.88,18,1999,2026,3,11,32992,0,갱신,26.04~28.04,31421,,592
11350,상계동,상계주공14(고층),59.39,6,1989,2026,3,28,35000,0,신규,26.07~28.07,,,626
11350,상계동,불암현대,59.4,1,1999,2026,3,3,28000,0,신규,26.05~28.05,,,1293
11350,월계동,청백4,59.4,13,1998,2026,3,31,28000,0,신규,26.06~28.06,,,781
11350,상계동,상계주공7(고층),45.77,6,1988,2026,3,15,20000,0,갱신,26.04~28.04,20000,,691
11350,월계동,삼호3,59.22,1,1986,2026,3,28,28300,0,갱신,26.04~28.04,27000,,13
11350,하계동,벽산,57.71,1,1988,2026,3,24,27000,0,신규,26.03~28.03,,,271-3
11350,중계동,현대1(4차),84.99,1,1993,2026,3,30,18000,0,갱신,26.05~28.05,18000,,577
11350,하계동,장미(시영6),39.78,5,1989,2026,3,21,24000,0,신규,26.04~28.04,,,273
11350,공릉동,동신아파트,114.98,1,1999,2026,3,12,56000,0,신규,26.06~28.06,,,745
11350,상계동,"상계주공15(고층,공무원임대)",49.94,8,1988,2026,3,12,17103,0,갱신,26.05~28.05,16349,,624
11350,상계동,우림루미아트201동,72.911,4,2004,2026,3,23,40000,0,신규,26.05~28.05,,,1307
11350,중계동,대림벽산(363),114.39,13,1993,2026,3,13,80000,0,신규,26.05~29.01,,,363
11350,공릉동,효성아파트,73.18,5,1995,2026,3,19,39000,0,신규,26.04~28.04,,,742
11350,상계동,보람아파트,54.59,11,1988,2026,3,10,31000,0,신규,26.04~28.04,,,639
11350,중계동,중계무지개,49.54,14,1991,2026,3,25,23150,0,갱신,26.05~28.05,22050,,512
11350,하계동,한신1,35.28,2,1988,2026,3,21,18900,0,갱신,26.05~28.05,18000,,284
11350,하계동,학여울청구,84.77,17,1999,2026,3,20,55000,0,신규,26.06~28.06,,,354
11350,상계동,상계주공3(고층),58.01,4,1987,2026,3,3,33600,0,갱신,26.05~28.05,32000,,730-2
11350,하계동,건영,74.58,6,1988,2026,3,14,45000,0,신규,26.06~28.06,,,271-3
11350,상계동,"상계주공15(고층,공무원임대)",49.94,2,1988,2026,3,10,17103,0,갱신,26.07~28.07,16349,,624
11350,상계동,상계주공6(고층),58.01,10,1988,2026,3,13,30000,0,신규,26.04~28.04,,,720
11350,상계동,상계주공9(고층),79.07,15,1988,2026,3,13,38500,0,갱신,26.05~28.05,37000,,670
11350,월계동,한진한화그랑빌,84.97,26,2002,2026,3,6,63000,0,신규,26.06~28.06,,,18
11350,하계동,우성,84.91,2,1988,2026,3,30,52000,0,신규,26.07~28.07,,,270
11350,중계동,동진,38.79,1,1988,2026,3,31,14700,0,갱신,26.06~28.06,14000,,103
11350,상계동,상계주공7(고층),45.9,13,1988,2026,3,31,23000,0,신규,26.04~28.04,,,691
11350,상계동,상계주공1(고층),41.3,4,1988,2026,3,7,21000,0,갱신,26.03~28.03,21000,,765
11350,상계동,"상계주공15(고층,공무원임대)",41.3,8,1988,2026,3,6,13631,0,갱신,26.05~28.05,12982,,624
11350,상계동,"상계주공15(고층,공무원임대)",49.94,15,1988,2026,3,31,17103,0,갱신,26.07~28.07,16349,,624
11350,상계동,상계주공10(저층),47.34,3,1988,2026,3,27,20250,0,신규,26.06~28.06,,,666
11350,상계동,코오롱,59.94,13,1997,2026,3,24,37000,0,신규,26.06~28.06,,,1281
11350,공릉동,두산힐스빌아파트,84.9,11,2000,2026,3,28,52500,0,갱신,26.05~28.05,50000,,747
11350,월계동,삼호3,59.22,7,1986,2026,3,28,28350,0,갱신,26.05~28.05,27000,,13
11350,하계동,장미(시영6),59.46,13,1989,2026,3,3,29000,0,갱신,26.03~27.03,29000,,273
11350,중계동,주공4,59.39,7,1991,2026,3,31,26200,0,갱신,26.04~28.04,25000,,358-2
11350,공릉동,대아2차아파트,59.88,4,2000,2026,3,26,40000,0,신규,26.05~28.05,,,492-1
11350,상계동,대림,93.13,2,1988,2026,3,21,42000,0,갱신,26.05~28.05,40000,,695
