시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11380,녹번동,래미안베라힐즈,84.95,4,2019,2026,1,24,63000,0,,,,,283
11380,응암동,e편한세상백련산,84.31,8,2022,2026,1,24,56700,0,,,,,771
11380,불광동,대호프라자아파트,59.97,9,2000,2026,1,24,35000,0,,,,,631-1
11380,불광동,북한산현대힐스테이트3차아파트,59.99,1,2010,2026,1,31,46000,0,,,,,641
11380,녹번동,래미안베라힐즈,59.98,3,2019,2026,1,28,48615,0,,,,,283
11380,응암동,백련산힐스테이트3차,114.65,12,2011,2026,1,15,60000,0,,,,,761
11380,진관동,은평뉴타운엘크루,59.98,6,2017,2026,1,24,35000,0,,,,,65
11380,녹번동,힐스테이트녹번,59.938,17,2019,2026,1,25,67000,0,,,,,282
11380,역촌동,역촌센트레빌,84.99,7,2011,2026,1,23,50000,0,,,,,232
11380,불광동,북한산한양수자인아파트,59.69,4,2006,2026,1,10,36000,0,,,,,636
11380,신사동,은평신사두산위브,84.958,8,2006,2026,1,10,47000,0,,,,,370
11380,녹번동,대림아파트(276),84.68,11,1993,2026,1,18,41500,0,,,,,276
11380,신사동,새절역두산위브트레지움,84.96,15,2025,2026,1,17,60000,0,,,,,170-12
11380,응암동,경향렉스빌,84.781,16,2004,2026,1,12,42000,0,,,,,96-18
11380,진관동,마고정3단지센트레빌(310~322동)BL2-3,59.37,4,2009,2026,1,10,46000,0,,,,,107
11380,응암동,녹번역e편한세상캐슬,59.96,7,2021,2026,1,3,60000,0,,,,,769
11380,녹번동,래미안베라힐즈,84.95,8,2019,2026,1,2,66000,0,,,,,283
11380,불광동,라이프미성,125.75,2,1988,2026,1,12,51000,0,신규,26.03~28.03,,,248
11380,대조동,영화빌리지,31.83,6,2014,2026,1,13,23900,0,신규,26.01~28.01,,,6-25
11380,불광동,북한산현대힐스테이트3차아파트,59.99,1,2010,2026,1,31,46000,0,갱신,26.02~28.02,43000,,641
11380,진관동,은평뉴타운엘크루,59.98,8,2017,2026,1,31,53000,0,신규,26.03~28.03,,,65
11380,응암동,e편한세상백련산,84.31,15,2022,2026,1,17,62000,0,신규,26.05~28.05,,,771
