시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11410,북가좌동,북가좌삼호,114.03,9,1996,2026,1,10,67000,0,,,,,449
11410,북아현동,e편한세상신촌3단지,59.97,2,2018,2026,1,30,55800,0,,,,,1013
11410,북아현동,e편한세상신촌1단지,59.85,20,2018,2026,1,24,77000,0,,,,,1013
11410,북아현동,e편한세상신촌3단지,59.97,2,2018,2026,1,30,55800,0,,,,,1013
11410,남가좌동,DMC래미안클라시스,84.9,18,2000,2026,1,30,55000,0,,,,,377
11410,북아현동,두산,59.96,3,1999,2026,1,26,49350,0,,,,,1009
11410,북가좌동,DMC래미안e편한세상,120.95,31,2012,2026,1,10,85000,0,,,,,481
11410,홍은동,유원,54.54,4,1987,2026,1,5,25200,0,,,,,22
11410,남가좌동,래미안루센티아,59.98,19,2020,2026,1,20,58000,0,,,,,390
11410,냉천동,돈의문센트레빌,84.99,7,2011,2026,1,31,85000,0,,,,,261
11410,북아현동,e편한세상신촌2단지,84.98,18,2018,2026,1,24,68250,0,,,,,1013
11410,홍제동,홍제한양,60.06,2,1993,2026,1,24,31000,0,,,,,82
11410,현저동,독립문극동(200-0),59.58,13,1998,2026,1,24,49700,0,,,,,200
11410,남가좌동,DMC파크뷰자이3단지,59.981,9,2015,2026,1,24,59850,0,,,,,385
11410,홍제동,홍제한양,60.06,11,1993,2026,1,13,40000,0,,,,,82
11410,북가좌동,DMC래미안e편한세상,84.95,13,2012,2026,1,10,73500,0,,,,,481
11410,북가좌동,DMC래미안e편한세상,59.97,2,2012,2026,1,17,52500,0,,,,,481
11410,연희동,대우푸르지오,59.584,17,2002,2026,1,13,49000,0,,,,,739
11410,남가좌동,DMC센트럴아이파크,84.98,9,2018,2026,1,26,68000,0,,,,,388
11410,홍은동,북한산두산위브,84.98,6,2020,2026,1,29,49000,0,,,,,467
11410,남가좌동,DMC센트럴아이파크,84.98,9,2018,2026,1,26,68000,0,,,,,388
11410,북아현동,신촌푸르지오,59.993,11,2015,2026,1,4,13000,0,갱신,26.01~28.01,8000,,1011
11410,북가좌동,DMC한양,65.34,8,1987,2026,1,20,38000,0,신규,26.03~28.03,,,431
11410,홍제동,홍제역해링턴플레이스,84.95,7,2024,2026,1,31,83000,0,신규,26.04~28.04,,,474
11410,홍은동,홍은동벽산,114.96,12,1997,2026,1,17,60000,0,신규,26.03~28.03,,,455
11410,남가좌동,DMC파크뷰자이1단지,120.492,13,2015,2026,1,20,120000,0,신규,26.03~28.03,,,385
11410,홍제동,홍제원현대(459-0),59.93,11,2000,2026,1,19,43000,0,신규,26.03~28.03,,,459
11410,연희동,대우푸르지오,59.584,17,2002,2026,1,13,49000,0,신규,26.03~28.03,,,739
11410,북아현동,신촌푸르지오,84.9953,3,2015,2026,1,21,87000,0,신규,26.03~28.03,,,1011
11410,북아현동,e편한세상신촌2단지,84.98,4,2018,2026,1,24,82500,0,신규,26.03~28.03,,,1013
11410,천연동,천연뜨란채,56.02,8,2006,2026,1,31,47000,0,신규,26.03~28.03,,,145
11410,대현동,신촌럭키,59.7,10,1999,2026,1,30,47000,0,신규,26.04~28.04,,,144
11410,북가좌동,DMC래미안e편한세상,84.95,4,2012,2026,1,21,75000,0,신규,26.03~28.03,,,481
11410,남가좌동,DMC파크뷰자이1단지,84.971,19,2015,2026,1,10,75000,0,갱신,26.01~26.11,75000,,385
11410,홍은동,북한산두산위브,84.98,6,2020,2026,1,29,49000,0,갱신,26.03~28.03,46850,,467
11410,홍제동,홍제역해링턴플레이스,84.95,3,2024,2026,1,16,80000,0,신규,26.03~28.03,,,474
11410,북아현동,e편한세상신촌1단지,59.85,4,2018,2026,1,4,78000,0,신규,26.03~28.03,,,1013
11410,현저동,독립문극동(200-0),84.96,11,1998,2026,1,9,59000,0,갱신,26.02~28.02,56500,,200
11410,홍은동,홍은동벽산,114.96,3,1997,2026,1,12,60000,0,신규,26.02~28.02,,,455
11410,대현동,신촌럭키,59.7,13,1999,2026,1,15,40517,0,갱신,26.02~28.02,38588,,144
11410,북아현동,신촌푸르지오,109.0901,1,2015,2026,1,17,95000,0,갱신,26.02~28.02,95000,,1011
11410,북가좌동,DMC한양,84.33,1,1987,2026,1,30,45000,0,신규,26.03~28.03,,,431
11410,남가좌동,DMC파크뷰자이1단지,120.006,24,2015,2026,1,14,105000,0,신규,26.02~30.02,,,385
11410,남가좌동,DMC파크뷰자이1단지,84.974,24,2015,2026,1,5,83000,0,신규,26.02~28.02,,,385
11410,남가좌동,DMC래미안클라시스,84.9,18,2000,2026,1,30,55000,0,신규,26.02~28.02,,,377
11410,남가좌동,래미안루센티아,84.83,11,2020,2026,1,24,70350,0,갱신,26.03~28.03,67000,,390
11410,홍제동,서대문푸르지오센트럴파크,59.94,9,2023,2026,1,29,75000,0,신규,26.03~28.03,,,478
11410,남가좌동,DMC센트럴아이파크,84.9,12,2018,2026,1,10,74000,0,신규,26.03~28.03,,,388
11410,연희동,성원,84.95,14,2001,2026,1,30,62000,0,갱신,26.02~28.02,60000,,740
11410,대현동,신촌럭키,59.7,2,1999,2026,1,31,42000,0,신규,26.02~28.02,,,144
11410,북아현동,e편한세상신촌1단지,59.85,7,2018,2026,1,13,73000,0,신규,26.02~28.02,,,1013
11410,홍제동,홍제역해링턴플레이스,84.95,11,2024,2026,1,3,85000,0,신규,26.02~28.02,,,474
11410,북아현동,e편한세상신촌1단지,59.85,4,2018,2026,1,27,78700,0,갱신,26.03~28.03,75000,,1013
11410,북가좌동,DMC래미안e편한세상,59.97,6,2012,2026,1,23,59850,0,갱신,26.02~28.02,57000,,481
11410,북아현동,e편한세상신촌1단지,59.85,16,2018,2026,1,8,75000,0,신규,26.02~28.02,,,1013
11410,남가좌동,래미안루센티아,59.98,11,2020,2026,1,31,63000,0,갱신,26.03~28.03,60000,,390
11410,남가좌동,DMC파크뷰자이3단지,59.981,3,2015,2026,1,31,63000,0,갱신,26.04~28.04,60000,,385
11410,홍제동,홍제역해링턴플레이스,59.99,6,2024,2026,1,27,63000,0,갱신,26.04~28.04,60000,,474
11410,남가좌동,래미안루센티아,59.98,15,2020,2026,1,30,50000,0,신규,26.04~28.04,,,390
11410,북가좌동,DMC래미안e편한세상,84.92,11,2012,2026,1,13,65900,0,갱신,26.02~28.02,60900,,481
11410,북아현동,e편한세상신촌2단지,84.93,22,2018,2026,1,17,93000,0,갱신,26.04~28.04,90000,,1013
11410,남가좌동,DMC파크뷰자이2단지,84.968,8,2015,2026,1,29,78000,0,갱신,26.02~28.02,78000,,385
11410,북아현동,신촌푸르지오,84.9738,7,2015,2026,1,31,83000,0,갱신,26.02~27.04,80000,,1011
11410,남가좌동,래미안루센티아,84.84,5,2020,2026,1,24,77000,0,갱신,26.02~28.02,73500,,390
11410,홍제동,홍제원현대(459-0),84.9,10,2000,2026,1,17,59500,0,신규,26.03~28.03,,,459
11410,남가좌동,남가좌동현대,59.4,7,1999,2026,1,10,45100,0,갱신,26.03~28.03,43000,,376
11410,북아현동,e편한세상신촌2단지,59.85,16,2018,2026,1,17,80000,0,갱신,26.03~28.03,75000,,1013
11410,북가좌동,DMC래미안e편한세상,120.95,31,2012,2026,1,10,85000,0,신규,26.02~28.02,,,481
11410,남가좌동,DMC센트럴아이파크,114.81,14,2018,2026,1,7,90000,0,신규,26.03~28.03,,,388
11410,북아현동,e편한세상신촌3단지,59.97,2,2018,2026,1,30,55800,0,갱신,26.03~28.03,53200,,1013
11410,홍제동,홍제센트럴IPARK,84.9728,3,2020,2026,1,30,80000,0,신규,26.04~28.04,,,473
11410,북아현동,두산,59.96,5,1999,2026,1,7,50000,0,신규,26.02~28.02,,,1009
11410,충정로3가,우리유앤미,84.73,14,2008,2026,1,7,64000,0,신규,26.02~28.02,,,466
11410,홍은동,북한산더샵,59.899,19,2017,2026,1,31,57750,0,갱신,26.02~28.02,55000,,464
