시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11440,신공덕동,신공덕1차삼성래미안1아파트,59.76,12,2000,2026,1,27,67500,0,,,,,155
11440,창전동,해모로,83.85,19,2007,2026,1,21,82000,0,,,,,443
11440,상수동,래미안밤섬리베뉴Ⅱ,59.99,7,2014,2026,1,24,78750,0,,,,,398
11440,아현동,더클래시,43.27,7,2022,2026,1,23,54000,0,,,,,804
11440,염리동,마포프레스티지자이,84.9422,1,2021,2026,1,17,105000,0,,,,,532
11440,중동,DMC마포청구아파트,84.9,12,1994,2026,1,5,49300,0,,,,,390
11440,상수동,래미안밤섬리베뉴Ⅱ,84.92,9,2014,2026,1,31,100000,0,,,,,398
11440,성산동,성산시영(유원),59.43,11,1986,2026,1,24,38000,0,,,,,446
11440,상암동,상암월드컵파크4단지,84.66,16,2006,2026,1,25,66000,0,,,,,1655
11440,염리동,마포프레스티지자이,59.8772,20,2021,2026,1,24,87150,0,,,,,532
11440,공덕동,래미안공덕5차,84.851,13,2011,2026,1,19,10000,0,,,,,469
11440,상암동,상암월드컵파크6단지,84.53,3,2005,2026,1,16,52000,0,,,,,1689
11440,대흥동,대흥동태영아파트,84.77,21,1999,2026,1,17,72200,0,,,,,660
11440,성산동,성산시영(대우),50.03,4,1986,2026,1,17,35500,0,,,,,446
11440,상암동,상암월드컵파크4단지,84.66,5,2006,2026,1,17,70000,0,,,,,1655
11440,대흥동,마포그랑자이,59.98,2,2020,2026,1,4,86000,0,,,,,806
11440,성산동,성산시영(선경),50.54,11,1986,2026,1,3,33000,0,,,,,446
11440,상암동,상암월드컵파크10단지,114.26,2,2010,2026,1,6,49280,0,,,,,1736
11440,성산동,성산시영(유원),59.43,4,1986,2026,1,11,30090,0,신규,26.02~28.02,,,446
11440,성산동,성산시영(대우),50.03,7,1986,2026,1,22,30000,0,신규,26.02~28.01,,,446
11440,성산동,성산시영(대우),50.03,4,1986,2026,1,17,35500,0,신규,26.03~28.03,,,446
11440,아현동,마포래미안푸르지오1단지,59.9452,3,2014,2026,1,7,79000,0,갱신,26.01~28.01,72000,,777
11440,상암동,상암월드컵파크5단지,84.67,9,2005,2026,1,7,68250,0,갱신,26.03~28.03,65000,,1658
11440,상암동,DMC상암센트럴파크2단지,74.6,8,2009,2026,1,9,55000,0,갱신,26.02~27.02,55000,,1618
11440,창전동,해모로,83.85,19,2007,2026,1,21,82000,0,신규,26.04~28.04,,,443
11440,현석동,래미안웰스트림,84.9,12,2016,2026,1,29,110000,0,신규,26.04~28.04,,,225
11440,염리동,염리삼성래미안,59.52,6,2001,2026,1,24,70000,0,신규,26.03~28.03,,,520
11440,도화동,현대홈타운,84.95,18,2000,2026,1,9,71000,0,신규,26.03~28.03,,,353
11440,염리동,상록,57.88,20,1997,2026,1,19,34500,0,갱신,26.03~28.03,32900,,515-1
11440,합정동,삼성강변,115.5,1,1998,2026,1,17,87000,0,신규,26.03~28.03,,,400-6
11440,서교동,대아,84.98,1,1997,2026,1,31,55000,0,신규,26.04~28.04,,,329-2
11440,망원동,마포한강아이파크,59.3883,2,2019,2026,1,17,65000,0,신규,26.02~28.02,,,521
11440,망원동,마포한강아이파크,59.3883,2,2019,2026,1,17,65000,0,신규,26.02~28.02,,,521
11440,상암동,상암월드컵파크9단지,84.89,12,2010,2026,1,29,63000,0,신규,26.02~28.02,,,1752
11440,공덕동,공덕더샵,84.9902,18,2018,2026,1,7,110000,0,갱신,26.03~28.03,105000,,478
11440,아현동,마포센트럴 아이파크,84.9668,6,2017,2026,1,10,90000,0,신규,26.03~28.03,,,802
11440,상암동,상암월드컵파크4단지,84.76,9,2006,2026,1,30,72000,0,갱신,26.03~28.03,66000,,1655
11440,신정동,서강GS,59.98,7,1999,2026,1,2,56000,0,갱신,26.03~28.03,53000,,30
11440,성산동,성산시영(유원),59.43,2,1986,2026,1,8,38000,0,신규,26.02~28.02,,,446
11440,상암동,상암월드컵파크4단지,84.66,24,2006,2026,1,17,75000,0,신규,26.02~28.02,,,1655
11440,하중동,한강밤섬자이,160.39,19,2010,2026,1,14,157500,0,갱신,26.02~28.02,150000,,101
11440,성산동,성산시영(대우),50.03,7,1986,2026,1,22,30000,0,신규,26.02~28.01,,,446
11440,대흥동,마포그랑자이,84.99,16,2020,2026,1,29,29000,0,신규,26.02~28.02,,,806
11440,성산동,성산시영(대우),50.03,14,1986,2026,1,2,30000,0,신규,26.02~28.02,,,446
11440,합정동,마포한강푸르지오,137.04,17,2015,2026,1,30,170000,0,갱신,26.03~28.03,162000,,472
11440,대흥동,마포그랑자이,59.98,9,2020,2026,1,31,86000,0,신규,26.02~28.02,,,806
