시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11470,신정동,목동우성2,84.96,13,2000,2026,3,25,43800,0,,,,,337
11470,신정동,목동신시가지12,53.46,5,1988,2026,3,21,40000,0,,,,,326
11470,목동,목동센트럴푸르지오,110.3387,20,2015,2026,3,28,170000,0,,,,,404-13
11470,신월동,목동센트럴아이파크위브3단지,84.98,3,2020,2026,3,8,50910,0,,,,,1077
11470,목동,상진지오밸리나동,84.78,1,2006,2026,3,22,46000,0,,,,,743-20
11470,신정동,목동신시가지14,71.4,9,1987,2026,3,3,52500,0,,,,,329
11470,목동,목동신시가지7,101.2,10,1986,2026,3,14,112000,0,,,,,925
11470,신정동,목동신시가지8,54.94,11,1987,2026,3,14,55000,0,,,,,314
11470,신정동,쌍용,84.63,1,1992,2026,3,10,63000,0,,,,,334
11470,신월동,롯데캐슬(1057-0),59.88,9,2010,2026,3,7,39000,0,,,,,1057
11470,목동,목동신시가지2,95.4,4,1986,2026,3,6,92000,0,,,,,902
11470,신정동,이펜하우스3단지,114.98,4,2011,2026,3,7,64000,0,신규,26.06~28.06,,,1316
11470,신정동,이펜하우스3단지,114.98,4,2011,2026,3,7,64000,0,신규,26.06~28.06,,,1316
11470,신정동,목동신시가지14,74.19,5,1987,2026,3,21,54600,0,갱신,26.05~28.05,52000,,329
11470,목동,목동신시가지7,64.4,1,1986,2026,3,15,70000,0,신규,26.06~28.06,,,925
11470,목동,목동청구한신아파트,84.76,10,1997,2026,3,7,100000,0,신규,26.05~28.05,,,929
11470,목동,목동금호베스트빌,96.83,9,2002,2026,3,11,70000,0,신규,26.05~28.05,,,549
11470,신월동,탑건위너스빌,84.98,3,2002,2026,3,4,29000,0,신규,26.03~28.03,,,145-9
11470,신정동,신호,59.94,13,1997,2026,3,28,40000,0,신규,26.06~28.06,,,948-24
11470,목동,목동신시가지7,66.6,12,1986,2026,3,21,74000,0,신규,26.05~28.05,,,925
11470,신정동,목동신시가지11,51.48,5,1988,2026,3,19,33000,0,신규,26.05~28.05,,,325
11470,목동,목동보미리즌빌,84.65,8,2006,2026,3,26,42950,0,갱신,26.04~27.04,42950,,739-1
11470,목동,목동신시가지7,101.2,10,1986,2026,3,14,112000,0,신규,26.04~28.04,,,925
11470,신정동,호반써밋목동,84.9705,3,2022,2026,3,8,68000,0,신규,26.04~28.04,,,1327
11470,목동,목동신시가지3,64.98,6,1986,2026,3,9,68000,0,신규,26.04~28.04,,,903
11470,신정동,신정6현대,84.6,1,2000,2026,3,21,44100,0,갱신,26.04~28.04,42000,,743-2
11470,목동,목동신시가지7,66.6,12,1986,2026,3,21,74000,0,신규,26.05~28.05,,,925
11470,목동,목동신시가지5,115.47,7,1986,2026,3,31,105000,0,신규,26.05~28.05,,,912
11470,신월동,신월시영,50.67,4,1988,2026,3,16,20000,0,갱신,26.06~28.06,17300,,987-1
11470,신정동,목동우성2,84.96,3,2000,2026,3,21,49000,0,갱신,26.06~28.06,47000,,337
11470,목동,신동아파밀리에,84.9861,4,2002,2026,3,6,54000,0,갱신,26.04~27.04,54000,,772-7
11470,목동,목동청구한신아파트,84.77,4,1997,2026,3,20,84000,0,갱신,26.03~28.03,80000,,929
11470,목동,목동신시가지4,47.25,1,1986,2026,3,31,37500,0,신규,26.04~28.04,,,904
11470,목동,부영그린타운1,164.1,12,1999,2026,3,16,140000,0,신규,26.04~28.04,,,907-12
11470,신월동,목동센트럴아이파크위브2단지,59.68,3,2020,2026,3,31,57500,0,갱신,26.05~28.05,55000,,1076
11470,신월동,신월시영,59.49,8,1988,2026,3,4,26500,0,신규,26.05~28.05,,,987-1
11470,목동,목동신시가지2,65.25,4,1986,2026,3,23,69000,0,갱신,26.06~28.06,69000,,902
11470,신정동,목동신시가지10,105.58,7,1987,2026,3,7,85000,0,신규,26.04~28.04,,,311
11470,목동,현대하이페리온,154.05,52,2003,2026,3,27,220000,0,갱신,26.06~28.06,210000,,916
11470,목동,목동청구한신아파트,84.77,8,1997,2026,3,16,84000,0,갱신,26.04~28.04,80000,,929
11470,신정동,신정6현대,59.4,3,2000,2026,3,31,36500,0,갱신,26.04~28.04,36500,,743-2
11470,신정동,목동힐스테이트,84.88,16,2016,2026,3,27,105000,0,신규,26.07~28.07,,,1323
11470,목동,목동신시가지3,153.58,4,1986,2026,3,17,105000,0,갱신,26.04~28.04,100000,,903
11470,목동,진도1,59.84,8,1998,2026,3,26,62000,0,신규,26.05~28.05,,,935
11470,신정동,푸른마을4,84.99,13,2002,2026,3,10,49000,0,신규,26.06~28.06,,,1285
11470,신정동,목동신시가지10,70.2,3,1987,2026,3,23,50000,0,갱신,26.06~28.06,49000,,311
11470,신정동,목동신시가지12,53.46,6,1988,2026,3,21,35600,0,갱신,26.05~28.05,34000,,326
11470,목동,목동대림,84.82,6,1994,2026,3,13,77000,0,갱신,26.04~28.04,74000,,405
11470,목동,목동신시가지7,66.6,14,1986,2026,3,2,72000,0,신규,26.04~28.04,,,925
11470,신월동,목동센트럴아이파크위브4단지,52.85,11,2020,2026,3,24,39200,0,갱신,26.05~28.05,35700,,1078
11470,목동,목동신시가지7,53.88,7,1986,2026,3,20,48300,0,갱신,26.05~28.05,46000,,925
11470,신정동,목동신시가지9,100.33,4,1987,2026,3,20,75000,0,신규,26.03~28.03,,,312
11470,목동,목동신시가지7,66.6,7,1986,2026,3,31,49500,0,갱신,26.07~28.07,47500,,925
11470,신정동,목동신시가지9,71.37,9,1987,2026,3,27,45000,0,신규,26.05~28.05,,,312
11470,신월동,롯데캐슬,59.747,3,2014,2026,3,30,53000,0,신규,26.05~28.05,,,1063
11470,목동,목동신시가지5,65.08,7,1986,2026,3,16,70000,0,신규,26.04~28.04,,,912
11470,목동,목동신시가지3,64.98,14,1986,2026,3,21,59850,0,갱신,26.04~28.04,57000,,903
11470,신정동,목동신시가지10,105.58,2,1987,2026,3,18,80000,0,신규,26.04~28.04,,,311
11470,목동,스카이빌아파트,84.51,5,2002,2026,3,14,63000,0,갱신,26.04~28.04,60000,,772-11
11470,신월동,길훈,49.77,1,1987,2026,3,29,18000,0,신규,26.04~28.04,,,341-1
11470,신정동,명지해드는터,84.97,4,2003,2026,3,29,80000,0,신규,26.06~28.06,,,1300
11470,목동,목동금호베스트빌,96.83,11,2002,2026,3,16,70000,0,신규,26.06~28.06,,,549
11470,목동,부영그린타운1,164.1,12,1999,2026,3,16,140000,0,신규,26.04~28.04,,,907-12
11470,신정동,목동신시가지10,70.2,13,1987,2026,3,13,67000,0,신규,26.07~28.07,,,311
11470,신정동,목동신시가지13,53.9,12,1987,2026,3,30,50000,0,신규,26.06~28.06,,,327
11470,신정동,목동신시가지10,53.82,1,1987,2026,3,23,44500,0,신규,26.07~28.07,,,311
11470,신정동,푸른마을3,59.99,4,2001,2026,3,13,37000,0,신규,26.05~28.05,,,1283
11470,목동,목동신시가지7,66.6,8,1986,2026,3,22,70000,0,신규,26.05~28.05,,,925
11470,신정동,성은,70.82,4,2003,2026,3,18,26500,0,신규,26.06~28.06,,,872-8
11470,신월동,목동센트럴아이파크위브2단지,84.97,17,2020,2026,3,21,63000,0,갱신,26.05~28.05,60000,,1076
11470,목동,목동신시가지1,91.26,8,1985,2026,3,27,85000,0,신규,26.05~28.05,,,901
11470,신월동,신목동파라곤,74.6347,12,2024,2026,3,29,65000,0,신규,26.05~28.05,,,1085
11470,목동,트라팰리스웨스턴에비뉴,112.33,12,2009,2026,3,11,170000,0,갱신,26.03~28.03,170000,,962
11470,신정동,유원목동,84.98,2,1990,2026,3,30,80000,0,신규,26.05~28.05,,,87-39
11470,신월동,신목동파라곤,59.9208,6,2024,2026,3,27,60000,0,신규,26.05~28.05,,,1085
11470,신정동,학마을1단지,49.99,9,2000,2026,3,30,30000,0,갱신,26.04~28.04,29000,,1293
11470,목동,현대I-PARK,59.65,4,2003,2026,3,7,55000,0,갱신,26.04~28.04,53000,,940
11470,신정동,대림,84.89,12,1992,2026,3,31,69000,0,신규,26.06~28.06,,,333
11470,신월동,신월시영,50.67,12,1988,2026,3,18,23000,0,신규,26.05~28.05,,,987-1
11470,신월동,신월시영,43.2,5,1988,2026,3,25,21000,0,갱신,26.04~28.04,21000,,987-1
11470,신월동,태진,56.29,4,1998,2026,3,28,27000,0,신규,26.05~28.05,,,467-3
11470,신정동,목동신시가지14,55.02,4,1987,2026,3,21,49000,0,신규,26.05~28.05,,,329
11470,목동,부영3,157.29,20,2000,2026,3,31,125000,0,갱신,26.04~28.04,120000,,908-34
11470,신월동,목동센트럴아이파크위브3단지,59.97,16,2020,2026,3,7,53500,0,갱신,26.04~27.02,52500,,1077
11470,신정동,호반써밋목동,59.9488,13,2022,2026,3,21,65000,0,갱신,26.04~28.04,62000,,1327
11470,목동,목동신시가지3,64.98,9,1986,2026,3,18,62000,0,신규,26.04~28.04,,,903
11470,목동,목동신시가지6,95.03,7,1986,2026,3,28,74000,0,신규,26.05~28.05,,,911
11470,신정동,아이파크,59.82,7,2002,2026,3,21,74000,0,갱신,26.05~28.05,71000,,1296
11470,신월동,신월시영,43.2,1,1988,2026,3,28,18000,0,신규,26.07~28.07,,,987-1
11470,목동,목동신시가지6,47.94,7,1986,2026,3,11,36000,0,갱신,26.04~28.04,35000,,911
11470,목동,목동신시가지6,95.03,1,1986,2026,3,7,88750,0,갱신,26.05~28.05,88750,,911
11470,목동,목동신시가지7,101.2,14,1986,2026,3,31,75000,0,신규,26.03~28.03,,,925
11470,신월동,롯데캐슬(1057-0),59.88,2,2010,2026,3,14,38000,0,갱신,26.05~28.05,38000,,1057
11470,신정동,목동신시가지11,75.68,2,1988,2026,3,16,53000,0,신규,26.04~28.04,,,325
11470,신정동,동일하이빌1단지,115.321,8,2005,2026,3,29,72000,0,신규,26.06~28.06,,,1310
11470,신정동,푸른마을4,84.81,4,2002,2026,3,10,35650,0,갱신,26.04~28.04,35650,,1285
11470,신정동,목동신시가지12,71.64,5,1988,2026,3,21,39500,0,갱신,26.05~28.05,36500,,326
11470,신정동,목동힐스테이트,84.98,16,2016,2026,3,30,110000,0,신규,26.03~26.09,,,1323
11470,목동,목4현대,59.91,2,1997,2026,3,21,52000,0,신규,26.04~28.04,,,755-1
11470,목동,목동대림,84.82,2,1994,2026,3,31,71400,0,신규,26.07~28.07,,,405
11470,신정동,목동신시가지10,106.06,2,1987,2026,3,27,84000,0,신규,26.05~28.05,,,311
11470,목동,목동신시가지3,64.98,9,1986,2026,3,28,66150,0,갱신,26.04~28.04,63000,,903
11470,신정동,태영데시앙,84.76,8,2002,2026,3,18,52000,0,신규,26.07~28.07,,,1291
11470,목동,목동신시가지2,95.67,5,1986,2026,3,13,87500,0,갱신,26.05~28.03,84500,,902
11470,신월동,목동센트럴아이파크위브2단지,52.85,7,2020,2026,3,14,44100,0,갱신,26.04~28.04,42000,,1076
11470,신정동,목동신시가지13,53.9,7,1987,2026,3,25,36700,0,갱신,26.06~28.06,35000,,327
11470,신정동,호반써밋목동,84.9224,17,2022,2026,3,26,85000,0,신규,26.07~28.07,,,1327
11470,목동,강산빌라트,131.88,3,1993,2026,3,16,25000,0,신규,26.03~28.03,,,758-1
11470,신정동,동일하이빌2단지,115.321,6,2005,2026,3,21,67000,0,갱신,26.04~28.03,65000,,1311
11470,신월동,상아아름,67.74,7,2005,2026,3,21,30000,0,신규,26.06~28.06,,,447-3
11470,신정동,신트리4,48.96,2,2000,2026,3,27,23500,0,신규,26.03~28.03,,,1277
11470,신정동,목동신시가지13,70.73,7,1987,2026,3,26,52000,0,신규,26.05~28.05,,,327
11470,신정동,목동현대3차,114.93,16,1997,2026,3,4,78750,0,갱신,26.04~28.04,75000,,1279
11470,신정동,목동신시가지12,53.46,7,1988,2026,3,21,42000,0,갱신,26.05~28.05,41000,,326
11470,목동,목동신시가지7,66.6,10,1986,2026,3,28,69000,0,갱신,26.04~28.04,60900,,925
11470,목동,목동대림,84.82,20,1994,2026,3,31,75000,0,신규,26.05~28.05,,,405
11470,신월동,목동센트럴아이파크위브2단지,59.97,19,2020,2026,3,25,54600,0,갱신,26.04~28.04,52000,,1076
