시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11500,방화동,장미,49.2,13,1994,2026,3,14,29760,0,,,,,841
11500,화곡동,M노블레스,29.88,3,2021,2026,3,31,20664,0,,,,,29-57
11500,등촌동,주공10,58.14,14,1995,2026,3,28,42000,0,,,,,702
11500,내발산동,우장산힐스테이트,84.98,14,2005,2026,3,27,81000,0,,,,,657
11500,마곡동,마곡엠밸리9단지,59.82,8,2021,2026,3,26,60900,0,,,,,744
11500,가양동,가양도시개발9-2단지,49.5,5,1993,2026,3,26,38000,0,,,,,1490
11500,가양동,강변,49.5,4,1992,2026,3,18,31250,0,,,,,1475
11500,내발산동,신세계,81.79,2,2003,2026,3,13,19000,0,,,,,698-16
11500,가양동,가양6단지,39.6,12,1992,2026,3,13,28000,0,,,,,1485
11500,내발산동,마곡수명산파크4단지,59.84,8,2008,2026,3,31,54000,0,,,,,753
11500,가양동,중앙하이츠,119.85,11,1999,2026,3,25,69000,0,,,,,1467
11500,화곡동,"우장산아이파크,이편한세상",114.98,13,2008,2026,3,28,89000,0,,,,,1159
11500,방화동,마곡중앙하이츠아파트,51.03,15,1994,2026,3,28,35000,0,,,,,852
11500,마곡동,마곡엠밸리9단지,59.86,10,2021,2026,3,14,60000,0,,,,,744
11500,화곡동,행복타운(926-10),12.24,5,2012,2026,3,10,6500,0,,,,,926-10
11500,가양동,가양강나루현대,59.76,15,1999,2026,3,21,48825,0,,,,,448-1
11500,염창동,동아3,84.87,9,1999,2026,3,20,53000,0,,,,,258-1
11500,등촌동,"진로,미주아파트",84.96,3,1994,2026,3,23,53000,0,,,,,701
11500,등촌동,주공3,58.14,7,1995,2026,3,7,50000,0,,,,,688
11500,방화동,마곡중앙하이츠아파트,51.03,15,1994,2026,3,21,29400,0,,,,,852
11500,내발산동,우장산힐스테이트,84.98,16,2005,2026,3,7,76500,0,,,,,657
11500,내발산동,우장산힐스테이트,84.98,16,2005,2026,3,12,74000,0,,,,,657
11500,방화동,방화그린,39.76,6,1993,2026,3,18,28350,0,,,,,839
11500,방화동,방화5,49.77,9,1994,2026,3,14,30000,0,,,,,814
11500,가양동,강변,39.6,1,1992,2026,3,6,24000,0,,,,,1475
11500,마곡동,마곡삼성아파트,84.92,1,1998,2026,3,16,41000,0,,,,,1478
