시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11530,오류동,한신플러스타운,59.91,14,2002,2026,3,7,34800,0,,,,,341
11530,구로동,주공2,64.62,7,1987,2026,3,30,34000,0,,,,,685-223
11530,구로동,신도림태영타운,59.88,16,2000,2026,3,28,49770,0,,,,,1267
11530,구로동,삼성래미안,56.036,13,2004,2026,3,21,44100,0,,,,,256-1
11530,항동,동보수목원,84.87,6,2007,2026,3,27,33000,0,,,,,16-33
11530,구로동,중앙하이츠(1269),59.73,17,2001,2026,3,21,46000,0,,,,,1269
11530,고척동,고척파크푸르지오,84.94,1,2009,2026,3,16,65000,0,,,,,339
11530,신도림동,대림e-편한세상6,84.816,10,2003,2026,3,14,68250,0,,,,,648
11530,구로동,삼성래미안,58.136,5,2004,2026,3,14,46000,0,,,,,256-1
11530,고척동,청구,59.94,2,1999,2026,3,6,35000,0,,,,,326
11530,구로동,대림역대성스카이렉스,84.8,14,2006,2026,3,7,50000,0,,,,,107-1
11530,구로동,신도림롯데아파트,59.68,7,1999,2026,3,9,35000,0,갱신,26.04~28.04,35000,,1263
11530,신도림동,SKVIEW,84.99,8,2006,2026,3,21,66000,0,신규,26.05~28.05,,,432-1
11530,구로동,우방,84.9,2,1993,2026,3,14,40000,0,신규,26.05~28.05,,,642-46
11530,구로동,현대연예인,84.91,11,1989,2026,3,14,40000,0,신규,26.07~28.07,,,685-70
11530,개봉동,한마을,149.97,15,1999,2026,3,9,70000,0,신규,26.05~28.05,,,476
11530,구로동,극동,55.57,10,1984,2026,3,7,28000,0,신규,26.05~28.05,,,314
11530,구로동,신도림태영타운,59.88,20,2000,2026,3,24,60000,0,신규,26.05~28.05,,,1267
11530,구로동,(796-11),48.12,5,1995,2026,3,20,14300,0,신규,26.05~28.05,,,796-11
11530,항동,동보수목원,84.87,6,2007,2026,3,27,31500,0,신규,26.05~28.05,,,16-33
11530,구로동,주공2,47.34,5,1987,2026,3,23,20600,0,신규,26.05~28.05,,,685-223
11530,고척동,고척파크푸르지오,59.89,6,2009,2026,3,19,49000,0,갱신,26.05~28.05,47000,,339
11530,개봉동,거성,58.23,5,1988,2026,3,13,18000,0,신규,26.05~28.05,,,270-80
11530,구로동,우성(1058),84.38,11,1995,2026,3,9,38000,0,신규,26.04~28.04,,,1058
11530,신도림동,미성,66.03,7,1987,2026,3,14,32000,0,갱신,26.04~28.04,32000,,290
11530,고척동,청구,59.94,13,1999,2026,3,9,39000,0,신규,26.04~28.04,,,326
11530,궁동,다청림102동(143-0),84.19,5,2012,2026,3,30,30000,0,갱신,26.03~26.09,30000,,143
11530,구로동,한신휴플러스(1280-0),58.03,4,2007,2026,3,18,5000,0,신규,26.04~27.04,,,1280
11530,구로동,삼성래미안,56.036,13,2004,2026,3,21,44100,0,갱신,26.05~28.05,42000,,256-1
11530,구로동,럭키,84.9,15,1992,2026,3,21,44000,0,신규,26.05~28.05,,,1257
11530,개봉동,현대홈타운,84.915,19,2001,2026,3,18,45718,0,갱신,26.04~28.04,43548,,480
11530,구로동,한신,59.88,6,1988,2026,3,27,35000,0,신규,26.05~28.05,,,642-9
11530,구로동,골드마인(나동),81.36,2,2004,2026,3,17,35000,0,신규,26.04~28.04,,,317-213
11530,항동,항동중흥에스클래스베르데카운티,84.9908,4,2019,2026,3,24,53000,0,신규,26.05~28.05,,,236
11530,구로동,(743-31),44.8,5,1996,2026,3,20,13000,0,신규,26.05~28.05,,,743-31
11530,개봉동,개봉동현대아이파크,59.99,11,2006,2026,3,30,55000,0,신규,26.04~28.04,,,489
11530,구로동,성락,57.33,2,1988,2026,3,8,21000,0,신규,26.04~28.04,,,145-23
11530,구로동,주공2,32.39,4,1987,2026,3,31,20000,0,신규,26.05~28.05,,,685-223
11530,구로동,승윤노블리안,58.109,6,2020,2026,3,14,38000,0,갱신,26.04~28.04,37000,,1289
11530,구로동,주공2,41.3,10,1987,2026,3,28,25000,0,갱신,26.05~26.09,25000,,685-223
11530,항동,항동제일풍경채포레스트,84.6614,1,2020,2026,3,23,41000,0,갱신,26.03~28.03,40000,,246
11530,개봉동,개봉푸르지오,71.86,23,2014,2026,3,25,48000,0,신규,26.07~28.07,,,492
11530,신도림동,동아3,110.302,24,2000,2026,3,28,78750,0,갱신,26.04~28.04,75000,,645
11530,구로동,신도림태영타운,84.87,20,2000,2026,3,16,66000,0,갱신,26.05~28.05,65000,,1267
11530,구로동,다솜금호,59.95,5,1995,2026,3,29,40000,0,신규,26.05~28.05,,,43-4
11530,개봉동,신영지웰에스테이트개봉역,59.9717,9,2024,2026,3,29,46000,0,신규,26.04~28.04,,,171-2
11530,신도림동,대림2,84.95,11,2001,2026,3,18,56000,0,신규,26.04~28.04,,,642
11530,고척동,라이프플러스,14.92,3,2012,2026,3,27,9500,0,갱신,26.05~28.05,9500,,346
11530,구로동,삼성래미안,58.136,5,2004,2026,3,14,46000,0,갱신,26.03~28.03,42000,,256-1
