시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11545,시흥동,벽산,59.94,11,2000,2026,3,27,30000,0,신규,26.05~28.05,,,1010
11545,시흥동,남서울건영2,84.82,2,1989,2026,3,5,38000,0,신규,26.05~28.05,,,384-12
11545,시흥동,관악산벽산타운5,59.34,10,2004,2026,3,7,32000,0,신규,26.05~28.05,,,1013
11545,시흥동,SM엘루이,84.98,15,2012,2026,3,31,44100,0,갱신,26.08~28.08,42000,,791-40
11545,독산동,금천롯데캐슬골드파크3차,59.9672,26,2018,2026,3,14,63000,0,신규,26.05~28.05,,,1155
11545,독산동,호정타워,59.44,6,1993,2026,3,18,25000,0,신규,26.05~28.05,,,1069
11545,시흥동,남서울건영2,84.82,2,1989,2026,3,5,38000,0,신규,26.05~28.05,,,384-12
11545,시흥동,관악산벽산타운5,59.34,9,2004,2026,3,23,32000,0,신규,26.04~28.04,,,1013
11545,시흥동,시흥동월드메르디앙,59.88,1,2006,2026,3,4,30000,0,신규,26.04~28.04,,,806
11545,시흥동,남서울힐스테이트,59.87,2,2014,2026,3,17,50000,0,신규,26.06~28.06,,,1026
11545,시흥동,벽산,59.94,11,2000,2026,3,27,30000,0,신규,26.05~28.05,,,1010
11545,독산동,독산주공14단지,44.89,15,1990,2026,3,12,20000,0,신규,26.05~28.05,,,1088
11545,시흥동,무지개,67.93,9,1980,2026,3,31,11000,0,신규,26.03~28.03,,,109-1
11545,시흥동,관악산벽산타운5,84.97,3,2004,2026,3,24,43000,0,신규,26.03~28.03,,,1013
11545,시흥동,남서울힐스테이트,84.677,22,2014,2026,3,24,55000,0,신규,26.06~29.02,,,1026
11545,가산동,두산,59.84,2,1998,2026,3,5,40000,0,신규,26.05~28.05,,,769
11545,독산동,신도브래뉴,55.55,9,2002,2026,3,30,40000,0,갱신,26.05~28.05,40000,,955
11545,시흥동,럭키남서울아파트,41.22,7,1981,2026,3,23,20000,0,신규,26.03~28.03,,,1002-1
11545,시흥동,관악산벽산타운5,114.84,2,2004,2026,3,14,54000,0,신규,26.05~28.05,,,1013
11545,독산동,금천롯데캐슬골드파크3차,59.9672,26,2018,2026,3,14,63000,0,신규,26.05~28.05,,,1155
11545,시흥동,벽산,84.99,15,2000,2026,3,27,30000,0,신규,26.06~28.06,,,1010
11545,독산동,독산동중앙하이츠빌,84.8768,17,2004,2026,3,31,48000,0,신규,26.05~28.05,,,1140
11545,독산동,독산주공14단지,38.64,15,1990,2026,3,31,20000,0,신규,26.06~28.06,,,1088
11545,독산동,이랜드해가든,84.935,8,2008,2026,3,14,60000,0,신규,26.05~28.05,,,1143
11545,가산동,두산,84.9,1,1998,2026,3,28,49000,0,신규,26.05~28.05,,,769
11545,시흥동,남서울건영2,41.34,10,1989,2026,3,8,21000,0,신규,26.04~28.04,,,384-12
11545,독산동,금천롯데캐슬골드파크3차,59.968,12,2018,2026,3,28,64000,0,신규,26.06~28.06,,,1155
11545,독산동,금천현대,84.83,9,2002,2026,3,28,40900,0,갱신,26.06~27.06,39000,,711-2
11545,독산동,진도2차,59.95,3,1997,2026,3,15,33000,0,신규,26.05~28.05,,,1133
11545,독산동,한신아파트,89.46,22,1991,2026,3,25,42000,0,갱신,26.06~28.06,40000,,1093-4
11545,독산동,금천롯데캐슬골드파크3차,84.408,11,2018,2026,3,3,63000,0,갱신,26.03~28.03,60000,,1155
