시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11560,당산동,강변래미안,55.91,15,2002,2026,3,21,53300,0,,,,,376
11560,당산동3가,당산계룡리슈빌3단지,49.993,5,2014,2026,3,21,56000,0,,,,,565
11560,신길동,신길AK푸르지오,49.9038,12,2024,2026,3,6,57000,0,,,,,255-9
11560,신길동,보라매에스케이뷰,100.95,18,2020,2026,3,29,110000,0,,,,,4958
11560,양평동4가,삼호한숲,59.96,13,2000,2026,3,21,52500,0,,,,,94
11560,영등포동,영등포푸르지오,59.912,4,2002,2026,3,27,53000,0,,,,,647
11560,당산동4가,당산현대3차,73.27,8,1988,2026,3,28,55600,0,,,,,88
11560,양평동5가,양평한신,84.87,5,1996,2026,3,14,68000,0,,,,,76
11560,신길동,신길센트럴자이아파트,52.95,11,2021,2026,3,30,50930,0,,,,,4964
11560,문래동5가,현대3차,84.55,7,1991,2026,3,14,53000,0,,,,,21
11560,여의도동,목화,89.26,6,1977,2026,3,28,58000,0,,,,,30
11560,신길동,보라매경남아너스빌,84.79,12,2005,2026,3,21,63000,0,,,,,4780
11560,양평동5가,양평한신,59.94,5,1996,2026,3,22,42829,0,,,,,76
11560,양평동4가,삼호한숲,59.96,13,2000,2026,3,21,52500,0,,,,,94
11560,당산동,래미안당산1차,84.99,9,1995,2026,3,19,56000,0,,,,,374
11560,당산동2가,당산대우,45.55,7,1999,2026,3,17,28100,0,,,,,16-1
11560,당산동5가,당산효성1차,59.85,11,1999,2026,3,10,75000,0,,,,,12
11560,대림동,신동아,67.41,6,1987,2026,3,8,33600,0,,,,,777-1
11560,영등포동,라르파크,30.2372,6,2021,2026,3,7,41000,0,,,,,651
11560,양평동1가,한신공영,59.98,4,1996,2026,3,2,47000,0,,,,,14-1
11560,대림동,문영칸타빌레,84.89,11,2001,2026,3,29,55000,0,신규,26.07~28.07,,,1061
11560,신길동,래미안에스티움,59.95,8,2017,2026,3,14,75000,0,신규,26.05~28.05,,,4950
11560,양평동3가,거성파스텔,59.96,13,1999,2026,3,26,57000,0,신규,26.05~28.05,,,90-1
11560,여의도동,대교,95.5,6,1975,2026,3,12,40000,0,신규,26.06~28.06,,,41
11560,양평동3가,거성파스텔,84.99,20,1999,2026,3,14,69000,0,신규,26.06~28.06,,,90-1
11560,대림동,한솔솔파크,84.89,10,2008,2026,3,21,60900,0,갱신,26.05~28.05,58000,,1123
11560,당산동2가,당산2가현대홈타운,82.77,19,1994,2026,3,21,68000,0,신규,26.05~28.05,,,164
11560,당산동3가,쌍용예가클래식,68.28,4,2010,2026,3,2,65100,0,신규,26.04~28.04,,,559
11560,당산동3가,쌍용예가클래식,68.28,13,2010,2026,3,15,70000,0,신규,26.05~28.05,,,559
11560,대림동,성원(650),59.63,1,1995,2026,3,3,39000,0,신규,26.05~28.05,,,650
11560,영등포동7가,여의휴젠느,36.85,11,2018,2026,3,8,40090,0,신규,26.05~27.05,,,94-99
11560,신길동,우성2,64.4,14,1986,2026,3,18,32000,0,신규,26.06~28.06,,,4518
