시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11590,상도동,힐스테이트 상도 센트럴파크,84.7954,4,2012,2026,1,10,88000,0,,,,,531
11590,상도동,힐스테이트 상도 센트럴파크,84.6099,10,2012,2026,1,9,85000,0,,,,,531
11590,대방동,대림아파트,59.84,19,1993,2026,1,17,55000,0,,,,,501
11590,흑석동,흑석리버파크자이,84.99,13,2025,2026,1,29,107000,0,,,,,343
11590,본동,경동윈츠리버,56.68,3,2004,2026,1,30,51000,0,,,,,484
11590,흑석동,아크로리버하임,84.7536,6,2019,2026,1,17,104475,0,,,,,341
11590,상도동,힐스테이트 상도 센트럴파크,84.7835,4,2012,2026,1,22,76650,0,,,,,531
11590,신대방동,보라매파크빌,84.84,12,2002,2026,1,23,74000,0,,,,,711
11590,사당동,사당롯데캐슬골든포레,84.9787,7,2021,2026,1,26,80000,0,,,,,1160
11590,상도동,힐스테이트 상도 센트럴파크,84.6099,12,2012,2026,1,24,88500,0,,,,,531
11590,본동,신동아,59.89,10,1993,2026,1,23,48000,0,,,,,481
11590,흑석동,롯데캐슬에듀포레,84.9912,16,2018,2026,1,9,92400,0,,,,,340
11590,사당동,이수역리가,84.9827,2,2013,2026,1,10,78700,0,,,,,1157
11590,노량진동,신동아리버파크,84.88,19,2001,2026,1,10,55600,0,,,,,325
11590,흑석동,한강현대,83.475,2,1988,2026,1,8,30000,0,,,,,28
11590,신대방동,보라매자이더포레스트,59.9365,30,2021,2026,1,3,66500,0,,,,,724
11590,신대방동,보라매자이더포레스트,59.9365,21,2021,2026,1,2,68250,0,,,,,724
11590,본동,극동강변,84.73,3,1992,2026,1,17,43050,0,갱신,26.04~28.04,41000,,148-2
11590,노량진동,힐스테이트장승배기역,84.8768,5,2026,2026,1,6,90000,0,신규,26.03~28.03,,,328
11590,사당동,사당자이,59.89,15,1999,2026,1,13,55000,0,신규,26.03~28.03,,,1139
11590,대방동,신한토탈,59.4,10,1997,2026,1,28,36750,0,갱신,26.03~28.03,35000,,41
11590,흑석동,아크로리버하임,84.7536,10,2019,2026,1,20,30000,0,신규,26.02~28.02,,,341
11590,사당동,대림(169-8),84.91,6,1990,2026,1,31,55100,0,신규,26.03~28.03,,,169-8
11590,노량진동,힐스테이트장승배기역,59.8057,21,2026,2026,1,5,65000,0,신규,26.03~28.03,,,328
