시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11620,봉천동,두산,114.99,3,2000,2026,1,8,75000,0,,,,,1708
11620,봉천동,현대(관악),58.59,7,1992,2026,1,16,45000,0,,,,,1000
11620,봉천동,현대(관악),58.59,7,1992,2026,1,16,45000,0,,,,,1000
11620,봉천동,e편한세상서울대입구2단지,114.88,7,2019,2026,1,12,86000,0,,,,,1730-1
11620,봉천동,서울대입구삼성,84.85,1,1999,2026,1,31,60000,0,,,,,1591-2
11620,봉천동,현대(관악),68.8,6,1992,2026,1,31,40000,0,,,,,1000
11620,봉천동,일두(1021),38.92,6,1985,2026,1,18,16500,0,,,,,1021
11620,봉천동,두산,59.92,22,2000,2026,1,24,52500,0,,,,,1708
11620,봉천동,관악푸르지오,59.58,7,2004,2026,1,24,49000,0,,,,,1717
11620,봉천동,관악푸르지오,84.75,5,2004,2026,1,6,57000,0,,,,,1717
11620,신림동,금호(1차),84.96,2,1997,2026,1,11,36000,0,,,,,1705
11620,봉천동,두산,59.92,4,2000,2026,1,24,58000,0,신규,26.03~28.03,,,1708
11620,봉천동,금강아미움(101동),71.1203,2,2010,2026,1,10,50000,0,신규,26.03~28.03,,,1522-28
11620,봉천동,서울대입구삼성,59.78,15,1999,2026,1,27,52000,0,신규,26.02~28.02,,,1591-2
11620,봉천동,에메랄드104동,83.44,3,2012,2026,1,22,50000,0,신규,26.03~28.03,,,41-274
11620,봉천동,로얄클래스,110.33,7,2003,2026,1,9,65000,0,신규,26.03~28.03,,,1593-14
11620,봉천동,두산,114.99,13,2000,2026,1,20,75000,0,신규,26.03~28.03,,,1708
11620,신림동,관악산휴먼시아2단지,59.99,16,2008,2026,1,10,39000,0,신규,26.03~28.03,,,1735
11620,신림동,관악,57.43,5,1983,2026,1,31,19000,0,신규,26.03~28.03,,,244
11620,신림동,신림2차푸르지오,84.8098,2,2007,2026,1,29,50000,0,신규,26.03~28.03,,,1736
11620,봉천동,두산,114.99,18,2000,2026,1,31,66150,0,갱신,26.02~28.02,63000,,1708
11620,봉천동,관악푸르지오,59.58,7,2004,2026,1,24,49000,0,신규,26.02~28.02,,,1717
11620,신림동,관악산휴먼시아2단지,84.98,15,2008,2026,1,24,43000,0,신규,26.02~28.02,,,1735
11620,봉천동,관악푸르지오,59.58,17,2004,2026,1,24,35000,0,갱신,26.03~28.03,35000,,1717
11620,신림동,건영1,41.04,6,1984,2026,1,3,20000,0,신규,26.01~28.01,,,746-43
11620,봉천동,관악동부센트레빌,59.75,1,2004,2026,1,16,51000,0,신규,26.02~28.02,,,1719
11620,봉천동,e편한세상서울대입구2단지,84.93,18,2019,2026,1,29,75000,0,신규,26.02~28.02,,,1730-1
11620,봉천동,관악푸르지오,84.75,5,2004,2026,1,6,57000,0,신규,26.02~28.02,,,1717
11620,봉천동,현대(관악),105.84,14,1992,2026,1,30,53200,0,갱신,26.01~28.01,53200,,1000
11620,봉천동,두산,114.99,23,2000,2026,1,31,53000,0,갱신,26.02~28.02,50000,,1708
11620,신림동,관악산휴먼시아1단지,114.7,1,2008,2026,1,25,50000,0,신규,26.03~28.03,,,1735-1
11620,봉천동,일두(1021),46.75,2,1985,2026,1,24,23000,0,신규,26.02~28.02,,,1021
11620,봉천동,관악캠퍼스타워,35.76,12,1998,2026,1,23,20000,0,신규,26.02~28.02,,,875-1
11620,신림동,건영1,41.04,7,1984,2026,1,12,21000,0,신규,26.02~28.02,,,746-43
11620,신림동,신림푸르지오,138.64,5,2005,2026,1,23,68000,0,갱신,26.04~28.04,65000,,1730
11620,봉천동,봉천동아,84.87,23,2000,2026,1,15,44000,0,갱신,26.01~28.01,44000,,1703
11620,봉천동,관악드림(삼성),59.85,3,2003,2026,1,24,49000,0,신규,26.03~28.03,,,1712
