시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11650,서초동,삼풍아파트,79.47,1,1988,2026,3,11,70000,0,,,,,1685
11650,서초동,삼풍아파트,79.47,1,1988,2026,3,11,70000,0,,,,,1685
11650,잠원동,반포센트럴자이,84.95,12,2020,2026,3,26,160600,0,,,,,162
11650,우면동,서초힐스,59.89,20,2012,2026,3,20,78000,0,,,,,773
11650,잠원동,반포센트럴자이,84.95,12,2020,2026,3,26,160600,0,,,,,162
11650,반포동,래미안원펜타스,59.7832,25,2024,2026,3,23,160000,0,,,,,12
11650,방배동,래미안원페를라,106.81,5,2025,2026,3,28,185000,0,,,,,818-14
11650,서초동,더샵서초,30.39,25,2006,2026,3,21,40900,0,,,,,1445-14
11650,반포동,반포자이,84.943,28,2009,2026,3,18,150150,0,,,,,20-43
11650,서초동,아남,84.38,11,1989,2026,3,23,55000,0,,,,,1641-13
11650,서초동,우성아파트,59.93,21,1998,2026,3,14,79800,0,,,,,1326-17
11650,반포동,반포써밋,84.4182,11,2018,2026,3,23,160000,0,,,,,1342
11650,서초동,서초센트럴IPARK,80.5098,5,2020,2026,3,21,130000,0,,,,,1582-3
11650,방배동,자현유하우스,47.47,7,2018,2026,3,15,64300,0,,,,,940-4
11650,서초동,래미안서초스위트,59.9958,26,2009,2026,3,21,94500,0,,,,,1301-6
11650,반포동,아크로리버파크,59.98,2,2016,2026,3,19,70903,0,,,,,2-12
11650,방배동,자현유하우스,47.47,7,2018,2026,3,15,64300,0,,,,,940-4
11650,서초동,롯데캐슬클래식,74.3,2,2006,2026,3,14,100800,0,,,,,1312-3
11650,우면동,서초힐스,59.97,11,2012,2026,3,4,65100,0,,,,,773
11650,서초동,헤센파크힐,21.49,7,2018,2026,3,6,38400,0,,,,,1633-4
11650,서초동,진흥아파트,101.32,3,1979,2026,3,3,62250,0,,,,,1315
11650,방배동,방배우성,84.99,5,1991,2026,3,28,75000,0,신규,26.05~28.05,,,2525
