시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11680,삼성동,청구아파트,84.99,10,1992,2026,1,4,88000,0,,,,,78-4
11680,대치동,은마,76.79,4,1979,2026,1,20,71800,0,,,,,316
11680,개포동,성원대치2단지아파트,39.53,11,1992,2026,1,29,55000,0,,,,,12
11680,논현동,신동아(22),35.73,3,1997,2026,1,24,38580,0,,,,,22
11680,개포동,삼익대청아파트,51.12,13,1992,2026,1,17,72000,0,,,,,12
11680,수서동,강남 더샵 포레스트,124.5792,9,2016,2026,1,25,136500,0,,,,,799
11680,대치동,은마,84.43,10,1979,2026,1,20,62300,0,,,,,316
11680,대치동,은마,84.43,10,1979,2026,1,20,62300,0,,,,,316
11680,자곡동,강남한양수자인(4단지),84.99,5,2014,2026,1,24,78700,0,,,,,686
11680,역삼동,역삼2차아이파크,119.095,13,2008,2026,1,15,155000,0,,,,,765-32
11680,세곡동,강남데시앙파크,59.97,11,2011,2026,1,22,15926,0,,,,,525
11680,청담동,청담대림이-편한세상,81.84,12,2002,2026,1,17,90000,0,,,,,30-33
11680,자곡동,래미안포레,84.99,11,2014,2026,1,17,95000,0,,,,,687
11680,일원동,디에이치자이개포,84.73,3,2021,2026,1,17,148000,0,,,,,743
11680,수서동,신동아,39.51,10,1992,2026,1,16,37800,0,,,,,736
11680,대치동,"쌍용대치아파트1동,2동,3동,5동,6동",83.56,10,1983,2026,1,2,73500,0,,,,,66
11680,도곡동,삼성,54.81,9,1994,2026,1,12,63000,0,,,,,161
11680,대치동,래미안대치하이스턴,110.39,10,1989,2026,1,11,160000,0,,,,,985
11680,수서동,삼익,60,9,1992,2026,1,10,55650,0,,,,,708
11680,일원동,디에이치자이개포,84.73,25,2021,2026,1,11,150000,0,,,,,743
11680,수서동,신동아,49.96,14,1992,2026,1,3,51000,0,,,,,736
11680,압구정동,"현대10차(201,202동)",108.15,2,1982,2026,1,19,85000,0,신규,26.03~28.03,,,436
11680,개포동,개포2차현대아파트(220),77.75,4,1988,2026,1,13,83000,0,신규,26.03~28.03,,,655-2
11680,삼성동,아이파크,145.046,5,2004,2026,1,10,330000,0,신규,26.03~28.03,,,87
11680,대치동,한보미도맨션2,115.05,11,1985,2026,1,21,115000,0,갱신,26.02~28.02,110000,,511
11680,역삼동,역삼동하나빌,52.31,15,2002,2026,1,27,53000,0,신규,26.03~28.03,,,681-26
11680,대치동,은마,76.79,12,1979,2026,1,31,65000,0,갱신,26.03~28.03,62000,,316
11680,대치동,한보미도맨션2,84.96,12,1985,2026,1,21,95697,0,갱신,26.01~27.01,91140,,511
11680,삼성동,현대힐스테이트2단지,40.586,20,2008,2026,1,22,63000,0,신규,26.03~28.03,,,50
11680,대치동,은마,76.79,11,1979,2026,1,30,68000,0,갱신,26.03~28.03,57300,,316
11680,도곡동,삼성래미안,122.81,16,2001,2026,1,26,160000,0,신규,26.03~28.03,,,91-5
11680,청담동,청담자이,49.619,20,2011,2026,1,10,95000,0,신규,26.03~28.03,,,134-38
11680,도곡동,삼성,54.81,5,1994,2026,1,10,65000,0,신규,26.03~28.03,,,161
11680,삼성동,청구아파트,84.99,10,1992,2026,1,4,88000,0,신규,26.03~28.03,,,78-4
11680,개포동,성원대치2단지아파트,39.53,11,1992,2026,1,24,55000,0,신규,26.03~28.03,,,12
11680,삼성동,미켈란147,84.86,10,2004,2026,1,31,96000,0,갱신,26.04~28.04,92000,,147-2
11680,대치동,대치삼성,108.52,3,2000,2026,1,26,140000,0,신규,26.01~28.01,,,1014-3
11680,삼성동,삼성동힐스테이트 1단지,31.402,8,2008,2026,1,7,60000,0,신규,26.03~28.03,,,16-2
11680,대치동,한보미도맨션2,84.96,12,1985,2026,1,21,95697,0,갱신,26.01~27.01,91140,,511
11680,압구정동,한양7,106.22,4,1981,2026,1,25,80000,0,신규,26.03~28.03,,,528
11680,압구정동,신현대11차,183.41,12,1983,2026,1,27,194000,0,갱신,26.02~28.02,185000,,433
11680,청담동,신동아,84.94,7,1997,2026,1,21,71000,0,갱신,26.03~28.03,68000,,134-16
11680,도곡동,도곡스타클래스,111.38,11,2007,2026,1,16,115000,0,신규,26.02~28.02,,,957-11
11680,개포동,개포주공7단지,60.76,4,1983,2026,1,9,39000,0,신규,26.03~28.03,,,185
11680,청담동,청담자이,89.356,6,2011,2026,1,27,169000,0,신규,26.04~28.04,,,134-38
11680,역삼동,조이너스,84.28,2,2006,2026,1,30,71000,0,신규,26.04~28.04,,,747-1
11680,논현동,펜트힐캐스케이드,48.03,9,2023,2026,1,8,65000,0,신규,26.03~28.03,,,106
11680,압구정동,신현대12차,110.82,6,1982,2026,1,23,73500,0,갱신,26.02~28.02,70000,,434
11680,개포동,성원대치2단지아파트,33.18,11,1992,2026,1,24,31500,0,갱신,26.03~28.03,30000,,12
11680,도곡동,한신(개포),52.73,4,1985,2026,1,23,40000,0,갱신,26.04~28.04,45000,,464
11680,대치동,풍림아이원1차101동(910-3),84.87,2,2003,2026,1,29,93000,0,신규,26.02~28.02,,,910-3
11680,논현동,펜트힐캐스케이드,43.01,12,2023,2026,1,14,60000,0,갱신,26.04~28.04,60000,,106
11680,논현동,우민,74.758,4,2002,2026,1,24,75000,0,신규,26.04~28.04,,,107-44
