시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11710,장지동,위례신도시송파푸르지오,106.967,25,2015,2026,1,24,101500,0,,,,,878
11710,신천동,파크리오,35.24,19,2008,2026,1,3,53000,0,,,,,17
11710,오금동,송파레미니스,59.85,13,2017,2026,1,19,58800,0,,,,,616
11710,문정동,파크하비오,84.9648,6,2016,2026,1,24,86000,0,,,,,618
11710,풍납동,신성노바빌아파트,59.78,17,2000,2026,1,31,46000,0,,,,,510
11710,거여동,송파시그니처롯데캐슬,84.98,28,2021,2026,1,19,80800,0,,,,,697
11710,장지동,위례24단지(꿈에그린),51.77,3,2013,2026,1,30,65000,0,,,,,901
11710,방이동,올림픽베어스타운1,59.37,18,1996,2026,1,24,48500,0,,,,,171
11710,오금동,대림,125.79,13,1988,2026,1,31,78750,0,,,,,2
11710,신천동,파크리오,84.79,20,2008,2026,1,22,103000,0,,,,,17
11710,송파동,송파파밀리에더퍼스트,45.7114,6,2023,2026,1,31,58000,0,,,,,245
11710,송파동,송파파밀리에더퍼스트,70.0828,6,2023,2026,1,31,66500,0,,,,,245
11710,풍납동,신성노바빌아파트,84.96,5,2000,2026,1,29,53000,0,,,,,510
11710,거여동,거여5단지,59.74,10,1997,2026,1,24,40000,0,,,,,294
11710,거여동,송파시그니처롯데캐슬,59.98,8,2021,2026,1,24,64000,0,,,,,697
11710,거여동,현대2차,82.96,2,1992,2026,1,19,48500,0,,,,,44
11710,오금동,상아2차아파트,45.77,10,1988,2026,1,28,39000,0,,,,,165
11710,방이동,올림픽선수기자촌2단지,83.06,7,1988,2026,1,24,75000,0,,,,,89
11710,장지동,송파파인타운1단지,84.95,3,2010,2026,1,23,80000,0,,,,,833
11710,장지동,송파파인타운1단지,84.95,3,2010,2026,1,23,80000,0,,,,,833
11710,장지동,송파파인타운1단지,84.95,3,2010,2026,1,23,80000,0,,,,,833
11710,문정동,올림픽훼밀리타운,84.705,12,1988,2026,1,24,67700,0,,,,,150
11710,문정동,올림픽훼밀리타운,84.705,12,1988,2026,1,24,67700,0,,,,,150
11710,장지동,송파더센트레,51.82,5,2013,2026,1,24,52500,0,,,,,879
11710,거여동,송파시그니처롯데캐슬,84.98,15,2021,2026,1,26,90000,0,,,,,697
