시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,보증금액,월세금액,계약구분,계약기간,종전보증금,종전월세,지번
11740,상일동,고덕자이,59.9398,20,2021,2026,3,14,64500,0,,,,,521
11740,상일동,고덕롯데캐슬베네루체,84.923,6,2019,2026,3,12,85000,0,,,,,514
11740,길동,이편한세상강동에코포레,59.97,18,2020,2026,3,28,62500,0,,,,,477
11740,상일동,고덕센트럴IPARK,59.97,18,2019,2026,3,31,75000,0,,,,,513
11740,명일동,고덕주공9,83.52,1,1985,2026,3,28,40000,0,,,,,257
11740,상일동,고덕숲아이파크,59.97,9,2018,2026,3,28,58800,0,,,,,515
11740,둔촌동,현대3,69.3,10,1988,2026,3,14,55000,0,,,,,135-1
11740,암사동,힐스테이트 강동 리버뷰,59.9958,9,2019,2026,3,24,70000,0,,,,,675
11740,고덕동,고덕그라시움,84.046,20,2019,2026,3,21,98000,0,,,,,693
11740,암사동,한강현대,59.94,12,1999,2026,3,19,64000,0,,,,,442-1
11740,상일동,동아,84.94,14,1997,2026,3,7,30000,0,,,,,473
11740,고덕동,고덕그라시움,59.785,17,2019,2026,3,7,78000,0,,,,,693
11740,명일동,신동아,81.07,15,1986,2026,3,12,70000,0,,,,,44
11740,길동,이편한세상강동에코포레,59.97,4,2020,2026,3,14,65000,0,,,,,477
11740,천호동,현대아파트,68.68,9,1990,2026,3,14,47200,0,,,,,168-6
11740,상일동,고덕자이,59.9398,21,2021,2026,3,5,59800,0,,,,,521
11740,천호동,e편한세상강동프레스티지원,74.84,13,2026,2026,3,2,85000,0,,,,,423-76
11740,길동,이편한세상강동에코포레,59.97,4,2020,2026,3,14,65000,0,신규,26.05~28.05,,,477
11740,암사동,힐스테이트 강동 리버뷰,59.9958,9,2019,2026,3,24,70000,0,신규,26.04~28.04,,,675
11740,상일동,고덕아르테온,59.98,14,2020,2026,3,27,63000,0,갱신,26.04~28.04,60000,,519
11740,길동,삼익파크맨션,95.87,11,1982,2026,3,14,30000,0,갱신,26.03~27.03,55000,,53
11740,강일동,고덕리엔파크1단지,114.8,2,2011,2026,3,4,58560,0,신규,26.03~28.05,,,707
11740,상일동,고덕자이,59.9398,15,2021,2026,3,14,63000,0,갱신,26.06~28.06,60000,,521
11740,명일동,고덕주공9,83.52,6,1985,2026,3,7,40000,0,갱신,26.05~28.05,28000,30,257
