구,법정동,단지명,면적,매매가,2개월전,2개월평균,최근거래,최근일자,괴리율,추세,전세평균,전세범위,매매건수,전세건수,준공,연식,여의도,청계산,독립문,통근가중,KB전세가율,할인율,갭,갭대출,갭필요현금,실거주대출,실거주필요현금,주상복합,총점_갭,총점_실거주,총점_전월세,S1,S2,S3,S4,S5,S6,S7,S8
종로구,명륜2가,아남1,84㎡,10.8,12.25,10.8,10.8,01.31,-11.8,-5.5,6.92,5.9~7.6,3,3,1995,31,34,45,26,40.6,57.1,9.3,3.88,,4.24,6.0,5.16,False,50.0,47.5,54.0,2,8,3,5,6,5,8,8
종로구,무악동,현대,59㎡,11.33,,11.33,11.699,02.07,,0.5,5.3,5.0~5.9,3,3,2000,26,35,47,8,42.2,57.1,-34.5,6.03,0.7,5.7,6.0,5.7,False,56.0,52.5,60.0,4,8,3,5,10,5,4,8
종로구,무악동,인왕산2차아이파크,84㎡,14.2,13.8,14.2,14.2,03.02,2.9,2.5,7.68,7.6~7.8,4,2,2015,11,35,47,8,42.2,57.1,-19.3,6.52,,6.99,6.0,8.67,False,69.0,64.5,68.0,6,10,6,5,10,7,4,8
종로구,창신동,두산,84㎡,10.97,11.0,10.97,11.2,02.07,1.8,-0.5,5.58,5.2~6.4,4,5,1999,27,39,44,30,42.0,57.1,7.8,5.39,0.42,5.33,6.0,5.33,False,53.0,50.5,57.0,2,8,6,5,6,5,8,8
종로구,무악동,현대,84㎡,14.6,12.298,14.6,14.598,02.10,18.7,18.7,6.86,5.9~7.5,2,5,2000,26,35,47,8,42.2,57.1,-22.7,7.74,,8.22,6.0,9.08,False,77.0,69.5,67.0,10,10,3,5,10,5,4,8
종로구,무악동,인왕산아이파크,84㎡,15.31,13.4,15.31,15.2,02.28,13.4,0.7,7.63,7.0~8.1,6,12,2008,18,35,47,8,42.2,57.1,-28.6,7.68,,8.19,6.0,9.82,False,62.5,58.5,65.0,4,10,6,5,10,6,4,8
종로구,창신동,창신이수,84㎡,9.22,,9.22,9.45,02.25,,5.0,,5.3~5.3,2,1,2003,23,39,44,30,42.0,57.1,22.5,,,,6.0,3.52,False,66.0,62.5,60.0,8,6,3,5,6,5,10,8
종로구,교북동,동아,84㎡,8.9,,8.9,9.0,02.28,,12.8,,,3,0,1995,31,32,44,5,39.2,57.1,25.2,,,,6.0,3.19,False,74.0,71.5,68.0,10,6,3,5,10,5,10,8
종로구,창신동,두산,59㎡,8.9,,8.9,9.05,03.12,,-4.9,4.45,4.2~4.6,3,4,1999,27,39,44,30,42.0,57.1,-5.6,4.45,1.55,3.19,6.0,3.19,False,45.0,41.5,51.0,2,6,3,5,6,5,4,8
중구,중림동,삼성사이버빌리지,59㎡,15.1,15.0,15.1,15.0,02.21,0.0,0.7,6.3,6.2~6.4,3,3,2001,25,20,47,24,36.2,52.5,-14.4,8.8,,9.3,6.0,9.6,False,55.0,52.5,55.0,4,10,3,5,8,5,4,6
중구,신당동,남산타운,59㎡,14.7,14.95,14.7,14.95,02.14,0.0,-2.2,5.37,4.7~6.5,8,20,2002,24,35,28,21,30.8,52.5,-11.4,9.33,0.63,9.19,6.0,9.19,False,57.0,57.5,64.0,2,10,8,7,8,5,4,6
중구,신당동,남산타운,84㎡,16.83,15.95,16.83,17.1,03.10,7.2,2.8,7.03,6.1~7.7,4,19,2002,24,35,28,21,30.8,52.5,-4.0,9.8,,10.36,6.0,11.39,False,67.0,65.5,66.0,6,10,6,7,8,5,4,6
중구,신당동,삼성,84㎡,15.5,15.75,15.5,15.5,02.27,-1.6,-1.6,6.14,5.5~6.6,2,8,1999,27,35,28,21,30.8,52.5,4.2,9.36,,9.87,6.0,10.01,False,53.0,54.5,60.0,2,10,3,7,8,5,6,6
중구,신당동,약수하이츠,84㎡,16.9,,16.9,16.4,02.20,,-5.7,6.87,6.5~7.3,2,10,1999,27,35,28,21,30.8,52.5,-4.4,10.03,,10.59,6.0,11.46,False,52.0,52.5,59.0,2,10,3,7,8,5,4,6
중구,신당동,약수하이츠,59㎡,12.17,14.0,12.17,9.9,02.21,-29.3,-9.3,5.46,4.5~7.5,8,15,1999,27,35,28,21,30.8,52.5,7.8,6.71,0.54,6.57,6.0,6.57,False,59.0,61.5,66.0,2,10,8,7,8,5,8,6
중구,충무로4가,남산센트럴자이,84㎡,12.4,11.96,12.4,12.4,01.28,3.7,3.7,7.35,7.2~7.5,2,2,2009,17,30,34,15,32.4,52.5,23.4,5.05,,5.46,6.0,6.81,False,68.5,71.5,70.0,6,10,3,7,10,6,10,6
중구,신당동,래미안하이베르,84㎡,16.73,,16.73,17.0,02.12,,3.3,7.34,6.5~8.0,2,7,2011,15,35,28,21,30.8,52.5,-3.4,9.39,,9.94,6.0,11.28,False,65.0,64.5,65.0,6,10,3,7,8,7,4,6
중구,신당동,삼성,59㎡,14.23,13.45,14.23,14.3,02.11,6.3,1.6,5.88,5.2~6.5,4,2,1999,27,35,28,21,30.8,52.5,-7.9,8.35,0.12,8.7,6.0,8.7,False,67.0,65.5,66.0,6,10,6,7,8,5,4,6
중구,신당동,래미안하이베르,59㎡,15.5,14.95,15.5,15.5,01.24,3.7,3.7,5.66,5.5~5.9,2,3,2011,15,35,28,21,30.8,52.5,-17.5,9.84,0.34,10.01,6.0,10.01,False,65.0,64.5,65.0,6,10,3,7,8,7,4,6
중구,황학동,롯데캐슬,59㎡,9.92,9.3,9.92,9.5,03.14,2.2,3.7,5.44,5.0~6.0,20,8,2008,18,34,46,26,41.2,52.5,24.8,4.48,0.56,4.25,6.0,4.25,False,64.5,65.5,63.0,6,6,10,5,6,6,10,6
중구,신당동,한진해모로,59㎡,9.4,9.4,,9.4,01.07,0.0,-14.5,,,2,0,2001,25,35,28,21,30.8,52.5,28.8,,,,6.0,3.71,False,49.0,54.5,60.0,2,6,3,7,8,5,10,6
중구,황학동,롯데캐슬,84㎡,11.53,11.9,11.53,11.0,03.05,-7.6,-1.8,6.64,5.6~7.2,9,6,2008,18,34,46,26,41.2,52.5,28.8,4.89,,5.27,6.0,5.91,False,53.5,55.5,58.0,2,8,8,5,6,6,10,6
중구,만리동2가,서울역센트럴자이,84㎡,22.6,22.6,,22.6,01.14,0.0,-0.9,8.69,2.0~10.5,2,19,2017,9,24,49,26,39.0,52.5,-39.6,13.91,,14.66,6.0,17.35,False,50.0,49.5,54.0,2,10,3,5,6,9,4,6
중구,만리동1가,LIG서울역리가,84㎡,17.45,16.7,17.45,17.9,02.27,7.2,4.5,7.95,7.1~8.5,3,8,2012,14,20,45,22,35.0,52.5,-7.8,9.5,,10.08,6.0,12.03,False,71.0,69.5,67.0,8,10,3,7,8,7,4,6
용산구,산천동,한강타운,59㎡,12.42,11.7,12.42,12.5,02.13,6.8,7.3,4.46,3.8~4.9,5,9,2001,25,14,52,33,36.8,38.8,32.7,7.96,1.54,6.83,6.0,6.83,False,72.0,72.0,60.0,9,10,6,5,6,5,10,4
용산구,도원동,삼성래미안,84㎡,18.2,18.0,18.2,18.3,02.12,1.7,1.1,6.52,5.9~7.3,6,13,2001,25,21,49,36,37.8,38.8,20.9,11.68,,12.28,6.0,12.8,False,62.0,62.5,54.0,6,10,6,5,4,5,10,4
용산구,이촌동,강촌,84㎡,28.02,,28.02,28.55,03.04,,3.8,9.18,9.0~9.3,2,4,1998,28,25,38,37,32.8,38.8,-21.8,18.84,,19.76,6.0,22.94,False,59.0,58.5,54.0,6,10,3,7,4,5,4,4
용산구,도원동,삼성래미안,59㎡,16.24,,16.24,17.0,02.13,,3.6,6.0,4.9~6.7,5,15,2001,25,21,49,36,37.8,38.8,12.0,10.24,,10.78,6.0,10.78,False,61.0,60.5,53.0,6,10,6,5,4,5,8,4
용산구,이촌동,대림,59㎡,20.5,19.7,20.5,20.5,01.29,4.1,4.1,4.72,4.3~5.5,2,9,1994,32,25,38,37,32.8,38.8,-11.1,15.78,1.28,15.18,6.0,15.18,False,65.0,63.5,56.0,8,10,3,7,4,5,4,4
용산구,이촌동,한가람,59㎡,25.62,,25.62,25.75,02.10,,2.0,6.71,5.7~8.0,4,17,1998,28,25,38,37,32.8,38.8,-38.8,18.91,,19.76,6.0,20.47,False,62.0,61.5,57.0,6,10,6,7,4,5,4,4
