시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11110,익선동,현대뜨레비앙,48.54,4,2003,2026,1,29,47500,,,중개거래,돈화문로11가길,55
11110,숭인동,삼전솔하임4차,15.09,12,2014,2026,1,31,13100,,,중개거래,지봉로4길,318-2
11110,창신동,동대문,28.8,1,1966,2026,1,31,36500,,,중개거래,지봉로,328-17
11110,명륜2가,아남1,84.9,1,1995,2026,1,31,108000,,,중개거래,창경궁로,4
11110,명륜2가,아남1,84.9,6,1995,2026,1,17,122000,,,중개거래,창경궁로,4
11110,평창동,롯데낙천대,84.82,9,2001,2026,1,31,95000,,,중개거래,평창문화로,72
11110,창신동,창신쌍용2,54.7,3,1993,2026,1,31,63800,,,중개거래,낙산길,703
11110,명륜2가,명륜동주상복합아남아파트,65.78,4,1999,2026,1,14,97500,,,중개거래,혜화로3길,237
11110,창신동,창신쌍용2,79.87,8,1993,2026,1,30,77000,,,중개거래,낙산길,703
11110,사직동,광화문스페이스본(101동~105동),147.31,3,2008,2026,1,20,250000,,,중개거래,사직로8길,9
11110,내수동,경희궁의아침2단지,174.55,2,2004,2026,1,30,270000,,,중개거래,사직로8길,71
11110,내수동,경희궁파크팰리스,103.77,12,2003,2026,1,13,166000,,,중개거래,사직로8길,95
11110,명륜1가,건양하늘터,84.78,6,2006,2026,1,30,69000,,,중개거래,혜화로9길,23
11110,교북동,경희궁자이(4단지),45.879,13,2017,2026,1,29,137000,,,중개거래,송월길,126
11110,창신동,창신쌍용2,115.53,7,1993,2026,1,26,83000,,,직거래,낙산길,703
11110,효제동,포레스트힐시티,18.505,10,2017,2026,1,20,23000,,,중개거래,대학로,65-2
11110,창신동,창신쌍용2,64.66,12,1993,2026,1,15,73000,,,중개거래,낙산길,703
11110,숭인동,종로청계힐스테이트,84.9478,7,2009,2026,1,8,110000,,,중개거래,숭인동길,766
11110,충신동,CS타워,22.17,8,2011,2026,1,26,13300,,,중개거래,율곡로20길,62-2
11110,무악동,현대,60,6,2000,2026,1,26,112900,,,중개거래,통일로,82
11110,창신동,창신쌍용2,79.87,5,1993,2026,1,22,71900,,,중개거래,낙산길,703
11110,무악동,현대,60,4,2000,2026,1,26,109990,,,중개거래,통일로,82
11110,홍파동,경희궁자이(2단지),84.9895,19,2017,2026,1,24,277500,,,중개거래,송월길,199
11110,구기동,마운틴뷰,56.77,5,2019,2026,1,7,51000,,,중개거래,비봉길,125-5
11110,신문로2가,디팰리스,158.324,12,2020,2026,1,10,500000,,,중개거래,새문안로2길,171
11110,무악동,인왕산2차아이파크,84.068,3,2015,2026,1,22,138000,,,중개거래,통일로18길,88
11110,숭인동,숭인상가,78.75,5,1979,2026,1,13,63300,,,중개거래,청계천로,204-11
11110,창신동,창신쌍용1,54.7,14,1992,2026,1,19,71700,,,중개거래,동망산길,702
11110,창신동,두산,84.9,18,1999,2026,1,20,110000,,,중개거래,지봉로5길,232
11110,명륜2가,아남1,84.9,5,1995,2026,1,19,122500,,,중개거래,창경궁로,4
11110,무악동,현대,84.92,2,2000,2026,1,17,122980,,,중개거래,통일로,82
11110,무악동,인왕산아이파크,114.931,3,2008,2026,1,17,153000,,,중개거래,통일로18길,60
11110,창신동,창신쌍용2,54.7,13,1993,2026,1,17,65000,,,중개거래,낙산길,703
11110,교북동,경희궁자이(4단지),37.2635,18,2017,2026,1,17,98000,,,중개거래,송월길,126
11110,창신동,창신쌍용2,54.7,12,1993,2026,1,8,65000,,,중개거래,낙산길,703
11110,평창동,롯데캐슬로잔,219.775,4,2009,2026,1,9,211540,,,중개거래,평창문화로,108
11110,신문로2가,디팰리스,182.058,9,2020,2026,1,7,740000,,,중개거래,새문안로2길,171
11110,사직동,광화문스페이스본(101동~105동),158.99,12,2008,2026,1,6,220000,,,중개거래,사직로8길,9
11110,구기동,마운틴뷰,59.38,5,2019,2026,1,2,50000,,,중개거래,비봉길,125-5
11110,무악동,현대,114.9,4,2000,2026,1,6,147470,,,중개거래,통일로,82
11110,신문로2가,디팰리스,148.111,13,2020,2026,1,6,475000,,,중개거래,새문안로2길,171
11110,무악동,인왕산아이파크,84.858,4,2008,2026,1,3,134000,,,중개거래,통일로18길,60
11110,무악동,인왕산2차아이파크,84.0284,9,2015,2026,1,3,139000,,,중개거래,통일로18길,88
11110,창신동,창신쌍용1,54.7,13,1992,2026,2,26,75000,,,중개거래,동망산길,702
11110,평창동,롯데캐슬로잔,239.484,6,2009,2026,2,25,216950,,,중개거래,평창문화로,108
11110,무악동,인왕산2차아이파크,112.8144,5,2015,2026,2,27,143000,,,중개거래,통일로18길,88
11110,창신동,창신이수,84.5,13,2003,2026,2,25,94500,,,중개거래,지봉로,23-816
11110,사직동,광화문스페이스본(101동~105동),160.85,6,2008,2026,2,28,218000,,,중개거래,사직로8길,9
11110,교북동,동아,84.28,8,1995,2026,2,28,95000,,,중개거래,송월길,101
11110,교북동,동아,84.28,9,1995,2026,2,28,90000,,,중개거래,송월길,101
11110,무악동,인왕산아이파크,84.858,7,2008,2026,2,28,152000,,,중개거래,통일로18길,60
