시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11140,중림동,삼성사이버빌리지,59.93,2,2001,2026,1,24,152000,,,중개거래,중림로,200
11140,필동3가,미주,130.95,5,1976,2026,1,19,90000,,,중개거래,필동로5길,62-16
11140,신당동,남산타운,59.94,1,2002,2026,1,29,138500,,,중개거래,다산로,844
11140,중림동,브라운스톤서울,112.527,15,2006,2026,1,30,162500,,,중개거래,청파로,355
11140,신당동,남산타운,84.88,2,2002,2026,1,31,165500,,,중개거래,다산로,844
11140,인현동2가,세운푸르지오헤리시티,24.5533,12,2023,2026,1,31,36000,,,중개거래,마른내로,240
11140,신당동,남산타운,59.94,12,2002,2026,1,11,149500,,,중개거래,다산로,844
11140,신당동,삼성,84.96,12,1999,2026,1,13,157500,,,중개거래,청구로1길,843
11140,신당동,약수하이츠,84.88,3,1999,2026,1,30,174000,,,중개거래,동호로10길,842
11140,신당동,약수하이츠,57.63,4,1999,2026,1,28,148000,,,중개거래,동호로10길,842
11140,신당동,현대,139.275,1,1993,2026,1,31,145000,,,중개거래,다산로36길,840
11140,충무로5가,충무로엘크루메크로시티2차,22.75,6,2016,2026,1,31,21500,,,중개거래,퇴계로49길,36-2
11140,황학동,위너빌(Winnervill),28.55,6,2018,2026,1,9,38000,,,중개거래,마장로14길,1200
11140,충무로4가,남산센트럴자이,82.413,12,2009,2026,1,28,124000,,,중개거래,퇴계로,306
11140,남대문로5가,남산트라팰리스,126.78,25,2010,2026,1,27,230000,,,중개거래,소월로2길,827
11140,입정동,힐스테이트세운센트럴2단지,56.5067,18,2023,2026,1,23,140000,,,중개거래,을지로15길,280
11140,입정동,힐스테이트세운센트럴2단지,42.998,8,2023,2026,1,20,75800,,,중개거래,을지로15길,280
11140,신당동,동산,46.53,2,2001,2026,1,31,30000,,,중개거래,동호로11아길,432-579
11140,정동,정동,44.96,4,1965,2026,1,30,56000,,,중개거래,정동길,18-1
11140,신당동,신당푸르지오,59.85,8,2005,2026,1,30,140000,,,중개거래,다산로36길,850
11140,신당동,래미안하이베르,84.97,6,2011,2026,1,30,164500,,,중개거래,퇴계로90길,851
11140,입정동,힐스테이트세운센트럴2단지,49.9902,27,2023,2026,1,29,120000,,,중개거래,을지로15길,280
11140,신당동,남산타운,59.94,2,2002,2026,1,28,150000,,,중개거래,다산로,844
11140,신당동,현대,66.6,5,1993,2026,1,27,106500,,,중개거래,다산로36길,840
11140,신당동,삼성,59.97,2,1999,2026,1,27,140000,,,중개거래,청구로1길,843
11140,신당동,남산타운,59.94,12,2002,2026,1,2,149000,,,중개거래,다산로,844
11140,신당동,래미안하이베르,59.74,15,2011,2026,1,24,155000,,,중개거래,퇴계로90길,851
11140,신당동,삼성,59.97,11,1999,2026,1,23,144000,,,중개거래,청구로1길,843
11140,신당동,삼성,114.91,3,1999,2026,1,23,159500,,,중개거래,청구로1길,843
11140,신당동,남산타운,84.88,5,2002,2026,1,10,159500,,,중개거래,다산로,844
11140,황학동,그랜드힐오피스텔,21.72,11,2017,2026,1,22,18000,,,중개거래,마장로9길,19
11140,신당동,현대,139.275,15,1993,2026,1,22,148000,,,중개거래,다산로36길,840
11140,황학동,한양I-Class,16.37,14,2013,2026,1,20,12750,,,중개거래,난계로,787
11140,황학동,DUO302,15.97,9,2014,2026,1,12,15900,,,중개거래,난계로,819
11140,황학동,한양I-Class,16.37,16,2013,2026,1,20,12800,,,중개거래,난계로,787
11140,인현동2가,세운푸르지오헤리시티,42.2349,5,2023,2026,1,6,88000,,,중개거래,마른내로,240
11140,중림동,삼성사이버빌리지,59.7,15,2001,2026,1,11,150000,,,중개거래,중림로,200
11140,신당동,노블레스하우스,70.09,2,2007,2026,1,19,79500,,,중개거래,다산로34길,290-67
11140,황학동,롯데캐슬,59.94,19,2008,2026,1,18,93000,,,중개거래,청계천로,2545
11140,신당동,한진해모로,59.76,10,2001,2026,1,6,110000,,,중개거래,왕십리로39길,845
11140,흥인동,동대문와이즈캐슬,15.55,11,2014,2026,1,8,14700,,,중개거래,퇴계로75길,119
11140,황학동,황학동코아루,84.96,10,2010,2026,1,16,103000,,,중개거래,난계로11길,882
11140,입정동,힐스테이트세운센트럴1단지,49.4486,14,2023,2026,1,9,113500,,,중개거래,을지로15길,277
11140,신당동,남산타운,84.88,11,2002,2026,1,3,167800,,,중개거래,다산로,844
11140,황학동,롯데캐슬,59.94,29,2008,2026,1,17,101500,,,중개거래,청계천로,2545
11140,신당동,현대,83.97,7,1993,2026,1,17,118000,,,중개거래,다산로36길,840
11140,황학동,롯데캐슬,59.91,28,2008,2026,1,17,98000,,,중개거래,청계천로,2545
11140,신당동,약수하이츠,57.63,5,1999,2026,1,10,140000,,,중개거래,동호로10길,842
11140,신당동,약수하이츠,57.63,4,1999,2026,1,9,141000,,,중개거래,동호로10길,842
11140,신당동,노블레스하우스,67.84,2,2007,2026,1,16,76000,,,중개거래,다산로34길,290-67
11140,황학동,롯데캐슬,114.9,10,2008,2026,1,16,129000,,,중개거래,청계천로,2545
11140,신당동,남산타운,59.94,9,2002,2026,1,15,149500,,,중개거래,다산로,844
11140,신당동,삼성,59.97,9,1999,2026,1,15,134500,,,중개거래,청구로1길,843
11140,황학동,롯데캐슬,84.97,7,2008,2026,1,14,119000,,,중개거래,청계천로,2545
11140,만리동2가,서울역센트럴자이,84.972,12,2017,2026,1,14,226000,,,중개거래,만리재로,273
11140,황학동,롯데캐슬,59.94,23,2008,2026,1,9,91300,,,중개거래,청계천로,2545
11140,신당동,현대,122.275,11,1993,2026,1,13,139000,,,중개거래,다산로36길,840
11140,만리동2가,서울역센트럴자이,72.9932,1,2017,2026,1,13,207500,,,중개거래,만리재로,273
11140,신당동,래미안하이베르,59.95,13,2011,2026,1,13,149500,,,중개거래,퇴계로90길,851
11140,충무로4가,남산센트럴자이,80.473,7,2009,2026,1,10,119600,,,중개거래,퇴계로,306
11140,황학동,롯데캐슬,84.89,22,2008,2026,1,2,113000,,,중개거래,청계천로,2545
11140,황학동,롯데캐슬,59.94,22,2008,2026,1,10,93000,,,중개거래,청계천로,2545
11140,신당동,약수하이츠,57.63,6,1999,2026,1,3,150000,,,중개거래,동호로10길,842
11140,신당동,청구e편한세상,84.96,11,2011,2026,1,11,190000,,,중개거래,청구로,852
11140,만리동2가,서울역센트럴자이,84.9791,14,2017,2026,1,10,228000,,,중개거래,만리재로,273
