시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11170,원효로4가,산호,103.67,1,1977,2026,1,27,237000,,,중개거래,원효로,118-16
11170,원효로1가,시온캐슬용산,25.55,9,2021,2026,1,28,43000,,,중개거래,원효로81길,28-7
11170,산천동,한강타운,59.69,4,2001,2026,1,30,118000,,,중개거래,새창로8길,204
11170,신계동,용산e편한세상,59.66,9,2011,2026,1,29,205000,,,중개거래,원효로,48
11170,이촌동,현대맨숀,121.44,3,1974,2026,1,30,305998,,,중개거래,이촌로,301-160
11170,서빙고동,신동아,95.66,1,1984,2026,1,17,336000,,,중개거래,이촌로,241-21
11170,한강로1가,용산파크자이,123.12,15,2005,2026,1,21,260000,,,중개거래,한강대로,50-1
11170,도원동,삼성래미안,84.69,14,2001,2026,1,28,185000,,,중개거래,새창로,23
11170,한강로3가,센트럴파크,114.8905,17,2020,2026,1,31,389000,,,중개거래,서빙고로,98
11170,한남동,나인원한남,244.3478,5,2019,2026,1,12,1404000,,,직거래,한남대로,829
11170,원효로4가,산호,103.67,2,1977,2026,1,19,248500,,,중개거래,원효로,118-16
11170,한남동,한남동리첸시아,72.06,11,2004,2026,1,24,129000,,,중개거래,한남대로,72-1
11170,이촌동,강촌,84.85,12,1998,2026,1,31,275000,,,중개거래,이촌로87길,402
11170,서빙고동,금호베스트빌1,84.95,10,2002,2026,1,17,205500,,,중개거래,서빙고로51길,296
11170,산천동,리버힐삼성,114.48,11,2001,2026,1,28,190000,,,중개거래,효창원로,193
11170,한남동,한남아이파크애비뉴,45.717,4,2017,2026,1,14,95000,,,중개거래,독서당로,828
11170,도원동,삼성래미안,59.94,14,2001,2026,1,25,156000,,,중개거래,새창로,23
11170,한남동,트윈빌에이동,193.87,3,2008,2026,1,30,385000,,,중개거래,유엔빌리지길,26-5
11170,한강로3가,센트럴파크,114.5011,21,2020,2026,1,31,395000,,,중개거래,서빙고로,98
11170,한남동,리버탑,84.77,10,2001,2026,1,6,169000,,,중개거래,독서당로6길,802
11170,도원동,삼성래미안,59.94,10,2001,2026,1,28,162000,,,중개거래,새창로,23
11170,문배동,삼라마이다스빌2,66.72,8,2004,2026,1,30,88000,,,중개거래,백범로90라길,40-19
11170,이촌동,대림,59.22,17,1994,2026,1,17,197000,,,중개거래,이촌로2가길,395
11170,도원동,삼성래미안,84.69,17,2001,2026,1,28,180000,,,중개거래,새창로,23
11170,이촌동,대림,59.22,7,1994,2026,1,29,205000,,,중개거래,이촌로2가길,395
11170,한남동,한성1,64.26,1,1974,2026,1,31,98000,,,중개거래,독서당로,29-4
11170,이촌동,한가람,59.88,10,1998,2026,1,31,253000,,,중개거래,이촌로69길,404
11170,이촌동,LG한강자이,202.32,15,2003,2026,1,30,630000,,,중개거래,이촌로64길,430
11170,산천동,리버힐삼성,84.98,18,2001,2026,1,28,178000,,,중개거래,효창원로,193
11170,효창동,세인트힐,175.26,4,2004,2026,1,28,145000,,,중개거래,효창원로72길,5-17
11170,이촌동,현대맨숀,146.38,2,1974,2026,1,23,337990,,,중개거래,이촌로,301-160
11170,이태원동,퍼시픽맨션골드,167.58,3,2003,2026,1,26,167000,,,중개거래,녹사평대로42길,352
11170,서빙고동,신동아,140.81,12,1984,2026,1,9,485000,,,중개거래,이촌로,241-21
