시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11200,성수동2가,성수1차대우아파트,84.6,7,1999,2026,1,16,98500,,,중개거래,동일로,279-50
11200,성수동1가,한진타운,59.4,13,1994,2026,1,23,220000,,,중개거래,뚝섬로,704
11200,마장동,삼성홈타운,18.06,2,2015,2026,1,30,20000,,,중개거래,마조로15길,834
11200,금호동1가,벽산,84.82,8,2001,2026,1,23,185000,,,중개거래,금호로,633
11200,금호동4가,대우,84.71,19,2001,2026,1,23,210000,,,중개거래,독서당로,800
11200,옥수동,한남하이츠,177.12,14,1982,2026,1,30,480000,,,중개거래,독서당로,220-1
11200,성수동2가,현대I-PARK,104.56,7,2003,2026,1,22,212000,,,중개거래,성수이로,834
11200,성수동1가,트리마제,35.4442,16,2017,2026,1,19,207000,,,중개거래,왕십리로,718
11200,마장동,현대,134.79,4,1998,2026,1,13,139000,,,중개거래,살곶이길,818
11200,송정동,양지쉐르빌아파트,59.02,3,2016,2026,1,31,65200,,,중개거래,동일로,97
11200,옥수동,극동그린,84.92,13,1997,2026,1,14,160000,,,중개거래,독서당로,436
11200,성수동1가,트리마제,140.3099,6,2017,2026,1,28,618000,,,중개거래,왕십리로,718
11200,옥수동,극동그린,84.92,19,1997,2026,1,16,160000,,,중개거래,독서당로,436
11200,옥수동,옥수삼성,114.666,9,1999,2026,1,28,279000,,,중개거래,독서당로,250
11200,응봉동,대림강변타운,59.76,16,2001,2026,1,29,172500,,,중개거래,고산자로,15
11200,금호동1가,벽산,114.57,13,2001,2026,1,31,190000,,,중개거래,금호로,633
11200,금호동4가,브라운스톤2차,84.98,10,2010,2026,1,31,189000,,,중개거래,동호로,1550
11200,금호동3가,두산,59.97,9,1994,2026,1,27,155000,,,중개거래,동호로,1331
11200,성수동1가,중앙하이츠빌,84.7215,4,2003,2026,1,27,207000,,,중개거래,상원길,715
11200,옥수동,현대,84.9,5,1990,2026,1,29,217000,,,중개거래,독서당로40길,4
11200,행당동,서울숲행당푸르지오,84.74,1,2011,2026,1,31,170500,,,중개거래,고산자로,376
11200,마장동,세림,84.93,4,1986,2026,1,14,149500,,,중개거래,마장로42길,784
11200,금호동2가,신금호파크자이,59.98,18,2016,2026,1,31,210000,,,중개거래,금호로,1
11200,금호동4가,서울숲르씨엘,59.5075,12,2023,2026,1,7,139000,,,중개거래,독서당로46길,1555
11200,옥수동,옥수파크힐스101동~116동,84.3,7,2016,2026,1,31,275000,,,중개거래,매봉길,528
11200,금호동1가,금호삼성래미안,84.45,9,2001,2026,1,22,187500,,,중개거래,독서당로,1500
11200,응봉동,대림(1차),126.66,5,1986,2026,1,31,250000,,,중개거래,독서당로62길,100
11200,금호동4가,대우,84.71,19,2001,2026,1,31,200000,,,중개거래,독서당로,800
11200,송정동,서울숲아이파크,84.87,2,2009,2026,1,28,134500,,,중개거래,동일로,104
11200,도선동,삼성쉐르빌,84.99,9,2006,2026,1,12,105000,,,중개거래,무학로6길,69
11200,옥수동,옥수파크힐스101동~116동,59.88,4,2016,2026,1,2,225000,,,중개거래,매봉길,528
11200,금호동1가,벽산,59.9,18,2001,2026,1,31,163500,,,중개거래,금호로,633
11200,마장동,왕십리삼성아파트,84.93,18,1996,2026,1,30,143800,,,중개거래,마장로,817
11200,행당동,신동아,84.96,3,1995,2026,1,16,150000,,,중개거래,독서당로,344
11200,옥수동,극동그린,84.92,1,1997,2026,1,29,154000,,,중개거래,독서당로,436
11200,응봉동,대림(1차),75.51,6,1986,2026,1,26,204000,,,중개거래,독서당로62길,100
11200,사근동,중앙하이츠,71.85,14,1989,2026,1,29,82800,,,중개거래,사근동길,199
11200,옥수동,옥수파크힐스101동~116동,84.92,8,2016,2026,1,28,264000,,,중개거래,매봉길,528
11200,금호동3가,두산,79.08,13,1994,2026,1,18,107100,,,직거래,동호로,1331
11200,성수동2가,롯데캐슬파크,81.567,13,2003,2026,1,16,203000,,,중개거래,성수일로8길,835
11200,옥수동,현대,84.9,1,1990,2026,1,17,190000,,,중개거래,독서당로40길,4
11200,성수동1가,동아그린,58.32,6,1999,2026,1,27,149500,,,중개거래,상원길,708
11200,상왕십리동,텐즈힐(2단지),127.44,9,2014,2026,1,27,222000,,,중개거래,마장로,811
11200,행당동,대림e-편한세상,59.96,12,2000,2026,1,28,156000,,,중개거래,행당로,347
11200,옥수동,옥수하이츠,114.78,19,1998,2026,1,23,377000,,,중개거래,한림말길,100
11200,성수동1가,트리마제,25.3284,11,2017,2026,1,13,132000,,,중개거래,왕십리로,718
11200,옥수동,옥수파크힐스117동~125동,59.78,3,2016,2026,1,23,240000,,,중개거래,매봉길,528-1
11200,상왕십리동,텐즈힐(2단지),157.29,21,2014,2026,1,27,240000,,,중개거래,마장로,811
11200,행당동,서울숲행당푸르지오,59.81,9,2011,2026,1,14,169000,,,중개거래,고산자로,376
11200,금호동4가,서울숲르씨엘,59.5075,11,2023,2026,1,21,137000,,,중개거래,독서당로46길,1555
11200,금호동4가,서울숲푸르지오,84.87,9,2007,2026,1,26,239000,,,중개거래,금호로,340
11200,성수동2가,금호타운2차아파트,59.94,6,1997,2026,1,26,130000,,,중개거래,연무장길,832
11200,행당동,행당한진타운,84.71,4,2000,2026,1,26,178000,,,중개거래,행당로,346
11200,옥수동,현대,63.13,12,1990,2026,1,17,188000,,,중개거래,독서당로40길,4
11200,옥수동,극동,148.23,12,1986,2026,1,20,260000,,,중개거래,독서당로,428
11200,응봉동,신동아,59.97,6,1996,2026,1,13,110000,,,중개거래,독서당로,275
11200,행당동,대림e-편한세상,59.96,12,2000,2026,1,24,160000,,,중개거래,행당로,347
11200,금호동1가,이편한세상금호파크힐스,84.932,17,2019,2026,1,20,245000,,,중개거래,금호로,1823
11200,송정동,건영,84.945,20,2000,2026,1,24,109000,,,중개거래,동일로,90
11200,송정동,건영,59.83,15,2000,2026,1,24,96500,,,중개거래,동일로,90
11200,금호동2가,신금호파크자이,59.98,6,2016,2026,1,24,205000,,,중개거래,금호로,1
11200,마장동,왕십리삼성아파트,84.93,12,1996,2026,1,23,151000,,,중개거래,마장로,817
11200,금호동2가,신금호파크자이,59.98,10,2016,2026,1,18,197000,,,중개거래,금호로,1
11200,행당동,신동아,76.41,6,1995,2026,1,23,152500,,,중개거래,독서당로,344
11200,행당동,서울숲리버뷰자이,59.97,3,2018,2026,1,20,219000,,,중개거래,고산자로2길,380
11200,금호동3가,두산,116.81,12,1994,2026,1,22,202000,,,중개거래,동호로,1331
11200,행당동,서울숲 한신 더 휴,84.95,17,2003,2026,1,22,182000,,,중개거래,고산자로,349
11200,송정동,서울숲아이파크,84.87,4,2009,2026,1,11,130000,,,중개거래,동일로,104
11200,하왕십리동,왕십리지웰,84.957,8,2009,2026,1,21,130000,,,중개거래,무학봉길,1064
11200,금호동2가,신금호파크자이,59.98,15,2016,2026,1,20,208000,,,중개거래,금호로,1
11200,옥수동,옥수,49.45,3,1975,2026,1,18,60000,,,중개거래,한림말3길,306
11200,사근동,중앙하이츠,71.85,6,1989,2026,1,20,80000,,,중개거래,사근동길,199
11200,응봉동,신동아,59.97,5,1996,2026,1,20,123800,,,중개거래,독서당로,275
11200,하왕십리동,센트라스,84.77,28,2016,2026,1,13,238000,,,중개거래,왕십리로,1070
11200,하왕십리동,왕십리KCC스위첸,84.897,7,2016,2026,1,19,160000,,,중개거래,무학봉길,1002
11200,옥수동,옥수삼성,84.822,9,1999,2026,1,15,233000,,,중개거래,독서당로,250
11200,응봉동,신동아,59.97,8,1996,2026,1,19,125000,,,중개거래,독서당로,275
11200,성수동1가,현대그린,81.48,9,1994,2026,1,18,185000,,,중개거래,뚝섬로3길,33-2
11200,행당동,행당한진타운,114.62,24,2000,2026,1,19,194000,,,중개거래,행당로,346
11200,금호동4가,힐스테이트서울숲리버,64.95,5,2018,2026,1,18,209500,,,중개거래,독서당로,1553
11200,하왕십리동,센트라스,59.95,25,2016,2026,1,18,209000,,,중개거래,왕십리로,1070
11200,금호동4가,대우,84.71,10,2001,2026,1,17,189000,,,중개거래,독서당로,800
11200,응봉동,신동아,59.97,10,1996,2026,1,17,130000,,,중개거래,독서당로,275
11200,응봉동,신동아,84.81,12,1996,2026,1,17,147000,,,중개거래,독서당로,275
11200,마장동,세림,40.86,10,1986,2026,1,14,108000,,,중개거래,마장로42길,784
11200,마장동,대성유니드,59.7,10,2004,2026,1,16,122000,,,중개거래,마장로37길,825
11200,옥수동,레미테지,224.09,2,2004,2026,1,14,325000,,,중개거래,독서당로,220-2
11200,마장동,현대,59.91,28,1998,2026,1,15,123500,,,중개거래,살곶이길,818
11200,마장동,세림,72.84,12,1986,2026,1,9,90000,,,직거래,마장로42길,784
11200,금호동1가,벽산,59.9,6,2001,2026,1,14,148000,,,중개거래,금호로,633
11200,성수동1가,우성,84.67,11,2004,2026,1,13,144000,,,중개거래,성수일로11길,716
11200,사근동,한양마이라움,18.36,5,2018,2026,1,13,16300,,,중개거래,살곶이길,315
11200,하왕십리동,센트라스,84.98,27,2016,2026,1,12,248000,,,중개거래,왕십리로,1070
11200,마장동,우성에비뉴,60.4,10,2017,2026,1,10,72000,,,중개거래,고산자로26길,835
11200,옥수동,극동그린,114.32,18,1997,2026,1,10,179800,,,중개거래,독서당로,436
11200,마장동,현대,59.94,9,1998,2026,1,12,119000,,,중개거래,살곶이길,818
11200,행당동,서울숲 한신 더 휴,114.97,4,2003,2026,1,10,207000,,,중개거래,고산자로,349
11200,응봉동,금호현대,59.91,6,1990,2026,1,10,152000,,,중개거래,독서당로,98
11200,금호동3가,금호자이2차,59.9167,8,2012,2026,1,11,173000,,,중개거래,금호산8길,700
11200,응봉동,서울숲리버그린동아아파트,59.98,10,2003,2026,1,10,161000,,,중개거래,고산자로4길,276
11200,금호동1가,벽산,114.57,4,2001,2026,1,10,185000,,,중개거래,금호로,633
11200,성수동1가,동아그린,58.32,1,1999,2026,1,10,120000,,,중개거래,상원길,708
11200,성수동2가,우성2차,84.24,4,2006,2026,1,10,135000,,,중개거래,성수이로16길,837
11200,송정동,금호베스트빌,84.971,9,2002,2026,1,10,108000,,,중개거래,광나루로,103
11200,마장동,마장동중앙하이츠,60,14,1999,2026,1,10,108000,,,중개거래,마장로,819
11200,응봉동,대림강변타운,59.76,10,2001,2026,1,10,165000,,,중개거래,고산자로,15
11200,성수동2가,성수우방2차아파트,59.82,11,1999,2026,1,10,114000,,,중개거래,성수일로10길,286
11200,하왕십리동,왕십리자이,51.91,17,2017,2026,1,10,142000,,,중개거래,난계로,1071
11200,금호동1가,벽산,84.82,6,2001,2026,1,9,170000,,,중개거래,금호로,633
11200,마장동,현대,59.94,6,1998,2026,1,9,113500,,,중개거래,살곶이길,818
11200,성수동2가,롯데캐슬파크,84.686,3,2003,2026,1,8,202000,,,중개거래,성수일로8길,835
11200,행당동,대림e-편한세상,59.96,9,2000,2026,1,8,150000,,,중개거래,행당로,347
11200,금호동1가,벽산,84.82,1,2001,2026,1,8,169800,,,중개거래,금호로,633
11200,금호동4가,서울숲2차푸르지오,59.862,9,2012,2026,1,8,235000,,,중개거래,금호로,235
11200,하왕십리동,왕십리자이,51.91,6,2017,2026,1,8,142000,,,중개거래,난계로,1071
11200,하왕십리동,무학현대,84.495,3,1996,2026,1,7,113000,,,중개거래,무학봉길,992
11200,행당동,행당한진타운,59.96,22,2000,2026,1,7,164500,,,중개거래,행당로,346
11200,성수동1가,트리마제,84.8213,33,2017,2026,1,2,578000,,,중개거래,왕십리로,718
11200,응봉동,대림(1차),113.71,8,1986,2026,1,5,240000,,,중개거래,독서당로62길,100
11200,행당동,행당한진타운,114.62,4,2000,2026,1,5,189000,,,중개거래,행당로,346
11200,행당동,대림e-편한세상,59.96,14,2000,2026,1,4,161500,,,중개거래,행당로,347
11200,옥수동,극동,68.58,2,1986,2026,1,3,167000,,,중개거래,독서당로,428
11200,마장동,마장동중앙하이츠,60,4,1999,2026,1,2,106500,,,중개거래,마장로,819
11200,하왕십리동,왕십리KCC스위첸,84.897,14,2016,2026,1,3,158000,,,중개거래,무학봉길,1002
11200,행당동,서울숲 한신 더 휴,59.91,12,2003,2026,1,2,165500,,,중개거래,고산자로,349
11200,응봉동,신동아,59.97,8,1996,2026,1,2,122000,,,중개거래,독서당로,275
11200,응봉동,신동아,59.97,7,1996,2026,2,5,130000,,,중개거래,독서당로,275
11200,마장동,현대,59.91,26,1998,2026,2,28,128500,,,중개거래,살곶이길,818
11200,응봉동,금호현대,79.8,2,1990,2026,2,25,190000,,,중개거래,독서당로,98
11200,성수동1가,서울숲성수현대,59.13,10,1990,2026,2,21,180000,,,중개거래,서울숲길,676-5
11200,마장동,현대,59.94,1,1998,2026,2,11,112000,,,중개거래,살곶이길,818
11200,금호동4가,서울숲푸르지오,114.8,6,2007,2026,2,14,275000,,,중개거래,금호로,340
11200,행당동,신동아,84.99,11,1995,2026,2,12,169000,,,중개거래,독서당로,344
11200,도선동,삼성쉐르빌,84.93,18,2006,2026,2,19,120000,,,중개거래,무학로6길,69
11200,행당동,신동아,114.96,4,1995,2026,2,7,170000,,,중개거래,독서당로,344
11200,금호동3가,두산,59.97,7,1994,2026,2,11,159500,,,중개거래,동호로,1331
11200,하왕십리동,극동미라주,59.4,4,2001,2026,2,10,127500,,,중개거래,난계로,1058
11200,금호동1가,벽산,114.57,14,2001,2026,2,26,200000,,,중개거래,금호로,633
11200,하왕십리동,무학현대,84.495,1,1996,2026,2,28,115000,,,중개거래,무학봉길,992
11200,옥수동,한남하이츠,149.39,2,1982,2026,2,23,329000,,,중개거래,독서당로,220-1
11200,성수동2가,서울숲금강아미움,81.02,11,2004,2026,2,6,134900,,,중개거래,아차산로9길,836
11200,성수동1가,우성,84.67,6,2004,2026,2,23,155000,,,중개거래,성수일로11길,716
11200,금호동1가,벽산,84.82,3,2001,2026,2,27,167500,,,중개거래,금호로,633
11200,하왕십리동,센트라스,40.94,26,2016,2026,2,23,131000,,,중개거래,왕십리로,1070
11200,금호동3가,금호한신,59.99,8,2005,2026,2,26,159000,,,중개거래,금호산길,1662
11200,하왕십리동,벽산,114.46,18,1996,2026,2,7,155000,,,중개거래,무학로,258
11200,옥수동,옥수하이츠,84.86,7,1998,2026,2,24,271500,,,중개거래,한림말길,100
11200,행당동,대림e-편한세상,114.94,14,2000,2026,2,26,194500,,,중개거래,행당로,347
11200,금호동4가,브라운스톤금호,84.838,7,2007,2026,2,19,198000,,,중개거래,매봉길,1507
11200,하왕십리동,왕십리풍림아이원,84.417,14,2004,2026,2,25,166500,,,중개거래,난계로,1061
11200,금호동1가,벽산,59.9,12,2001,2026,2,13,163000,,,중개거래,금호로,633
11200,도선동,삼성쉐르빌,71.34,7,2006,2026,2,23,97000,,,중개거래,무학로6길,69
11200,성수동1가,트리마제,25.3284,20,2017,2026,2,21,135500,,,중개거래,왕십리로,718
11200,금호동3가,금호자이2차,59.9167,6,2012,2026,2,24,173000,,,중개거래,금호산8길,700
11200,하왕십리동,한진해모로,84.96,21,2001,2026,2,24,131000,,,중개거래,왕십리로31길,1050
11200,성수동1가,서울숲성수현대,69.21,2,1990,2026,2,10,177000,,,중개거래,서울숲길,676-5
11200,성수동1가,트리마제,84.5402,47,2017,2026,2,11,630000,,,중개거래,왕십리로,718
11200,옥수동,풍림아이원,84.767,6,2004,2026,2,24,249000,,,중개거래,뚝섬로,60
11200,행당동,신동아,59.97,1,1995,2026,2,12,123500,,,중개거래,독서당로,344
11200,금호동3가,두산,59.97,3,1994,2026,2,10,154000,,,중개거래,동호로,1331
11200,금호동3가,두산,59.97,6,1994,2026,2,19,149500,,,중개거래,동호로,1331
11200,성수동2가,우성2차,70.17,6,2006,2026,2,12,127000,,,중개거래,성수이로16길,837
11200,마장동,세림,72.84,12,1986,2026,2,13,92000,,,중개거래,마장로42길,784
11200,옥수동,동인샤인빌,57.16,9,2003,2026,2,23,119000,,,중개거래,독서당로,12
11200,금호동4가,롯데,84.99,8,2003,2026,2,21,150000,,,중개거래,동호로,1250
11200,하왕십리동,왕십리지음재,13.72,10,2020,2026,2,9,19000,,,중개거래,무학봉28길,966-19
11200,행당동,대림e-편한세상,59.96,15,2000,2026,2,10,160000,,,중개거래,행당로,347
11200,금호동1가,벽산,84.82,3,2001,2026,2,13,179500,,,중개거래,금호로,633
11200,상왕십리동,텐즈힐(2단지),84.93,8,2014,2026,2,21,209000,,,중개거래,마장로,811
11200,성수동1가,쌍용,59.76,14,1997,2026,2,21,192000,,,중개거래,상원길,706
11200,옥수동,옥수삼성,59.7,1,1999,2026,2,21,186000,,,중개거래,독서당로,250
11200,금호동3가,금호한신,59.99,4,2005,2026,2,20,147000,,,중개거래,금호산길,1662
11200,금호동1가,벽산,59.9,3,2001,2026,2,20,164500,,,중개거래,금호로,633
11200,하왕십리동,극동미라주,84.33,5,2001,2026,2,20,149900,,,중개거래,난계로,1058
11200,용답동,YM프라젠,59.94,9,2007,2026,2,6,70000,,,중개거래,자동차시장1길,226-4
11200,마장동,현대,59.94,14,1998,2026,2,19,129000,,,중개거래,살곶이길,818
