시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11215,자양동,우성1,51.57,11,1988,2026,1,24,134500,,,중개거래,뚝섬로41길,579
11215,광장동,광장르엣지29,73.59,9,2024,2026,1,26,121770,,,직거래,광나루로,530-1
11215,광장동,현대5,59.67,10,1989,2026,1,19,133000,,,직거래,아차산로70길,554-7
11215,중곡동,에이탑,73.19,6,2003,2026,1,16,57500,,,중개거래,능동로,168-1
11215,구의동,구의현대6단지,84.92,3,1994,2026,1,21,177000,,,중개거래,구의강변로,610
11215,구의동,새한,84.91,3,2000,2026,1,24,129000,,,중개거래,자양로26길,656
11215,중곡동,중곡1단지,58.71,5,1976,2026,1,16,49950,,,중개거래,동일로72길,191-77
11215,중곡동,중곡1단지,48.46,1,1976,2026,1,25,43000,,,중개거래,동일로72길,191-77
11215,중곡동,중곡2단지,55.87,5,1976,2026,1,29,50000,,,중개거래,긴고랑로1길,190-26
11215,자양동,자양7차현대홈타운,59.94,7,2001,2026,1,5,154000,,,중개거래,능동로4길,788
11215,자양동,한양,157.87,5,1983,2026,1,27,320000,,,중개거래,구의강변로,695
11215,자양동,자양우성7,59.94,20,1998,2026,1,31,154000,,,중개거래,아차산로36길,783-1
11215,자양동,자양우성7,84.93,4,1998,2026,1,31,169500,,,중개거래,아차산로36길,783-1
11215,중곡동,주성AURA,67.76,3,2009,2026,1,23,61000,,,중개거래,용마산로1길,130-5
11215,화양동,광진코지웰,15.63,6,2014,2026,1,27,11500,,,중개거래,능동로19길,113-1
11215,구의동,파르네빌,207.13,5,2008,2026,1,29,163000,,,중개거래,구의강변로3길,587-58
11215,자양동,자양하늘채베르,46.971,2,2023,2026,1,13,96000,,,중개거래,자양로,862
11215,중곡동,중곡1단지,58.74,4,1976,2026,1,29,51800,,,중개거래,동일로72길,191-77
11215,자양동,자양우성7,59.94,12,1998,2026,1,30,100000,,,직거래,아차산로36길,783-1
11215,구의동,래미안파크스위트,59.98,18,2018,2026,1,31,165000,,,중개거래,광나루로,668
11215,광장동,현대3,59.67,10,1990,2026,1,30,177000,,,중개거래,아차산로70길,484
11215,광장동,워커힐푸르지오,92.42,11,1987,2026,1,23,173000,,,중개거래,아차산로78길,148-4
11215,광장동,워커힐 팰리스,210.83,12,2005,2026,1,10,200000,,,중개거래,아차산로78길,125
11215,화양동,화양동동도센트리움캠퍼스파크,17.248,17,2019,2026,1,23,21500,,,중개거래,광나루로,116-2
11215,자양동,그랜드아파트,35.35,7,2023,2026,1,24,48000,,,중개거래,뚝섬로52길,636-11
11215,구의동,e편한세상광진그랜드파크,84.9794,3,2021,2026,1,14,204000,,,중개거래,광나루로,680
11215,중곡동,중곡1단지,48.46,1,1976,2026,1,24,43000,,,중개거래,동일로72길,191-77
11215,자양동,더샵스타시티,139.54,13,2007,2026,1,19,260000,,,중개거래,아차산로,227-7
11215,중곡동,중곡1단지,48.46,4,1976,2026,1,25,42000,,,중개거래,동일로72길,191-77
11215,구의동,구의현대2단지,84.91,22,1996,2026,1,23,224000,,,중개거래,광나루로56길,611
11215,구의동,e편한세상광진그랜드파크,115.9824,18,2021,2026,1,17,253000,,,중개거래,광나루로,680
11215,광장동,청구,84.86,3,1996,2026,1,23,189500,,,중개거래,아차산로,566
11215,구의동,구의현대2단지,84.91,10,1996,2026,1,23,222500,,,중개거래,광나루로56길,611
11215,구의동,아차산포레안,84.68,9,2010,2026,1,14,140000,,,중개거래,천호대로,663
