시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11230,용두동,신동아,58.59,9,1994,2026,3,30,83000,,,중개거래,무학로26길,779
11230,청량리동,한신,59.97,8,1997,2026,3,17,67000,,,직거래,제기로,60
11230,전농동,청량리역롯데캐슬 SKY-L65,84.971,8,2023,2026,3,30,177000,,,중개거래,답십리로,620-47
11230,답십리동,동서울한양,76.41,10,1989,2026,3,24,74900,,,중개거래,답십리로,41
11230,장안동,장안현대홈타운(336),84.87,4,2003,2026,3,31,112100,,,중개거래,장안벚꽃로,336
11230,용두동,래미안엘리니티,84.99,18,2022,2026,3,25,200000,,,중개거래,한빛로,796
11230,휘경동,주공1,84.84,5,2001,2026,3,31,94700,,,중개거래,한천로,57
11230,휘경동,서울가든,85.92,7,1985,2026,3,18,42000,,,직거래,겸재로,49-5
11230,답십리동,래미안위브,121.64,22,2014,2026,3,28,181000,,,중개거래,답십리로,1003
11230,휘경동,브라운스톤휘경,84.91,6,2013,2026,3,18,108500,,,중개거래,망우로20길,368
11230,청량리동,현대코아,139.98,7,1997,2026,3,31,94000,,,중개거래,홍릉로,738
11230,답십리동,래미안엘파인아파트,84.94,11,2011,2026,3,21,101000,,,중개거래,한천로37길,1000
11230,답십리동,청계지웰에스테이트,19.525,9,2012,2026,3,29,13900,,,중개거래,사가정로,498-7
11230,휘경동,주공2,39.98,2,2001,2026,3,28,51500,,,중개거래,한천로,57
11230,장안동,U포그니2차,52.59,7,2018,2026,3,18,47500,,,중개거래,답십리로68길,586
11230,답십리동,청계푸르지오시티,18.92,13,2015,2026,3,23,14450,,,중개거래,천호대로,497-23
11230,장안동,래미안장안2차,112.92,13,2007,2026,3,17,135000,,,중개거래,장안벚꽃로,329-3
11230,제기동,안암골벽산,84.98,8,2003,2026,3,29,100000,,,중개거래,약령시로,153
11230,이문동,쌍용,59.99,24,2000,2026,3,31,93500,,,중개거래,한천로58길,64
11230,제기동,안암골벽산,84.98,14,2003,2026,3,9,95000,,,중개거래,약령시로,153
11230,답십리동,래미안위브,84.98,7,2014,2026,3,13,167000,,,중개거래,답십리로,1003
11230,용두동,청량리역한양수자인그라시엘,84.97,35,2023,2026,3,7,170000,,,중개거래,고산자로32길,798
11230,신설동,신설동역자이르네,42.972,4,2024,2026,3,7,73000,,,중개거래,천호대로,96-48
