시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11260,신내동,동성1,59.4,12,1993,2026,1,30,53000,,,중개거래,신내로,397
11260,상봉동,우정아파트,81.783,22,2002,2026,1,9,83000,,,중개거래,상봉중앙로1다길,496
11260,상봉동,건영캐스빌,84.6475,3,2006,2026,1,31,81000,,,중개거래,상봉중앙로8길,499
11260,신내동,신내 데시앙포레,59.92,13,2013,2026,1,29,68000,,,중개거래,신내역로,817
11260,신내동,진로아파트,101.86,12,1995,2026,1,2,88000,,,중개거래,신내로17길,654
11260,면목동,사가정센트럴아이파크,114.853,24,2020,2026,1,31,178700,,,중개거래,동일로92길,1545
11260,상봉동,프레미어스엠코,58.64,24,2013,2026,1,24,87000,,,중개거래,망우로,500
11260,묵동,현대아이파크,84.9416,10,2002,2026,1,23,89000,,,중개거래,중랑천로,385
11260,면목동,현대,84.09,11,1994,2026,1,30,74800,,,중개거래,용마산로,1502
11260,면목동,면목삼익아파트,59.5,12,1997,2026,1,31,59200,,,중개거래,동일로,1516
11260,면목동,현대,84.99,11,1994,2026,1,31,77500,,,중개거래,용마산로,1502
11260,면목동,현대,74.79,15,1994,2026,1,19,71000,,,중개거래,용마산로,1502
11260,면목동,라온프라이빗,59.9803,10,2020,2026,1,30,94500,,,중개거래,동일로91길,1544
11260,면목동,쌍용더플래티넘용마산,75.058,1,2020,2026,1,30,100000,,,중개거래,용마산로,1548
11260,면목동,동성네스트빌101,75.76,4,2001,2026,1,31,40000,,,중개거래,용마산로40길,1339-2
11260,면목동,면목한신,27,10,1987,2026,1,31,25000,,,중개거래,중랑천로,193-1
11260,신내동,성원,84.32,10,1994,2026,1,31,68500,,,중개거래,신내로,783
11260,면목동,두산4,84.86,21,2000,2026,1,10,74000,,,직거래,면목로35길,1522
11260,면목동,늘푸른동아,84.97,1,2002,2026,1,26,75900,,,중개거래,동일로,715
11260,면목동,용마산모아엘가파크포레,83.91,13,2023,2026,1,23,87500,,,중개거래,용마산로84길,1549
11260,면목동,두산4,84.87,18,2000,2026,1,30,87000,,,중개거래,면목로35길,1522
11260,면목동,면목한신,44.5,12,1987,2026,1,29,45000,,,중개거래,중랑천로,193-1
11260,묵동,동구햇살,84.97,15,2004,2026,1,26,72500,,,중개거래,동일로169길,388
11260,묵동,한국,59.64,7,1999,2026,1,23,56000,,,중개거래,중랑천로,378
