시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11290,길음동,삼부컨비니언,111.71,13,1998,2026,1,28,95000,,,중개거래,동소문로,1276
11290,하월곡동,성북힐스테이트(101동),84.14,17,2007,2026,1,9,75000,,,직거래,동소문로44길,88-64
11290,정릉동,우정에쉐르,59.9,15,2009,2026,1,29,59000,,,중개거래,북악산로,1033
11290,정릉동,정릉푸른마을동아,84.96,15,2003,2026,1,8,70000,,,중개거래,서경로,210
11290,길음동,롯데캐슬클라시아,59.7812,15,2022,2026,1,27,141000,,,중개거래,숭인로8길,1289
11290,돈암동,한신,113.67,10,1998,2026,1,26,88000,,,중개거래,성북로4길,609-1
11290,하월곡동,삼전솔하임3차,15.62,4,2013,2026,1,26,11350,,,중개거래,동소문로46길,88-510
11290,정릉동,정릉힐스테이트3차,114.78,6,2008,2026,1,30,93500,,,직거래,보국문로,1031
11290,길음동,길음뉴타운9단지(래미안),84.78,19,2010,2026,1,27,125000,,,중개거래,길음로9길,1286
11290,안암동3가,삼익,177.57,9,1983,2026,1,26,110000,,,중개거래,안암로9길,135
11290,하월곡동,성북힐스테이트(101동),84.14,17,2007,2026,1,26,92000,,,중개거래,동소문로44길,88-64
11290,돈암동,동소문현대,84.72,3,1994,2026,1,17,65000,,,중개거래,아리랑로5길,630
11290,길음동,길음뉴타운8단지(래미안),59.99,9,2010,2026,1,24,122000,,,중개거래,길음로,1284
11290,돈암동,한신,132.96,3,1998,2026,1,15,92000,,,중개거래,성북로4길,609-1
11290,석관동,코오롱,114.84,15,1999,2026,1,31,79500,,,중개거래,한천로,405
11290,길음동,길음뉴타운6단지(래미안),84.049,5,2007,2026,1,29,135000,,,중개거래,길음로,1283
11290,종암동,래미안세레니티,84.92,10,2009,2026,1,28,103000,,,중개거래,종암로23길,133
11290,석관동,석관래미안,114.97,12,2009,2026,1,26,108000,,,중개거래,화랑로,407
11290,삼선동3가,삼선에스케이뷰,122.44,11,2012,2026,1,31,159500,,,중개거래,삼선교로16길,116
11290,장위동,래미안장위퍼스트하이,84.98,9,2020,2026,1,30,123900,,,중개거래,한천로,320
11290,돈암동,이수브라운스톤돈암,59.99,18,2004,2026,1,31,85800,,,중개거래,북악산로,636
11290,돈암동,대성유니드(641-0),84.93,9,2009,2026,1,22,70000,,,중개거래,동소문로31길,641
11290,종암동,래미안라센트,59.98,15,2011,2026,1,18,104500,,,중개거래,종암로24가길,134
11290,하월곡동,성북힐스테이트(101동),101.97,16,2007,2026,1,24,94000,,,중개거래,동소문로44길,88-64
11290,종암동,래미안크리시엘,84.95,6,2004,2026,1,23,95300,,,중개거래,종암로25길,80
11290,석관동,래미안아트리치,84.94,13,2019,2026,1,31,125000,,,중개거래,돌곶이로8길,410
11290,길음동,길음뉴타운6단지(래미안),84.049,4,2007,2026,1,31,142500,,,중개거래,길음로,1283
11290,길음동,길음뉴타운6단지(래미안),84.049,14,2007,2026,1,23,139000,,,중개거래,길음로,1283
11290,돈암동,길음역금호어울림센터힐,84.77,3,2014,2026,1,24,105000,,,중개거래,동소문로34길,643
11290,하월곡동,아남,59.97,14,1996,2026,1,17,53500,,,중개거래,종암로36길,218
11290,길음동,롯데캐슬클라시아,59.8826,17,2022,2026,1,29,144000,,,중개거래,숭인로8길,1289
11290,정릉동,정릉풍림아이원,59.88,10,2005,2026,1,31,59000,,,중개거래,솔샘로,239
11290,석관동,석관래미안,114.97,7,2009,2026,1,31,100000,,,중개거래,화랑로,407
11290,종암동,종암에스케이,59.86,5,1999,2026,1,31,81800,,,중개거래,종암로24가길,104-1
11290,길음동,래미안길음센터피스,84.95,33,2019,2026,1,30,172000,,,중개거래,숭인로,1288
11290,장위동,래미안장위퍼스트하이,84.94,3,2020,2026,1,31,124000,,,중개거래,한천로,320
11290,하월곡동,베로니스,52.9,7,2020,2026,1,31,62000,,,중개거래,화랑로1길,90-700
11290,길음동,롯데캐슬골든힐스,84.93,21,2019,2026,1,31,110000,,,중개거래,서경로,1287-1
11290,삼선동2가,삼선푸르지오,84.83,8,2008,2026,1,31,99700,,,중개거래,보문로29다길,425
11290,길음동,래미안길음센터피스,59.97,9,2019,2026,1,30,141000,,,중개거래,숭인로,1288
11290,길음동,길음뉴타운8단지(래미안),114.98,20,2010,2026,1,31,146000,,,중개거래,길음로,1284
11290,하월곡동,동신,84.78,4,1998,2026,1,31,81500,,,중개거래,오패산로3길,219
11290,길음동,길음동동부센트레빌(1278-0),114.912,12,2003,2026,1,31,120000,,,중개거래,숭인로2길,1278
11290,석관동,두산,84.9,23,1998,2026,1,30,94800,,,중개거래,화랑로48길,10
11290,장위동,꿈의숲코오롱하늘채,84.71,20,2017,2026,1,31,122000,,,중개거래,돌곶이로,319
11290,길음동,길음뉴타운8단지(래미안),84.82,26,2010,2026,1,31,130000,,,중개거래,길음로,1284
11290,하월곡동,월곡두산위브,84.843,3,2003,2026,1,31,88000,,,중개거래,오패산로,222
11290,종암동,종암에스케이,59.04,17,1999,2026,1,30,81000,,,중개거래,종암로24가길,104-1
11290,정릉동,쌍용2,59.9,8,1999,2026,1,30,60000,,,중개거래,북악산로,1017
11290,돈암동,한진(609-1),84.87,20,1998,2026,1,30,84000,,,중개거래,성북로4길,609-1
11290,정릉동,정릉2차e-편한세상,114.96,14,2009,2026,1,30,102500,,,중개거래,북악산로,1035
11290,종암동,래미안라센트,59.98,9,2011,2026,1,29,110000,,,중개거래,종암로24가길,134
11290,장위동,래미안장위퍼스트하이,116.91,16,2020,2026,1,30,140000,,,중개거래,한천로,320
11290,돈암동,길음역금호어울림센터힐,84.8,12,2014,2026,1,31,109300,,,중개거래,동소문로34길,643
11290,하월곡동,래미안월곡,114.678,7,2006,2026,1,31,113500,,,중개거래,오패산로,225
11290,길음동,길음뉴타운5단지(래미안),114.93,19,2006,2026,1,24,135000,,,중개거래,길음로,1282
11290,길음동,길음뉴타운4단지(e편한세상),84.64,18,2005,2026,1,30,128000,,,중개거래,길음로,1281
11290,길음동,길음뉴타운4단지(e편한세상),84.64,17,2005,2026,1,30,125000,,,중개거래,길음로,1281
11290,하월곡동,동신,84.78,18,1998,2026,1,29,83000,,,중개거래,오패산로3길,219
11290,정릉동,쌍용2,59.9,1,1999,2026,1,30,52000,,,중개거래,북악산로,1017
11290,길음동,길음뉴타운6단지(래미안),84.049,1,2007,2026,1,30,123500,,,중개거래,길음로,1283
11290,종암동,종암에스케이,114.75,5,1999,2026,1,30,97000,,,중개거래,종암로24가길,104-1
11290,하월곡동,아남,84.56,16,1996,2026,1,29,64700,,,중개거래,종암로36길,218
11290,종암동,래미안라센트,84.99,6,2011,2026,1,29,115000,,,중개거래,종암로24가길,134
11290,장위동,래미안포레카운티,84.97,13,2021,2026,1,29,122000,,,중개거래,장월로,322
11290,정릉동,우방,84.92,5,1999,2026,1,24,54000,,,중개거래,북악산로,1016
11290,종암동,래미안라센트,84.99,11,2011,2026,1,21,124000,,,중개거래,종암로24가길,134
11290,길음동,길음뉴타운2단지푸르지오,84.97,4,2005,2026,1,29,100000,,,중개거래,길음로,1280
11290,정릉동,쌍용2,59.9,17,1999,2026,1,29,60000,,,중개거래,북악산로,1017
11290,종암동,아이파크종암동2차,59.675,2,2005,2026,1,29,82000,,,중개거래,종암로9길,131
11290,길음동,길음동동부센트레빌(1278-0),84.844,4,2003,2026,1,29,98000,,,중개거래,숭인로2길,1278
11290,길음동,길음뉴타운1단지(래미안길음1차),59.99,18,2003,2026,1,28,107000,,,중개거래,길음로9길,1279
11290,정릉동,중앙하이츠빌2단지,84.95,5,2005,2026,1,24,69900,,,중개거래,정릉로26길,435
11290,하월곡동,월곡래미안루나밸리,84.88,9,2007,2026,1,29,104000,,,중개거래,월곡로14길,226
11290,길음동,길음뉴타운9단지(래미안),114.86,14,2010,2026,1,2,140000,,,중개거래,길음로9길,1286
11290,석관동,두산,84.9,3,1998,2026,1,28,88500,,,중개거래,화랑로48길,10
11290,정릉동,길음뉴타운경남아너스빌,59.59,19,1999,2026,1,28,74800,,,중개거래,정릉로,1015
11290,길음동,길음뉴타운8단지(래미안),59.99,6,2010,2026,1,28,115000,,,중개거래,길음로,1284
11290,돈암동,한신,132.96,2,1998,2026,1,28,98000,,,중개거래,성북로4길,609-1
11290,보문동6가,아남,84.9,11,1994,2026,1,28,70000,,,중개거래,보문사길,36-2
11290,종암동,종암에스케이,84.72,2,1999,2026,1,28,84300,,,중개거래,종암로24가길,104-1
11290,하월곡동,꿈의숲푸르지오,59.65,6,2010,2026,1,28,85000,,,중개거래,오패산로16가길,228
11290,길음동,롯데캐슬클라시아,59.8826,23,2022,2026,1,27,149000,,,중개거래,숭인로8길,1289
11290,길음동,길음뉴타운2단지푸르지오,84.97,12,2005,2026,1,28,102500,,,중개거래,길음로,1280
11290,길음동,길음뉴타운1단지(래미안길음1차),84.96,1,2003,2026,1,28,109000,,,중개거래,길음로9길,1279
11290,길음동,길음뉴타운1단지(래미안길음1차),114.98,9,2003,2026,1,28,129000,,,중개거래,길음로9길,1279
11290,길음동,길음뉴타운8단지(래미안),84.94,4,2010,2026,1,5,134500,,,중개거래,길음로,1284
11290,정릉동,정릉힐스테이트,84.92,22,2004,2026,1,28,86300,,,중개거래,정릉로,1025
11290,정릉동,우방,84.92,3,1999,2026,1,19,55000,,,중개거래,북악산로,1016
11290,장위동,참누리아파트,84.98,13,2006,2026,1,28,77200,,,중개거래,한천로101길,316-5
11290,길음동,길음뉴타운4단지(e편한세상),84.64,10,2005,2026,1,24,111000,,,중개거래,길음로,1281
11290,정릉동,중앙하이츠빌2단지,84.95,16,2005,2026,1,27,74000,,,중개거래,정릉로26길,435
11290,길음동,길음뉴타운7단지(두산위브),59.98,14,2010,2026,1,27,111300,,,중개거래,길음로13길,1285
11290,정릉동,우방,84.92,4,1999,2026,1,27,56500,,,중개거래,북악산로,1016
11290,길음동,길음뉴타운2단지푸르지오,59.77,1,2005,2026,1,27,78000,,,중개거래,길음로,1280
11290,정릉동,정릉힐스테이트1차,84.915,6,2007,2026,1,27,78700,,,중개거래,북악산로,1030
11290,길음동,길음뉴타운9단지(래미안),114.86,2,2010,2026,1,27,138000,,,중개거래,길음로9길,1286
11290,장위동,래미안장위퍼스트하이,84.98,23,2020,2026,1,22,126500,,,중개거래,한천로,320
11290,종암동,아이파크종암동1차,84.98,10,2004,2026,1,15,104000,,,중개거래,종암로21길,130
11290,종암동,선경(127),59.17,5,1998,2026,1,20,48500,,,중개거래,종암로24가길,127
11290,길음동,길음뉴타운6단지(래미안),84.049,3,2007,2026,1,27,131000,,,중개거래,길음로,1283
11290,상월곡동,동아에코빌,114.66,7,2003,2026,1,24,83500,,,중개거래,장월로1길,101
11290,동소문동7가,한신플러스C,84.95,4,2004,2026,1,26,87500,,,중개거래,동소문로15길,23
11290,길음동,삼부컨비니언,84.86,15,1998,2026,1,27,73000,,,중개거래,동소문로,1276
11290,길음동,길음뉴타운4단지(e편한세상),114.88,3,2005,2026,1,17,120000,,,중개거래,길음로,1281
11290,하월곡동,성북힐스테이트(101동),84.69,3,2007,2026,1,26,90000,,,중개거래,동소문로44길,88-64
11290,길음동,길음뉴타운6단지(래미안),84.049,12,2007,2026,1,23,135000,,,중개거래,길음로,1283
11290,종암동,종암에스케이,84.72,1,1999,2026,1,26,83000,,,중개거래,종암로24가길,104-1
11290,정릉동,정릉우성아파트 101~105동,84.99,6,2000,2026,1,26,68500,,,중개거래,북악산로,1020
11290,종암동,종암에스케이,59.86,2,1999,2026,1,26,73000,,,중개거래,종암로24가길,104-1
11290,석관동,래미안아트리치,59.42,6,2019,2026,1,26,109000,,,중개거래,돌곶이로8길,410
11290,안암동1가,안암동삼성래미안,84.8681,11,2005,2026,1,24,99500,,,중개거래,고려대로17가길,361
11290,돈암동,한신,84.87,9,1998,2026,1,26,88200,,,중개거래,성북로4길,609-1
11290,종암동,래미안라센트,84.99,8,2011,2026,1,26,124000,,,중개거래,종암로24가길,134
11290,돈암동,돈암동 풍림아파트 101~105동,59.64,10,1999,2026,1,24,63000,,,중개거래,북악산로,632
11290,정릉동,정릉풍림아이원,59.88,8,2005,2026,1,25,52500,,,중개거래,솔샘로,239
11290,길음동,길음뉴타운2단지푸르지오,84.97,7,2005,2026,1,25,102000,,,중개거래,길음로,1280
11290,정릉동,정릉풍림아이원,60,13,2005,2026,1,24,59000,,,중개거래,솔샘로25길,239
11290,장위동,꿈의숲코오롱하늘채,59.35,4,2017,2026,1,24,99500,,,중개거래,돌곶이로,319
11290,보문동6가,보문파크뷰자이,45.81,9,2017,2026,1,24,100000,,,중개거래,보문사길,458
11290,길음동,길음뉴타운5단지(래미안),84.96,17,2006,2026,1,24,125000,,,중개거래,길음로,1282
11290,정릉동,정릉2차대주피오레,84.9819,3,2008,2026,1,24,61700,,,중개거래,아리랑로19길,1032
11290,길음동,길음뉴타운2단지푸르지오,84.97,6,2005,2026,1,24,96900,,,중개거래,길음로,1280
11290,하월곡동,꿈의숲푸르지오,59.65,5,2010,2026,1,24,80300,,,중개거래,오패산로16가길,228
11290,길음동,길음뉴타운1단지(래미안길음1차),84.96,1,2003,2026,1,24,106000,,,중개거래,길음로9길,1279
11290,길음동,길음뉴타운2단지푸르지오,59.99,8,2005,2026,1,24,90000,,,중개거래,길음로,1280
11290,하월곡동,성북힐스테이트(102동),84.99,13,2007,2026,1,24,86900,,,중개거래,동소문로44길,88-957
11290,길음동,길음뉴타운3단지푸르지오,84.97,1,2005,2026,1,16,89500,,,중개거래,길음로13길,1280-1
11290,길음동,롯데캐슬클라시아,59.7812,21,2022,2026,1,23,134000,,,중개거래,숭인로8길,1289
11290,길음동,길음뉴타운1단지(래미안길음1차),59.99,6,2003,2026,1,24,105000,,,중개거래,길음로9길,1279
11290,길음동,길음뉴타운3단지푸르지오,84.97,18,2005,2026,1,20,95000,,,중개거래,길음로13길,1280-1
11290,길음동,길음뉴타운3단지푸르지오,59.99,18,2005,2026,1,21,85000,,,중개거래,길음로13길,1280-1
11290,길음동,래미안길음센터피스,84.98,33,2019,2026,1,24,173000,,,중개거래,숭인로,1288
11290,돈암동,돈암동 풍림아파트 101~105동,84.68,5,1999,2026,1,24,72800,,,중개거래,북악산로,632
11290,정릉동,정릉2차e-편한세상,84.4,4,2009,2026,1,24,89000,,,중개거래,북악산로,1035
11290,정릉동,길음뉴타운경남아너스빌,84.88,4,1999,2026,1,24,77700,,,중개거래,정릉로,1015
11290,정릉동,길음뉴타운경남아너스빌,114.63,15,1999,2026,1,23,81900,,,중개거래,정릉로,1015
11290,길음동,롯데캐슬클라시아,59.7812,10,2022,2026,1,24,144000,,,중개거래,숭인로8길,1289
11290,정릉동,정릉스카이쌍용아파트,84.19,4,1999,2026,1,24,71500,,,중개거래,북악산로,1014
11290,길음동,길음뉴타운2단지푸르지오,84.97,14,2005,2026,1,23,96000,,,중개거래,길음로,1280
11290,돈암동,돈암동 풍림아파트 101~105동,84.68,11,1999,2026,1,23,69000,,,중개거래,북악산로,632
11290,장위동,래미안장위퍼스트하이,84.94,27,2020,2026,1,23,127500,,,중개거래,한천로,320
11290,장위동,래미안장위퍼스트하이,84.98,12,2020,2026,1,23,121000,,,중개거래,한천로,320
11290,길음동,길음동동부센트레빌(1278-0),114.912,3,2003,2026,1,16,104000,,,중개거래,숭인로2길,1278
11290,돈암동,돈암동더샵아파트,84.413,6,2006,2026,1,22,80500,,,중개거래,아리랑로5길,603
11290,정릉동,길음뉴타운경남아너스빌,59.59,9,1999,2026,1,23,71500,,,중개거래,정릉로,1015
11290,돈암동,돈암동삼성,84.59,3,1999,2026,1,22,85000,,,중개거래,동소문로34길,15-1
11290,돈암동,범양,59.79,1,1998,2026,1,23,70500,,,중개거래,정릉로,631
11290,삼선동2가,삼선푸르지오,59.95,2,2008,2026,1,22,84000,,,중개거래,보문로29다길,425
11290,돈암동,한신,132.96,5,1998,2026,1,22,102000,,,중개거래,성북로4길,609-1
11290,석관동,래미안아트리치,59.98,17,2019,2026,1,22,110000,,,중개거래,돌곶이로8길,410
11290,길음동,길음뉴타운6단지(래미안),84.049,16,2007,2026,1,22,136000,,,중개거래,길음로,1283
11290,길음동,길음동동부센트레빌(1278-0),84.844,2,2003,2026,1,22,94200,,,중개거래,숭인로2길,1278
11290,길음동,길음뉴타운1단지(래미안길음1차),59.99,5,2003,2026,1,22,110000,,,중개거래,길음로9길,1279
11290,돈암동,돈암동더샵아파트,84.817,3,2006,2026,1,12,78000,,,중개거래,아리랑로5길,603
11290,정릉동,정릉e-편한세상,85,20,2006,2026,1,17,74500,,,중개거래,솔샘로24길,1028
11290,종암동,래미안세레니티,59.92,12,2009,2026,1,8,96000,,,중개거래,종암로23길,133
11290,하월곡동,래미안월곡,84.589,3,2006,2026,1,22,98000,,,중개거래,오패산로,225
11290,하월곡동,래미안월곡,84.589,14,2006,2026,1,22,97000,,,중개거래,오패산로,225
11290,안암동3가,삼익,98.68,4,1983,2026,1,16,80000,,,중개거래,안암로9길,135
11290,정릉동,대우,43.11,2,2001,2026,1,21,33000,,,중개거래,보국문로30길,1021
11290,길음동,길음뉴타운6단지(래미안),59.373,5,2007,2026,1,19,115000,,,중개거래,길음로,1283
11290,하월곡동,월곡두산위브,114.752,10,2003,2026,1,21,93000,,,중개거래,오패산로,222
11290,정릉동,라온유,109.75,5,2008,2026,1,21,93000,,,중개거래,정릉로,1034
11290,장위동,우방아파트,59.98,11,2001,2026,1,21,58000,,,중개거래,화랑로,312
11290,하월곡동,동일하이빌뉴시티,188.22,25,2011,2026,1,21,177000,,,중개거래,종암로,230
11290,길음동,길음뉴타운3단지푸르지오,59.99,17,2005,2026,1,20,84000,,,중개거래,길음로13길,1280-1
11290,길음동,길음뉴타운7단지(두산위브),114.99,2,2010,2026,1,21,138500,,,중개거래,길음로13길,1285
11290,종암동,래미안세레니티,84.99,14,2009,2026,1,21,113000,,,중개거래,종암로23길,133
11290,돈암동,돈암동삼성,84.59,15,1999,2026,1,21,89000,,,중개거래,동소문로34길,15-1
11290,길음동,길음뉴타운7단지(두산위브),59.98,4,2010,2026,1,21,104500,,,중개거래,길음로13길,1285
11290,길음동,길음동동부센트레빌(1278-0),114.912,19,2003,2026,1,15,105000,,,중개거래,숭인로2길,1278
11290,돈암동,돈암현대아파트,68.76,11,1991,2026,1,20,74000,,,중개거래,정릉로,1
11290,정릉동,정릉2차e-편한세상,59.2,4,2009,2026,1,15,80500,,,중개거래,북악산로,1035
11290,하월곡동,동일하이빌뉴시티,126.6,12,2011,2026,1,20,120000,,,중개거래,종암로,230
11290,길음동,길음뉴타운3단지푸르지오,84.97,9,2005,2026,1,17,94500,,,중개거래,길음로13길,1280-1
11290,돈암동,한진(609-1),59.58,11,1998,2026,1,19,69700,,,중개거래,성북로4길,609-1
11290,안암동3가,삼익,98.92,2,1983,2026,1,10,79500,,,중개거래,안암로9길,135
11290,석관동,래미안아트리치,59.98,11,2019,2026,1,10,107800,,,중개거래,돌곶이로8길,410
11290,종암동,아이파크종암동1차,114.99,12,2004,2026,1,14,114000,,,중개거래,종암로21길,130
11290,돈암동,돈암동더샵아파트,84.413,4,2006,2026,1,19,82000,,,중개거래,아리랑로5길,603
