시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11305,번동,번동솔그린,84.6,15,1999,2026,1,29,59000,,,중개거래,한천로109길,136
11305,번동,주공1단지,49.94,14,1991,2026,1,31,55300,,,중개거래,한천로105길,242
11305,수유동,수유아름채,12.93,14,2025,2026,1,17,19000,,,직거래,덕릉로,47-23
11305,미아동,꿈의숲해링턴플레이스,59.36,12,2019,2026,1,22,88000,,,중개거래,오현로,1369
11305,미아동,에스케이북한산시티,84.86,9,2004,2026,1,22,66750,,,중개거래,솔샘로,1353
11305,미아동,에스케이북한산시티,59.98,7,2004,2026,1,24,63000,,,중개거래,솔샘로,1353
11305,번동,번동금호어울림,84.96,5,1998,2026,1,14,55300,,,중개거래,오현로31길,656
11305,번동,현대(148-494),84.9,15,1997,2026,1,22,47000,,,중개거래,오현로,148-494
11305,미아동,꿈의숲해링턴플레이스,84.86,12,2019,2026,1,24,100000,,,중개거래,오현로,1369
11305,번동,수유역두산위브1,84.9909,3,2009,2026,1,17,75000,,,중개거래,덕릉로41길,410
11305,미아동,현대(190-2),84.91,8,1992,2026,1,16,65500,,,중개거래,도봉로68길,190-2
11305,수유동,수유아름채,20.45,8,2025,2026,1,8,26000,,,직거래,덕릉로,47-23
11305,미아동,경남아너스빌(1356-0),114.922,23,2003,2026,1,27,84500,,,중개거래,오패산로30길,1356
11305,수유동,수유아름채,20.45,15,2025,2026,1,7,26000,,,직거래,덕릉로,47-23
11305,미아동,삼각산아이원,59.758,3,2003,2026,1,16,64400,,,중개거래,삼양로19길,1357
11305,미아동,푸르지오시티,18.6479,7,2014,2026,1,30,14000,,,중개거래,도봉로,160-3
11305,수유동,FIRSTVIEW,52.88,4,2010,2026,1,20,35500,,,중개거래,삼양로130길,274-3
11305,수유동,수유시그니티,48.59,7,2023,2026,1,21,53000,,,직거래,도봉로73길,87-5
11305,미아동,삼성래미안트리베라2단지,84.18,22,2010,2026,1,31,95000,,,중개거래,삼양로27길,812
11305,수유동,형인휴아름,83.82,4,2013,2026,1,31,58500,,,중개거래,수유로23길,732
11305,미아동,벽산라이브파크,84.89,19,2004,2026,1,31,66000,,,중개거래,솔샘로,1354
11305,미아동,삼성래미안트리베라2단지,84.29,5,2010,2026,1,31,92400,,,중개거래,삼양로27길,812
11305,미아동,꿈의숲해링턴플레이스,84.86,6,2019,2026,1,30,92000,,,중개거래,오현로,1369
11305,수유동,수유벽산1차,84.95,8,1993,2026,1,30,68000,,,중개거래,삼각산로,205
11305,미아동,벽산라이브파크,84.89,3,2004,2026,1,29,63500,,,중개거래,솔샘로,1354
11305,미아동,에스케이북한산시티,59.98,25,2004,2026,1,30,64300,,,중개거래,솔샘로,1353
11305,미아동,벽산라이브파크,60,1,2004,2026,1,27,57000,,,중개거래,솔샘로,1354
11305,미아동,꿈의숲해링턴플레이스,84.67,8,2019,2026,1,22,92500,,,중개거래,오현로,1369
11305,미아동,에스케이북한산시티,114.85,11,2004,2026,1,28,74000,,,중개거래,솔샘로,1353
11305,번동,주공1단지,41.3,5,1991,2026,1,27,44000,,,중개거래,한천로105길,242
11305,번동,주공1단지,41.3,1,1991,2026,1,17,39000,,,중개거래,한천로105길,242
11305,우이동,대우,84.93,3,2000,2026,1,28,60000,,,중개거래,삼양로149길,342
11305,미아동,에스케이북한산시티,59.98,2,2004,2026,1,26,62000,,,중개거래,솔샘로,1353
11305,수유동,수유벽산1차,63.78,12,1993,2026,1,27,51000,,,중개거래,삼각산로,205
11305,미아동,삼성래미안트리베라2단지,84.29,8,2010,2026,1,27,97000,,,중개거래,삼양로27길,812
11305,미아동,두산위브트레지움,59.54,21,2011,2026,1,27,74900,,,중개거래,삼양로27길,811
11305,번동,주공1단지,49.94,11,1991,2026,1,17,55000,,,중개거래,한천로105길,242
11305,미아동,두산위브트레지움,84.99,20,2011,2026,1,27,85700,,,중개거래,삼양로27길,811
11305,수유동,래미안수유,59.88,4,2001,2026,1,24,53750,,,중개거래,한천로159길,730
11305,미아동,에스케이북한산시티,84.71,10,2004,2026,1,24,72000,,,중개거래,솔샘로,1353
11305,미아동,에스케이북한산시티,59.98,20,2004,2026,1,26,64000,,,중개거래,솔샘로,1353
11305,미아동,에스케이북한산시티,84.71,17,2004,2026,1,22,68300,,,중개거래,솔샘로,1353
11305,미아동,벽산라이브파크,114.68,10,2004,2026,1,24,74000,,,중개거래,솔샘로,1354
11305,수유동,태솔타워,68.6,8,2010,2026,1,24,45000,,,중개거래,도봉로71가길,51-7
11305,미아동,삼성래미안트리베라2단지,84.29,4,2010,2026,1,24,96000,,,중개거래,삼양로27길,812
11305,미아동,삼각산아이원,114.88,9,2003,2026,1,24,77500,,,중개거래,삼양로19길,1357
11305,미아동,삼성래미안트리베라2단지,58.99,4,2010,2026,1,17,80500,,,중개거래,삼양로27길,812
11305,미아동,에스케이북한산시티,59.98,7,2004,2026,1,24,65000,,,중개거래,솔샘로,1353
11305,미아동,삼성래미안트리베라2단지,84.29,10,2010,2026,1,24,96500,,,중개거래,삼양로27길,812
11305,번동,삼성,59.77,18,1998,2026,1,24,50600,,,중개거래,도봉로98길,470-1
11305,미아동,에스케이북한산시티,59.98,16,2004,2026,1,24,64300,,,중개거래,솔샘로,1353
11305,번동,주공1단지,49.94,1,1991,2026,1,20,55000,,,중개거래,한천로105길,242
11305,미아동,두산위브트레지움,84.97,9,2011,2026,1,22,85800,,,중개거래,삼양로27길,811
11305,미아동,에스케이북한산시티,59.98,21,2004,2026,1,22,66000,,,중개거래,솔샘로,1353
11305,미아동,꿈의숲해링턴플레이스,84.67,1,2019,2026,1,22,87600,,,중개거래,오현로,1369
11305,미아동,삼성래미안트리베라2단지,113.89,13,2010,2026,1,22,119000,,,중개거래,삼양로27길,812
11305,미아동,에스케이북한산시티,84.76,12,2004,2026,1,17,69500,,,중개거래,솔샘로,1353
11305,미아동,에스케이북한산시티,84.86,17,2004,2026,1,20,68000,,,중개거래,솔샘로,1353
11305,번동,주공1단지,41.3,1,1991,2026,1,13,39500,,,중개거래,한천로105길,242
11305,번동,주공1단지,41.3,13,1991,2026,1,17,42500,,,중개거래,한천로105길,242
11305,미아동,꿈의숲해링턴플레이스,84.67,3,2019,2026,1,21,92500,,,중개거래,오현로,1369
11305,수유동,수유벽산2차,84.22,5,1994,2026,1,21,65000,,,중개거래,삼각산로,648
11305,수유동,형인휴아름,83.04,6,2013,2026,1,20,58800,,,중개거래,수유로23길,732
11305,미아동,삼성래미안트리베라2단지,84.29,13,2010,2026,1,20,97000,,,중개거래,삼양로27길,812
11305,미아동,동아하이빌14차,63.54,4,2003,2026,1,12,41000,,,중개거래,덕릉로30길,192-16
11305,미아동,꿈의숲한신더휴,84.8178,2,2022,2026,1,17,78400,,,중개거래,오패산로,1371
11305,수유동,극동,84.99,12,1992,2026,1,20,52000,,,중개거래,인수봉로72길,553-61
11305,번동,주공4단지,59.22,2,1991,2026,1,17,54500,,,중개거래,오현로,234
11305,미아동,두산위브트레지움,84.99,16,2011,2026,1,19,86000,,,중개거래,삼양로27길,811
11305,미아동,에스케이북한산시티,59.98,18,2004,2026,1,17,64000,,,중개거래,솔샘로,1353
11305,미아동,에스케이북한산시티,59.98,11,2004,2026,1,16,64300,,,중개거래,솔샘로,1353
11305,미아동,에스케이북한산시티,59.98,5,2004,2026,1,7,61500,,,중개거래,솔샘로,1353
11305,미아동,경남아너스빌,84.9351,11,2008,2026,1,17,73000,,,중개거래,삼양로74길,796
11305,미아동,에스케이북한산시티,59.98,1,2004,2026,1,17,59000,,,중개거래,솔샘로,1353
11305,번동,주공1단지,79.07,9,1991,2026,1,17,67500,,,중개거래,한천로105길,242
11305,미아동,꿈의숲해링턴플레이스,84.86,1,2019,2026,1,17,88500,,,중개거래,오현로,1369
11305,미아동,래미안트리베라1단지,84.97,11,2010,2026,1,8,93500,,,중개거래,삼양로19길,813
11305,번동,한솔솔파크,84.88,9,2005,2026,1,8,65000,,,중개거래,오현로,138
11305,미아동,에스케이북한산시티,84.92,4,2004,2026,1,7,65500,,,중개거래,솔샘로,1353
11305,미아동,래미안트리베라1단지,84.97,19,2010,2026,1,6,95000,,,중개거래,삼양로19길,813
11305,미아동,삼각산아이원,84.705,4,2003,2026,1,15,73500,,,중개거래,삼양로19길,1357
11305,미아동,송천센트레빌,84.867,4,2010,2026,1,15,108000,,,중개거래,숭인로,461
11305,미아동,꿈의숲해링턴플레이스,99.93,7,2019,2026,1,10,99000,,,중개거래,오현로,1369
11305,미아동,꿈의숲롯데캐슬,84.98,2,2017,2026,1,3,87000,,,중개거래,오현로,4
11305,번동,주공4단지,44.89,3,1991,2026,1,8,39000,,,중개거래,오현로,234
11305,미아동,벽산라이브파크,84.89,15,2004,2026,1,13,68000,,,중개거래,솔샘로,1354
11305,미아동,에스케이북한산시티,84.86,25,2004,2026,1,13,72000,,,중개거래,솔샘로,1353
11305,미아동,에스케이북한산시티,59.98,19,2004,2026,1,13,68300,,,중개거래,솔샘로,1353
11305,미아동,에스케이북한산시티,59.98,1,2004,2026,1,2,59000,,,중개거래,솔샘로,1353
11305,미아동,삼성래미안트리베라2단지,113.89,10,2010,2026,1,13,110000,,,중개거래,삼양로27길,812
11305,미아동,삼각산아이원,84.705,9,2003,2026,1,12,72750,,,중개거래,삼양로19길,1357
11305,미아동,꿈의숲해링턴플레이스,84.86,6,2019,2026,1,12,93000,,,중개거래,오현로,1369
11305,미아동,래미안트리베라1단지,114.98,10,2010,2026,1,10,105000,,,중개거래,삼양로19길,813
11305,미아동,현대성우,84.92,15,1998,2026,1,2,66500,,,중개거래,삼양로24길,561-2
