시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11320,방학동,삼익세라믹아파트,58.77,8,1988,2026,1,28,36500,,,중개거래,도당로,274
11320,창동,주공19단지(창동리버타운),68.86,3,1988,2026,1,30,89500,,,중개거래,노해로70길,27
11320,도봉동,동아에코빌,105.976,9,2003,2026,1,26,76800,,,중개거래,도봉로180길,654
11320,창동,주공17단지,36.16,2,1989,2026,1,27,30500,,,중개거래,덕릉로66길,38
11320,창동,주공17단지,36.34,13,1989,2026,1,23,31000,,,중개거래,덕릉로66길,38
11320,창동,주공19단지(창동리버타운),68.86,4,1988,2026,1,29,88000,,,중개거래,노해로70길,27
11320,창동,창동주공3단지(해등마을),44.89,1,1990,2026,1,28,45000,,,중개거래,해등로,347
11320,쌍문동,시티프라디움,68.9258,6,2021,2026,1,26,60000,,,중개거래,노해로,734
11320,창동,주공19단지(창동리버타운),59.39,14,1988,2026,1,30,80000,,,중개거래,노해로70길,27
11320,창동,창동주공2단지,49.94,13,1990,2026,1,30,54500,,,중개거래,해등로12길,316
11320,창동,주공19단지(창동리버타운),68.86,8,1988,2026,1,27,91000,,,중개거래,노해로70길,27
11320,방학동,이에스에이아파트2,124.66,2,2003,2026,1,30,73000,,,중개거래,도봉로150길,716-5
11320,창동,창동주공1단지,58.01,13,1990,2026,1,28,62000,,,중개거래,해등로,305
11320,방학동,방학동삼성래미안1,118.381,8,2002,2026,1,31,100000,,,중개거래,마들로,720-18
11320,창동,창동주공3단지(해등마을),49.94,14,1990,2026,1,17,59600,,,중개거래,해등로,347
11320,창동,성원상떼빌,59.75,10,2001,2026,1,19,59500,,,중개거래,마들로16길,743-15
11320,도봉동,럭키,84.86,15,1992,2026,1,30,52800,,,중개거래,도봉로169길,595
11320,창동,북한산한신휴플러스,84.9499,23,2007,2026,1,31,80000,,,중개거래,도봉로136가길,826
11320,도봉동,래미안도봉,114.76,10,2005,2026,1,19,83000,,,중개거래,도봉로170길,655
11320,방학동,북한산팰리스아파트,159.03,4,2001,2026,1,20,51800,,,중개거래,해등로,522
11320,창동,원산아파트33차,56.49,6,2003,2026,1,30,27000,,,중개거래,도봉로110나길,661-13
11320,도봉동,한신,84.94,8,1995,2026,1,28,60000,,,중개거래,마들로,30-1
11320,도봉동,서원,49.77,18,1996,2026,1,31,37300,,,중개거래,마들로,641
11320,도봉동,서원,49.77,16,1996,2026,1,31,38000,,,중개거래,마들로,641
11320,도봉동,서원,49.77,16,1996,2026,1,31,33500,,,중개거래,마들로,641
11320,창동,수산트리플,84.89,8,2004,2026,1,19,67500,,,중개거래,우이천로20길,817
11320,창동,창동주공1단지,41.3,10,1990,2026,1,27,42300,,,중개거래,해등로,305
11320,창동,삼성래미안,84.87,7,1992,2026,1,30,86200,,,중개거래,노해로66길,45
11320,방학동,신동아아파트1,51.27,9,1986,2026,1,15,34000,,,중개거래,방학로,271-1
11320,방학동,벽산아파트2,59.581,9,1998,2026,1,28,41000,,,중개거래,시루봉로5길,496
11320,방학동,이에스에이아파트2,84.98,20,2003,2026,1,29,70000,,,중개거래,도봉로150길,716-5
11320,방학동,방학동삼성래미안1,118.381,20,2002,2026,1,28,107500,,,중개거래,마들로,720-18
11320,쌍문동,삼익세라믹,58.77,3,1988,2026,1,16,44000,,,중개거래,해등로,56
11320,창동,북한산아이파크5차,101.9176,17,2004,2026,1,26,110000,,,중개거래,도봉로136길,825
11320,쌍문동,현대1,84.66,2,1990,2026,1,30,47000,,,중개거래,해등로,54
11320,창동,창동2차현대,84.504,17,2001,2026,1,29,85500,,,중개거래,도봉로136길,815
11320,창동,창동주공3단지(해등마을),59.22,15,1990,2026,1,23,67000,,,중개거래,해등로,347
11320,방학동,대상타운현대아파트,84.78,12,2001,2026,1,28,82000,,,중개거래,마들로,720-1
11320,도봉동,한신,84.94,1,1995,2026,1,29,58500,,,중개거래,마들로,30-1
11320,창동,창동주공2단지,49.94,11,1990,2026,1,29,54700,,,중개거래,해등로12길,316
11320,창동,창동2차현대,84.504,20,2001,2026,1,29,83000,,,중개거래,도봉로136길,815
11320,창동,주공19단지(창동리버타운),90.94,4,1988,2026,1,29,102000,,,중개거래,노해로70길,27
11320,창동,주공17단지,36.16,13,1989,2026,1,14,30500,,,중개거래,덕릉로66길,38
11320,창동,삼성래미안,84.87,12,1992,2026,1,14,89000,,,중개거래,노해로66길,45
11320,창동,쌍용,59.88,21,1997,2026,1,14,77000,,,중개거래,마들로,807
11320,창동,북한산아이파크5차,101.9176,11,2004,2026,1,28,112000,,,중개거래,도봉로136길,825
11320,창동,창동2차현대,59.499,12,2001,2026,1,28,73500,,,중개거래,도봉로136길,815
11320,창동,주공19단지(창동리버타운),68.86,11,1988,2026,1,24,90800,,,중개거래,노해로70길,27
11320,도봉동,서원,49.77,3,1996,2026,1,27,34000,,,중개거래,마들로,641
11320,방학동,성원아파트,84.54,4,1996,2026,1,9,50500,,,중개거래,방학로7길,735
11320,쌍문동,삼익세라믹,42.93,13,1988,2026,1,27,32000,,,중개거래,해등로,56
11320,도봉동,한신,84.94,12,1995,2026,1,2,61500,,,중개거래,마들로,30-1
