시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11350,공릉동,삼익아파트,59.89,17,1997,2026,3,7,54250,,,중개거래,섬밭로,690-2
11350,공릉동,화랑타운아파트,84.65,10,2000,2026,3,8,85000,,,중개거래,화랑로51길,111
11350,공릉동,공릉해링턴플레이스,134.914,15,2000,2026,3,31,113000,,,중개거래,노원로,106
11350,상계동,상계주공4(고층),41.3,11,1988,2026,3,28,48000,,,중개거래,동일로214길,749-5
11350,월계동,사슴3,33.18,14,1995,2026,3,30,30000,,,중개거래,월계로55길,320-11
11350,상계동,상계주공7(고층),41.3,3,1988,2026,3,27,39000,,,직거래,동일로,691
11350,상계동,보람아파트,44.33,7,1988,2026,3,28,41900,,,중개거래,한글비석로,639
11350,중계동,중계무지개,39.82,1,1991,2026,3,24,40000,,,중개거래,동일로208길,512
11350,상계동,상계주공3(고층),58.01,14,1987,2026,3,19,88000,,,중개거래,동일로215길,730-2
11350,상계동,노원롯데캐슬시그니처,59.975,23,2023,2026,3,24,89500,,,중개거래,덕릉로,1410
11350,상계동,두산,58.65,8,1994,2026,3,26,47500,,,중개거래,동일로241길,1110
11350,중계동,중계무지개,59.26,6,1991,2026,3,31,65700,,,중개거래,동일로208길,512
11350,하계동,학여울청구,84.77,11,1999,2026,3,27,85000,,,중개거래,동일로207길,354
11350,상계동,상계대림e편한세상,55.77,13,2002,2026,3,31,44000,,,중개거래,동일로239길,1301
11350,상계동,상계주공1(고층),41.3,13,1988,2026,3,19,41700,,,중개거래,덕릉로,765
11350,상계동,상계주공6(고층),41.3,8,1988,2026,3,29,57500,,,중개거래,노해로,720
11350,공릉동,시영3차(라이프)아파트,34.44,2,1994,2026,3,27,31500,,,중개거래,섬밭로,715
11350,중계동,중계그린1단지,49.5,7,1990,2026,3,31,64000,,,중개거래,동일로207길,502-1
11350,상계동,보람아파트,54.59,6,1988,2026,3,26,58500,,,중개거래,한글비석로,639
11350,중계동,중계무지개,39.82,6,1991,2026,3,23,48800,,,중개거래,동일로208길,512
11350,상계동,은빛1단지,59.95,3,1998,2026,3,17,50500,,,중개거래,동일로245길,1255
11350,중계동,주공2,44.52,9,1992,2026,3,30,34850,,,중개거래,한글비석로14길,369
11350,공릉동,시영3차(라이프)아파트,34.44,9,1994,2026,3,27,32900,,,중개거래,섬밭로,715
11350,월계동,삼호3,59.22,11,1986,2026,3,30,102500,,,중개거래,마들로,13
11350,월계동,초안2,59.85,2,1997,2026,3,26,40000,,,중개거래,우이천로,924
11350,월계동,월계흥화브라운빌,84.91,15,2004,2026,3,31,63000,,,중개거래,우이천로2나길,939
11350,월계동,삼호3,59.22,9,1986,2026,3,19,107000,,,중개거래,마들로,13
11350,중계동,중계무지개,59.26,10,1991,2026,3,25,66500,,,중개거래,동일로208길,512
11350,월계동,롯데캐슬루나,127.0318,2,2006,2026,3,4,99000,,,중개거래,월계로45길,947
11350,상계동,상계주공10(고층),59.2,11,1988,2026,3,10,55000,,,직거래,노원로,666
11350,상계동,상계주공7(고층),41.3,11,1988,2026,3,30,58500,,,중개거래,동일로,691
11350,공릉동,공릉동한보에센시티아파트,84.93,9,2000,2026,3,21,74000,,,중개거래,공릉로46길,743
11350,공릉동,시영3차(라이프)아파트,39.6,14,1994,2026,3,28,40800,,,중개거래,섬밭로,715
11350,상계동,상계주공6(고층),58.01,7,1988,2026,3,16,60000,,,직거래,노해로,720
11350,상계동,상계주공2(저층),46.04,3,1987,2026,3,11,48000,,,중개거래,동일로215길,740
11350,상계동,상계주공4(고층),32.39,5,1988,2026,3,9,34000,,,중개거래,동일로214길,749-5
11350,상계동,은빛1단지,59.92,12,1998,2026,3,3,53000,,,중개거래,동일로245길,1255
11350,상계동,현대2차,82.68,10,1993,2026,3,12,40000,,,직거래,동일로231길,1078
11350,상계동,불암현대,59.4,10,1999,2026,3,14,51250,,,중개거래,덕릉로118길,1293
11350,상계동,상계주공9(고층),45.9,15,1988,2026,3,30,39800,,,중개거래,노원로,670
11350,공릉동,풍림아파트A,114.78,1,2001,2026,3,16,95000,,,중개거래,섬밭로,725
11350,하계동,우방,83.12,2,1999,2026,3,24,60000,,,중개거래,공릉로58길,353
11350,월계동,동신,71.21,1,1983,2026,3,31,82000,,,중개거래,광운로2나길,436
11350,상계동,상계주공6(고층),58.01,2,1988,2026,3,21,76500,,,중개거래,노해로,720
11350,공릉동,진명비베레,13.0588,1,2012,2026,3,31,7800,,,중개거래,동일로190길,395-7
11350,상계동,상계주공10(고층),60.5,11,1988,2026,3,28,55000,,,중개거래,노원로,666
11350,상계동,은빛2단지,49.77,8,1998,2026,3,28,45900,,,중개거래,동일로245가길,1256
11350,하계동,장미(시영6),59.22,11,1989,2026,3,31,74000,,,중개거래,섬밭로,273
11350,하계동,청구,84.97,10,1988,2026,3,27,84000,,,중개거래,공릉로,284
11350,상계동,상계주공14(고층),49.94,5,1989,2026,3,31,56500,,,중개거래,동일로228길,626
11350,월계동,롯데캐슬루나,127.0318,1,2006,2026,3,13,99000,,,중개거래,월계로45길,947
11350,중계동,주공4,45.77,6,1991,2026,3,21,42500,,,중개거래,덕릉로76길,358-2
11350,월계동,미성,33.28,5,1986,2026,3,4,68000,,,중개거래,마들로,13
11350,월계동,성원(사슴4),49.92,2,1995,2026,3,28,52500,,,중개거래,마들로3길,322-1
11350,하계동,청구,84.97,12,1988,2026,3,27,89000,,,중개거래,공릉로,284
11350,공릉동,비선아파트,59.87,4,1999,2026,3,27,55500,,,직거래,화랑로51길,109
11350,하계동,청솔(시영7),39.78,12,1989,2026,3,28,43000,,,중개거래,공릉로59길,274
11350,상계동,중계센트럴파크,59.75,13,2016,2026,3,27,80000,,,중개거래,덕릉로70가길,1322
11350,월계동,청백4,39.84,2,1998,2026,3,31,30800,,,중개거래,월계로45가길,781
11350,상계동,상계주공9(고층),66.56,5,1988,2026,3,28,68000,,,중개거래,노원로,670
11350,공릉동,새울센스빌아파트,112,6,2003,2026,3,18,64500,,,중개거래,동일로176길,589-3
11350,공릉동,풍림아파트A,84.99,16,2001,2026,3,26,90000,,,중개거래,섬밭로,725
11350,월계동,현대,84.98,2,2000,2026,3,27,93000,,,중개거래,석계로,929
11350,상계동,상계주공11(고층),41.3,3,1988,2026,3,15,45000,,,중개거래,동일로227길,652
11350,상계동,한신3차,84.59,4,1990,2026,3,16,60000,,,직거래,한글비석로46가길,458
