시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11380,진관동,은평뉴타운 제각말 푸르지오(5-4단지),84.89,3,2010,2026,1,7,86000,,,중개거래,연서로,92
11380,응암동,백련산해모로,59.93,6,2020,2026,1,10,85000,,,중개거래,응암로30길,768
11380,신사동,이랜드타운아파트,59.982,23,2004,2026,1,10,55000,,,중개거래,은평터널로,367
11380,응암동,백련산힐스테이트3차,59.63,7,2011,2026,1,29,80700,,,중개거래,백련산로,761
11380,수색동,DMC파인시티자이,59.98,20,2025,2026,1,28,133610,,,직거래,은평터널로,431
11380,수색동,e편한세상 수색 에코포레,59.895,12,2003,2026,1,29,66500,,,중개거래,은평터널로,415-1
11380,응암동,백련산해모로,59.97,2,2020,2026,1,31,82000,,,중개거래,응암로30길,768
11380,응암동,거장메카,48.755,11,2024,2026,1,25,58200,,,직거래,은평로,91-3
11380,증산동,럭스빌(102동),62.47,7,2004,2026,1,18,56000,,,중개거래,증산로,174-3
11380,응암동,녹번역e편한세상캐슬,99.76,1,2021,2026,1,31,144000,,,중개거래,은평로,769
11380,수색동,DMCSK뷰아이파크포레,84.94,4,2025,2026,1,13,131000,,,중개거래,수색로,419
11380,응암동,백련산힐스테이트2차,84.59,4,2011,2026,1,30,84000,,,중개거래,백련산로,760
11380,응암동,디우아르떼,42.69,8,2019,2026,1,15,43000,,,중개거래,응암로13길,590-23
11380,수색동,e편한세상 수색 에코포레,59.895,10,2003,2026,1,23,65800,,,중개거래,은평터널로,415-1
11380,대조동,제이타워4,12.29,9,2013,2026,1,29,11000,,,중개거래,통일로67길,9-50
11380,대조동,유진아이디움,14.03,12,2019,2026,1,9,16000,,,중개거래,연서로28길,197-1
11380,불광동,라이프미성,66.7,4,1988,2026,1,10,74500,,,중개거래,통일로,248
11380,불광동,북한산현대힐스테이트3차아파트,84.96,7,2010,2026,1,29,90000,,,중개거래,불광로,641
11380,응암동,거장메카,50.515,10,2024,2026,1,18,58800,,,직거래,은평로,91-3
11380,진관동,우물골2단지두산위브(209~222동)BL2-8,84.79,2,2009,2026,1,31,86000,,,중개거래,진관2로,88
11380,구산동,갈현1단지e-편한세상,84.618,22,2004,2026,1,28,73700,,,중개거래,서오릉로21길,547
11380,응암동,힐스테이트녹번역,59.99,1,2022,2026,1,30,120000,,,중개거래,은평로,770
11380,갈현동,대경아르체,42.48,4,2024,2026,1,30,60000,,,직거래,통일로,550
11380,갈현동,대경아르체,42.48,6,2024,2026,1,30,62700,,,직거래,통일로,550
11380,갈현동,갈현동현대,59.25,9,1997,2026,1,31,54400,,,중개거래,갈현로33길,537
11380,불광동,라이프미성,66.7,7,1988,2026,1,30,75000,,,중개거래,통일로,248
11380,응암동,백련산파크자이,84.669,15,2021,2026,1,22,96000,,,중개거래,백련산로,766
11380,구산동,경남아너스빌,84.69,1,2004,2026,1,27,60000,,,중개거래,갈현로11길,224
11380,진관동,은평뉴타운기자촌11단지,84.78,2,2015,2026,1,24,81000,,,중개거래,연서로46길,150
11380,불광동,연신내역트리플라101동,23.17,10,2021,2026,1,27,33800,,,직거래,통일로82길,484-63
11380,진관동,은평뉴타운꿈에그린,59.92,11,2018,2026,1,30,74000,,,중개거래,진관3로,66
11380,응암동,백련산해모로,84.91,6,2020,2026,1,30,104500,,,중개거래,응암로30길,768
11380,대조동,정익제이원6차,29.95,12,2017,2026,1,31,29000,,,중개거래,통일로,186-12
11380,응암동,백련산힐스테이트2차,59.63,2,2011,2026,1,24,74000,,,중개거래,백련산로,760
11380,응암동,백련산힐스테이트1차,114.9,12,2011,2026,1,31,93500,,,중개거래,백련산로2길,759
11380,불광동,북한산현대힐스테이트3차아파트,84.96,8,2010,2026,1,27,94700,,,중개거래,불광로,641
11380,응암동,명남더블레스,51.28,10,2012,2026,1,29,45000,,,중개거래,응암로,577-16
11380,불광동,북한산래미안아파트(1단지),59.9932,12,2010,2026,1,31,84500,,,중개거래,진흥로,638
11380,증산동,DMC센트럴자이(1단지),84.92,6,2023,2026,1,31,158000,,,중개거래,수색로,258
11380,불광동,북한산힐스테이트7차,59.981,9,2011,2026,1,31,103500,,,중개거래,통일로,643
11380,응암동,백련산힐스테이트4차,59.98,15,2018,2026,1,31,93000,,,중개거래,백련산로,764
11380,녹번동,래미안베라힐즈,84.93,13,2019,2026,1,31,141500,,,중개거래,통일로,283
11380,수색동,DMCSK뷰아이파크포레,53.95,1,2025,2026,1,31,84500,,,중개거래,수색로,419
11380,응암동,백련산힐스테이트4차,84.98,16,2018,2026,1,30,101000,,,중개거래,백련산로,764
11380,응암동,녹번역e편한세상캐슬,59.96,17,2021,2026,1,31,128000,,,중개거래,은평로,769
11380,응암동,힐스테이트녹번역,59.99,19,2022,2026,1,30,130000,,,중개거래,은평로,770
11380,수색동,DMC자이1단지,123.67,16,2009,2026,1,30,120000,,,중개거래,수색로,75
11380,진관동,상림마을8단지롯데캐슬(821~830동)BL1-12,101.61,10,2008,2026,1,25,109000,,,직거래,진관3로,20
11380,구산동,갈현1단지e-편한세상,84.618,12,2004,2026,1,30,67500,,,중개거래,서오릉로21길,547
11380,증산동,DMC센트럴자이(2단지),59.67,6,2023,2026,1,30,149000,,,중개거래,수색로,258
11380,응암동,백련산힐스테이트4차,59.98,4,2018,2026,1,29,87000,,,중개거래,백련산로,764
11380,녹번동,래미안베라힐즈,59.98,2,2019,2026,1,30,73000,,,중개거래,통일로,283
11380,응암동,백련산해모로,59.93,17,2020,2026,1,29,87500,,,중개거래,응암로30길,768
11380,응암동,백련산에스케이뷰아이파크,84.9039,2,2020,2026,1,29,105000,,,중개거래,응암로30길,767
11380,응암동,e편한세상백련산,84.31,2,2022,2026,1,29,86000,,,중개거래,백련산로,771
11380,녹번동,북한산푸르지오,84.99,5,2015,2026,1,27,120000,,,중개거래,통일로,281
11380,응암동,힐스테이트녹번역,84.99,4,2022,2026,1,29,135500,,,중개거래,은평로,770
11380,구산동,대림e-편한세상2,84.618,10,2004,2026,1,28,64000,,,중개거래,서오릉로21길,546
11380,진관동,상림마을8단지롯데캐슬(801~809동)BL1-2,59.28,4,2008,2026,1,28,74400,,,중개거래,진관4로,14
11380,응암동,힐스테이트녹번역,84.99,14,2022,2026,1,27,138500,,,중개거래,은평로,770
