시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11410,북아현동,두산,59.96,8,1999,2026,3,7,140500,,,중개거래,이화여대8길,1009
11410,홍은동,세한숲속마을,83.91,1,2002,2026,3,13,49800,,,중개거래,통일로,산11-244
11410,연희동,연화,98.51,5,1975,2026,3,7,68000,,,중개거래,연희로25길,89-9
11410,연희동,성원,84.95,17,2001,2026,3,27,94000,,,중개거래,연희로32길,740
11410,홍제동,홍제에스피엘,84.258,2,2023,2026,3,27,50240,,,직거래,모래내로,322-138
11410,홍은동,홍은센트레빌,84.84,15,2009,2026,3,24,93500,,,중개거래,통일로,461
11410,북아현동,e편한세상신촌1단지,59.85,5,2018,2026,3,31,174000,,,중개거래,북아현로1가길,1013
11410,냉천동,동부센트레빌,84.93,8,2002,2026,3,28,113000,,,중개거래,독립문로14길,260
11410,홍제동,문화촌현대,84.99,11,2002,2026,3,31,79000,,,중개거래,문화촌길,463
11410,홍제동,인왕산어울림,119.82,13,2006,2026,3,30,124000,,,중개거래,통일로26길,467
11410,연희동,성원,59.61,15,2001,2026,3,14,73500,,,중개거래,연희로32길,740
11410,홍제동,현대그린,84.96,2,1996,2026,3,25,70000,,,중개거래,세무서2길,455
11410,남가좌동,디엠씨엘가,30.36,8,2017,2026,3,12,33000,,,중개거래,모래내로,387
11410,연희동,신원,82.71,1,2002,2026,3,26,46000,,,중개거래,연희로,163-30
11410,북가좌동,신일해피트리,84.98,10,2005,2026,3,30,83000,,,중개거래,수색로,455
11410,북아현동,힐스테이트신촌,55.9706,10,2023,2026,3,12,170000,,,중개거래,이화여대8길,1017
11410,홍제동,남양,59.94,8,1999,2026,3,30,60000,,,중개거래,홍제내길,457
11410,홍제동,홍제한양,60.06,7,1993,2026,3,24,86000,,,중개거래,통일로25길,82
11410,북아현동,힐스테이트신촌,84.9557,12,2023,2026,3,21,190500,,,중개거래,이화여대8길,1017
11410,현저동,독립문파크빌,59.4,7,2000,2026,3,20,68500,,,중개거래,통일로,1019
11410,영천동,독립문삼호,84.78,2,1995,2026,3,23,124000,,,중개거래,독립문로,100
11410,홍은동,현대하이츠,62.13,2,2004,2026,3,23,51000,,,중개거래,증가로6길,413-38
11410,홍은동,북한산더샵,59.899,6,2017,2026,3,16,115000,,,중개거래,통일로,464
11410,홍은동,북한산더샵,114.868,10,2017,2026,3,23,143000,,,중개거래,통일로,464
11410,홍제동,현대그린,84.96,8,1996,2026,3,5,70000,,,중개거래,세무서2길,455
11410,홍제동,서대문푸르지오센트럴파크,59.98,14,2023,2026,3,27,143000,,,중개거래,통일로,478
11410,홍제동,홍제센트럴IPARK,59.9837,5,2020,2026,3,14,120000,,,중개거래,통일로,473
11410,홍제동,성원,55.35,8,1998,2026,3,31,61000,,,중개거래,모래내로,456
11410,북가좌동,DMC래미안e편한세상,120.95,14,2012,2026,3,16,163000,,,중개거래,수색로,481
11410,홍은동,진흥,78.02,3,2002,2026,3,23,67200,,,중개거래,모래내로,459
11410,홍은동,진흥,78.02,2,2002,2026,3,21,62000,,,직거래,모래내로,459
11410,북가좌동,DMC현대아파트,84.95,7,2000,2026,3,21,82000,,,중개거래,응암로,453
11410,창천동,씨밀레,82.65,3,2004,2026,3,30,64500,,,중개거래,연희로2안길,468
11410,연희동,성원,59.61,3,2001,2026,3,22,66000,,,중개거래,연희로32길,740
11410,홍제동,문화촌현대,59.94,9,2002,2026,3,31,69300,,,중개거래,문화촌길,463
11410,북아현동,e편한세상신촌2단지,84.93,19,2018,2026,3,31,210000,,,중개거래,북아현로1길,1013
11410,대현동,신촌럭키,59.7,1,1999,2026,3,31,115000,,,중개거래,이화여대길,144
11410,북아현동,두산,59.96,3,1999,2026,3,31,125000,,,중개거래,이화여대8길,1009
11410,홍제동,남양,59.94,18,1999,2026,3,14,53000,,,중개거래,홍제내길,457
11410,남가좌동,DMC파크뷰자이4단지,84.968,8,2015,2026,3,27,148800,,,중개거래,가재울미래로,385
11410,북가좌동,DMC래미안e편한세상,84.95,16,2012,2026,3,14,155700,,,중개거래,수색로,481
11410,홍은동,홍은센트레빌,59.96,2,2009,2026,3,31,73500,,,중개거래,통일로,461
11410,홍은동,홍은센트레빌,59.96,6,2009,2026,3,24,83000,,,중개거래,통일로,461
11410,냉천동,동부센트레빌,84.93,12,2002,2026,3,30,109000,,,중개거래,독립문로14길,260
11410,홍제동,유원하나,82.35,7,1996,2026,3,21,63600,,,중개거래,세검정로,454
11410,남가좌동,DMC래미안클라시스,84.9,3,2000,2026,3,30,108000,,,중개거래,증가로,377
11410,남가좌동,DMC센트럴아이파크,84.95,2,2018,2026,3,9,135000,,,중개거래,증가로,388
11410,홍은동,홍은미성,83.61,1,1985,2026,3,29,50000,,,중개거래,연희로41길,186-1
11410,북가좌동,신일해피트리,84.98,10,2005,2026,3,30,83000,,,중개거래,수색로,455
11410,남가좌동,DMC래미안클라시스,84.9,19,2000,2026,3,30,114000,,,중개거래,증가로,377
11410,홍제동,유원하나,58.77,8,1996,2026,3,30,55000,,,중개거래,세검정로,454
11410,연희동,대우푸르지오,114.705,10,2002,2026,3,30,150000,,,중개거래,연희로,739
11410,대현동,신촌럭키,59.7,9,1999,2026,3,29,125000,,,중개거래,이화여대길,144
11410,홍제동,청구1차,84.78,15,1994,2026,3,28,119000,,,중개거래,통일로,453
11410,홍제동,홍제센트럴IPARK,84.9728,13,2020,2026,3,27,145000,,,중개거래,통일로,473
11410,홍은동,홍은동벽산,84.96,2,1997,2026,3,28,78000,,,중개거래,세검정로1길,455
11410,홍제동,인왕산현대,84.9,1,2000,2026,3,28,95000,,,중개거래,통일로34길,460
