시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11440,중동,울트라월드컵(참누리),84.9406,8,2006,2026,3,1,129000,,,중개거래,월드컵북로38길,398
11440,대흥동,마포그랑자이,59.98,17,2020,2026,3,28,228000,,,중개거래,대흥로,806
11440,신수동,세양청마루,57.44,5,2003,2026,3,25,109000,,,중개거래,독막로,451
11440,성산동,성산월드타운대림,117.898,12,2004,2026,3,26,148000,,,중개거래,월드컵북로30길,601
11440,신수동,신수동성원,59.76,12,1998,2026,3,31,124000,,,중개거래,독막로28길,190
11440,중동,마포중동현대,59.88,13,2001,2026,3,31,102000,,,중개거래,성암로,392
11440,중동,건영월드컵,78.39,4,2002,2026,3,28,80000,,,직거래,성암로,393
11440,아현동,마포래미안푸르지오2단지,59.9236,6,2014,2026,3,30,210000,,,중개거래,마포대로,777
11440,염리동,상록,49.02,20,1997,2026,3,7,119000,,,중개거래,숭문길,515-1
11440,상암동,DMC상암센트럴파크1단지,84.91,12,2009,2026,3,20,120000,,,직거래,월드컵북로43길,1630
11440,망원동,상암마젤란21,82.39,2,2005,2026,3,20,90000,,,중개거래,방울내로11길,513
11440,성산동,성산시영(대우),50.03,1,1986,2026,3,20,134000,,,중개거래,월드컵북로,446
11440,서교동,삼익플라주서교1,82.72,9,2007,2026,3,24,96000,,,중개거래,월드컵북로,488
11440,도화동,우성,68.94,10,1991,2026,3,30,168000,,,중개거래,삼개로,82
11440,아현동,삼환나띠르빌,84.9,11,2003,2026,3,12,130000,,,중개거래,마포대로,732
11440,염리동,마포자이더센트리지(102동~112동),84.866,22,2022,2026,3,11,245000,,,중개거래,숭문길,533
11440,대흥동,마포그랑자이,59.96,12,2020,2026,3,28,208000,,,중개거래,대흥로,806
11440,성산동,성산월드타운대림,84.549,4,2004,2026,3,28,115500,,,중개거래,월드컵북로30길,601
11440,망원동,휴먼빌,59.955,3,2004,2026,3,31,91000,,,중개거래,방울내로,509
11440,도화동,도화동현대,68.22,16,1996,2026,3,14,161500,,,중개거래,새창로,357
11440,망원동,마포월드컵제이스카이,59.95,12,2021,2026,3,31,80000,,,중개거래,방울내로11길,523
11440,망원동,미원2,93.66,4,1997,2026,3,2,85000,,,중개거래,월드컵로29길,433-9
11440,도화동,한화오벨리스크,38.08,14,2004,2026,3,24,57000,,,중개거래,마포대로,555
11440,망원동,마포한강제이스카이,31.524,2,2019,2026,3,26,37800,,,중개거래,방울내로,522
11440,도화동,한화오벨리스크,38.08,4,2004,2026,3,19,53000,,,중개거래,마포대로,555
11440,도화동,마포아크로타워,84.99,15,2007,2026,3,28,140000,,,중개거래,마포대로,563
11440,도화동,삼성,136.1,15,1997,2026,3,14,230000,,,중개거래,도화길,550
11440,망원동,미원1,58.98,2,1996,2026,3,20,55500,,,중개거래,망원로11길,478-27
11440,도화동,우성,79.97,7,1991,2026,3,13,183000,,,중개거래,삼개로,82
11440,성산동,성산시영(유원),59.43,10,1986,2026,3,4,168000,,,중개거래,월드컵북로,446
11440,망원동,삼우하이뷰,86.7,7,2003,2026,3,31,77000,,,중개거래,월드컵로11길,381-9
11440,공덕동,마포공덕파크팰리스Ⅱ,141.46,4,2005,2026,3,28,150500,,,중개거래,마포대로,462
11440,연남동,노블레스빌2,82.18,3,2002,2026,3,25,72500,,,중개거래,성미산로27길,249-3
11440,도화동,한화오벨리스크,38.08,3,2004,2026,3,31,53000,,,중개거래,마포대로,555
11440,대흥동,대흥동태영아파트,59.4,21,1999,2026,3,20,164500,,,중개거래,독막로,660
11440,망원동,대림2,84.73,6,2002,2026,3,13,120000,,,중개거래,망원로1길,497
11440,아현동,마포래미안푸르지오4단지,84.5978,6,2014,2026,3,20,235000,,,중개거래,마포대로,777
11440,망원동,동보프리미아,63.02,3,2004,2026,3,30,67000,,,중개거래,방울내로11길,463-2
11440,성산동,성산동성,84.81,6,1999,2026,3,28,88800,,,중개거래,모래내로3길,597
11440,망원동,성원2,59.43,9,1999,2026,3,21,68000,,,중개거래,망원로4길,489
11440,아현동,공덕자이,84.99,7,2015,2026,3,30,243000,,,중개거래,마포대로24길,800
11440,중동,건영월드컵,109.35,1,2002,2026,3,10,97500,,,중개거래,성암로,393
11440,도화동,도화동현대,68.22,9,1996,2026,3,9,161000,,,중개거래,새창로,357
