시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11470,신정동,동원로데오,84.2,8,2006,2026,1,5,95000,,,중개거래,목동로29길,1308
11470,신정동,목동신시가지14,108.28,12,1987,2026,1,26,283000,,,중개거래,목동동로,329
11470,목동,롯데캐슬위너,84.98,19,2005,2026,1,24,134000,,,중개거래,목동중앙북로,956
11470,신월동,해주,79.86,7,2001,2026,1,29,45000,,,중개거래,곰달래로2길,217-8
11470,신정동,목동동보,110.14,5,2004,2026,1,26,134500,,,중개거래,목동로19길,993-1
11470,신정동,목동신시가지9,126.02,3,1987,2026,1,13,320000,,,중개거래,목동서로,312
11470,목동,성원2,59.9,3,2000,2026,1,26,64250,,,중개거래,목동중앙남로,709-2
11470,신정동,푸른마을2,49.16,5,2001,2026,1,26,56000,,,중개거래,신정로7길,1281
11470,신정동,래미안목동아델리체(101동~118동),84.72,21,2021,2026,1,28,190000,,,중개거래,중앙로43길,1326
11470,신정동,푸른마을2,59.85,2,2001,2026,1,30,62000,,,중개거래,신정로7길,1281
11470,신정동,래미안목동아델리체(101동~118동),115.97,6,2021,2026,1,29,210000,,,중개거래,중앙로43길,1326
11470,신정동,래미안목동아델리체(101동~118동),59.82,21,2021,2026,1,26,159000,,,중개거래,중앙로43길,1326
11470,신정동,목동2삼성래미안,59.92,5,2001,2026,1,31,115500,,,중개거래,목동남로4길,1295
11470,신정동,신정현대5,114.24,7,1999,2026,1,31,137000,,,중개거래,신정로,1273
11470,신정동,신트리3,84.8,14,2000,2026,1,27,108000,,,중개거래,신정로,1276
11470,신월동,목동센트럴아이파크위브3단지,84.98,10,2020,2026,1,31,130000,,,중개거래,남부순환로83길,1077
11470,목동,건영,84.33,11,1994,2026,1,30,55000,,,직거래,목동중앙본로22길,928
11470,신정동,현대,84.84,9,1995,2026,1,31,140000,,,중개거래,신목로,1252
11470,신월동,에이원,62.19,4,1994,2026,1,29,25500,,,중개거래,월정로11길,413-3
11470,목동,하이페리온2,119.369,35,2006,2026,1,31,314000,,,중개거래,오목로,961
11470,목동,목동금호베스트빌,83.71,4,2002,2026,1,31,98000,,,중개거래,목동중앙북로8길,549
11470,신월동,신월대림,114.3,7,2001,2026,1,26,80500,,,중개거래,오목로13길,491-1
11470,목동,목동동화옥시죤-7,76.38,6,2005,2026,1,30,79500,,,중개거래,목동중앙본로3길,747-12
11470,신정동,목동우성3,114.89,6,1999,2026,1,17,92000,,,중개거래,목동남로4길,338
11470,신정동,신트리1,59.73,12,1999,2026,1,31,87800,,,중개거래,신정로,1259
11470,신정동,중앙하이츠,162.36,2,2010,2026,1,30,135000,,,중개거래,목동남로2길,1314
11470,신월동,목동센트럴아이파크위브3단지,59.88,7,2020,2026,1,31,106500,,,중개거래,남부순환로83길,1077
11470,신정동,신트리1,49.95,11,1999,2026,1,31,78000,,,중개거래,신정로,1259
