시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11530,구로동,구로현대,63.98,1,1992,2026,1,29,64000,,,중개거래,디지털로,1256
11530,신도림동,대림2,84.95,4,2001,2026,1,31,137000,,,중개거래,신도림로,642
11530,구로동,구로두산,44.64,14,1998,2026,1,31,51200,,,중개거래,도림로,1265
11530,개봉동,개봉동현대아이파크,84.98,9,2006,2026,1,22,91200,,,중개거래,개봉로2길,489
11530,구로동,한국현대,84.72,14,1994,2026,1,28,60000,,,중개거래,구일로8길,642-39
11530,신도림동,대림1,134.99,11,1999,2026,1,30,151000,,,중개거래,신도림로,642
11530,구로동,새솔금호,59.9,4,1996,2026,1,15,49000,,,중개거래,공원로,108-2
11530,구로동,보광,66.42,5,1984,2026,1,27,69500,,,중개거래,가마산로,440
11530,천왕동,천왕이펜하우스1단지,59.94,5,2011,2026,1,31,70000,,,중개거래,천왕로,282
11530,구로동,이화우성,114.92,5,1998,2026,1,30,84500,,,중개거래,도림로22길,1260
11530,고척동,삼환로즈빌,84.994,5,2004,2026,1,30,93000,,,중개거래,경인로,336
11530,구로동,삼성래미안,56.036,20,2004,2026,1,30,78500,,,중개거래,디지털로31길,256-1
11530,고척동,"우성,현대아파트",68.7,10,1987,2026,1,20,62000,,,중개거래,중앙로1길,76-55
11530,고척동,우성꿈동산,79.77,10,1996,2026,1,31,53500,,,중개거래,경인로47다길,321
11530,신도림동,대림e-편한세상4,117.74,21,2003,2026,1,26,200000,,,중개거래,경인로65길,646
11530,천왕동,천왕연지타운1단지,59.97,9,2013,2026,1,22,74500,,,중개거래,오류로,280
11530,구로동,우방,84.9,12,1993,2026,1,23,63900,,,중개거래,구일로,642-46
11530,고척동,경남2,59.96,7,1999,2026,1,24,54000,,,중개거래,고척로52길,306
11530,구로동,우리유앤미,53.51,8,2004,2026,1,31,50500,,,중개거래,구로동로43길,1277
11530,오류동,삼천리,59.73,25,1998,2026,1,24,55500,,,중개거래,경인로8길,340
11530,고척동,한일유앤아이,84.98,11,2005,2026,1,7,73000,,,중개거래,중앙로15길,337
11530,구로동,구로지웰,59.651,4,2011,2026,1,28,58000,,,중개거래,구로동로28길,1287
11530,개봉동,개봉동현대아이파크,59.99,10,2006,2026,1,28,84000,,,중개거래,개봉로2길,489
11530,개봉동,현대,84.99,1,2001,2026,1,28,81000,,,중개거래,개봉로20길,481
11530,신도림동,대림1,59.93,1,1999,2026,1,24,96000,,,중개거래,신도림로,642
11530,항동,한양수자인에듀힐즈,76.88,14,2019,2026,1,28,81800,,,중개거래,항동로,241
11530,구로동,주공2,64.62,2,1987,2026,1,22,94000,,,중개거래,구일로4길,685-223
11530,오류동,우림필유,84.99,14,2005,2026,1,17,62000,,,중개거래,서해안로,348
11530,구로동,성삼하이츠,78.88,6,2004,2026,1,28,61300,,,중개거래,구로중앙로18길,1275
11530,천왕동,천왕이펜하우스5단지,84.98,4,2011,2026,1,18,70000,,,중개거래,천왕로,277
11530,개봉동,한마을,123.46,24,1999,2026,1,21,101000,,,중개거래,경인로,476
11530,개봉동,현대홈타운,84.915,10,2001,2026,1,16,84000,,,중개거래,개봉로20길,480
11530,구로동,덕영드림,56.19,4,2006,2026,1,30,52800,,,중개거래,구로중앙로34길,1282
11530,개봉동,두산,59.69,4,1997,2026,1,30,54200,,,중개거래,남부순환로95길,472
11530,고척동,대우,84.99,20,1999,2026,1,21,69500,,,중개거래,고척로52길,296
11530,고척동,청구,59.94,19,1999,2026,1,17,58500,,,중개거래,중앙로6길,326
11530,신도림동,대림1,59.88,11,1999,2026,1,31,119500,,,중개거래,신도림로,642
11530,신도림동,대림2,59.88,9,2001,2026,1,31,120000,,,중개거래,신도림로,642
11530,오류동,라인,59.52,20,1995,2026,1,31,42500,,,중개거래,경인로,334
11530,신도림동,현대홈타운아파트,59.73,11,1999,2026,1,31,97000,,,중개거래,신도림로19길,641
11530,개봉동,현대홈타운,84.915,9,2001,2026,1,30,84900,,,중개거래,개봉로20길,480
11530,신도림동,디큐브시티,84.96,44,2011,2026,1,31,154500,,,중개거래,경인로,692
11530,오류동,동부(105동~106동),59.58,5,1999,2026,1,30,45900,,,중개거래,경인로,339
11530,구로동,중앙하이츠(1269),59.73,8,2001,2026,1,13,70000,,,중개거래,구로동로47길,1269
11530,구로동,우원그린빌,84.206,3,2001,2026,1,31,53900,,,중개거래,구로중앙로28다길,110-9
