시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11560,양평동5가,양평한신,59.94,9,1996,2026,1,28,115000,,,중개거래,양평로24길,76
11560,신길동,우성2,84.47,4,1986,2026,1,30,145500,,,중개거래,대방천로,4518
11560,대림동,보라매 신동아 파밀리에,84.91,15,2016,2026,1,31,100000,,,중개거래,디지털로,1125
11560,영등포동7가,포레나영등포센트럴,59.8976,5,2020,2026,1,29,137000,,,중개거래,국회대로50길,208
11560,여의도동,목화,89.26,6,1977,2026,1,29,303000,,,중개거래,여의나루로,30
11560,신길동,신길센트럴자이아파트,84.98,5,2021,2026,1,24,187000,,,중개거래,신길로29길,4964
11560,대림동,우성1,52.07,11,1985,2026,1,28,56000,,,중개거래,도림로,696
11560,영등포동,영등포푸르지오,84.908,8,2002,2026,1,26,151800,,,중개거래,도신로29길,647
11560,당산동1가,진로,162.21,18,1997,2026,1,30,173000,,,중개거래,당산로,16-1
11560,신길동,보라매에스케이뷰,84.98,3,2020,2026,1,30,185000,,,중개거래,여의대방로35가길,4958
11560,신길동,래미안에스티움,59.95,14,2017,2026,1,31,168300,,,중개거래,신풍로,4950
11560,여의도동,진주,72,11,1977,2026,1,22,260000,,,중개거래,국제금융로,54
11560,여의도동,시범,79.24,1,1971,2026,1,28,276500,,,중개거래,63로,50
11560,양평동2가,상록수,59.99,2,1999,2026,1,29,59500,,,중개거래,영등포로,45
11560,신길동,우성1,83.64,1,1986,2026,1,22,110800,,,중개거래,도신로,365
11560,여의도동,광장,139.14,3,1978,2026,1,27,380000,,,중개거래,여의나루로,28
11560,신길동,우성2,84.47,10,1986,2026,1,30,147000,,,중개거래,대방천로,4518
11560,신길동,보라매정은벚꽃마을,74.53,7,2014,2026,1,31,77500,,,중개거래,대방천로14길,4944
11560,당산동2가,당산대우,31.73,14,1999,2026,1,30,35750,,,중개거래,영등포로,16-1
11560,신길동,래미안에스티움,84.93,14,2017,2026,1,31,191000,,,중개거래,신풍로,4950
11560,당산동3가,당산계룡리슈빌2단지,38.77,14,2014,2026,1,18,73000,,,중개거래,양산로25길,566
11560,문래동3가,문래건영,84.87,2,1998,2026,1,30,120000,,,중개거래,문래로,93-1
11560,신길동,우성5,84.98,1,1993,2026,1,31,82000,,,중개거래,도신로,4933
11560,영등포동7가,여의휴젠느,36.85,16,2018,2026,1,31,49500,,,중개거래,국회대로56길,94-99
11560,당산동3가,당산어울림2차,84.9651,2,2009,2026,1,29,119000,,,중개거래,양산로17길,563
