시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11590,대방동,우정,59.89,3,1999,2026,3,21,87000,,,중개거래,여의대방로62길,505
11590,사당동,사당롯데캐슬골든포레,59.9908,4,2021,2026,3,30,154000,,,중개거래,사당로,1160
11590,사당동,사당롯데캐슬골든포레,59.9908,7,2021,2026,3,22,150000,,,중개거래,사당로,1160
11590,사당동,사당롯데캐슬골든포레,59.9908,7,2021,2026,3,20,150000,,,중개거래,사당로,1160
11590,사당동,대림(169-8),84.91,3,1990,2026,3,25,110200,,,직거래,사당로17길,169-8
11590,사당동,남해오네뜨,59.958,1,2002,2026,3,26,49700,,,직거래,사당로2가길,1143
11590,흑석동,명수대현대,147.18,11,1988,2026,3,30,314000,,,중개거래,현충로,10
11590,사당동,경남아너스빌2차,59.9,5,1998,2026,3,17,91500,,,중개거래,사당로,1135
11590,사당동,사당롯데캐슬골든포레,59.9908,10,2021,2026,3,24,149900,,,중개거래,사당로,1160
11590,신대방동,해태보라매타워,59.94,13,1996,2026,3,23,64000,,,중개거래,보라매로3길,708
11590,사당동,제일,60.03,8,1987,2026,3,27,121000,,,중개거래,사당로16다길,240-15
11590,사당동,삼성래미안,84.967,12,2003,2026,3,25,148000,,,중개거래,사당로23바길,1133
11590,사당동,삼익그린뷰,84.9941,3,2003,2026,3,30,50000,,,직거래,남부순환로255길,1150
11590,대방동,주공2,58.65,11,1995,2026,3,19,140000,,,중개거래,여의대방로44길,503
11590,사당동,갑을명가,81.7917,1,2006,2026,3,7,80000,,,중개거래,솔밭로,1151
11590,사당동,극동(105),119.91,3,1993,2026,3,19,170000,,,중개거래,동작대로29길,105
11590,상도동,상도휴엔하임,14.7,4,2016,2026,3,26,14300,,,중개거래,상도로15길,363-164
11590,사당동,이수자이,120.81,24,2010,2026,3,21,186500,,,중개거래,사당로,147-29
11590,신대방동,동작상떼빌,128.61,26,2006,2026,3,31,131000,,,중개거래,신대방1가길,719
11590,사당동,두산위브트레지움,116.6177,2,2011,2026,3,24,209000,,,중개거래,사당로13길,1131
11590,노량진동,신동아리버파크,84.88,6,2001,2026,3,31,165500,,,중개거래,만양로,325
11590,상도동,상도효성해링턴플레이스,84.9506,14,2016,2026,3,6,172500,,,중개거래,상도로,536
11590,상도동,포스코더샵,59.99,3,2007,2026,3,7,165000,,,중개거래,장승배기로4길,521
11590,상도동,래미안상도3차,59.97,4,2004,2026,3,7,153000,,,중개거래,상도로53길,431
11590,상도동,상도파크자이,84.918,25,2016,2026,3,30,215000,,,중개거래,장승배기로11가길,900
11590,흑석동,롯데캐슬에듀포레,84.9912,12,2018,2026,3,26,241000,,,중개거래,서달로,340
11590,흑석동,흑석한강센트레빌Ⅱ,119.738,9,2012,2026,3,18,220000,,,중개거래,서달로,339
11590,상도동,힐스테이트 상도 프레스티지,84.884,11,2013,2026,3,31,180000,,,중개거래,상도로,533
11590,대방동,신일해피트리,59.8165,4,2005,2026,3,13,90300,,,중개거래,여의대방로62길,510
11590,본동,신동아,84.46,4,1993,2026,3,31,139500,,,중개거래,매봉로,481
11590,상도동,아이파크,84.96,11,2004,2026,3,31,166000,,,중개거래,장승배기로,416
11590,노량진동,신동아리버파크,59.67,15,2001,2026,3,31,145000,,,중개거래,만양로,325
11590,신대방동,우성1차,66.69,3,1988,2026,3,31,116500,,,중개거래,여의대방로,565
11590,대방동,성원,84.32,22,1994,2026,3,14,154000,,,중개거래,여의대방로44길,500
11590,상도동,상도동래미안1차,59.828,8,2004,2026,3,30,139500,,,중개거래,등용로,450
11590,상도동,대림아파트,84.89,5,1995,2026,3,30,99500,,,중개거래,상도로60길,411
11590,사당동,대림(169-8),125.4,14,1990,2026,3,30,185000,,,중개거래,사당로17길,169-8
11590,노량진동,신동아리버파크,114.75,28,2001,2026,3,30,168000,,,중개거래,만양로,325
11590,상도동,씨티아모리움,14.1881,5,2012,2026,3,26,13000,,,중개거래,상도로62길,532
11590,사당동,경남아너스빌1차,59.9,5,1997,2026,3,29,102500,,,중개거래,사당로9가길,1134
11590,신대방동,현대,84.57,8,1996,2026,3,14,124500,,,중개거래,여의대방로,707
11590,사당동,사당롯데캐슬골든포레,84.9824,6,2021,2026,3,28,160000,,,중개거래,사당로,1160
11590,대방동,주공2,59.97,9,1995,2026,3,28,139000,,,중개거래,여의대방로44길,503
11590,사당동,신동아4,59.89,5,1993,2026,3,28,158000,,,중개거래,동작대로29길,105
11590,노량진동,우성,59.82,7,1997,2026,3,28,134500,,,중개거래,만양로8길,323
11590,노량진동,신동아리버파크,84.88,10,2001,2026,3,28,161000,,,중개거래,만양로,325
11590,흑석동,흑석리버파크자이,84.96,13,2025,2026,3,28,240000,,,중개거래,서달로,343
11590,노량진동,신동아리버파크,59.67,20,2001,2026,3,28,146000,,,중개거래,만양로,325
11590,사당동,롯데캐슬,84.96,8,2003,2026,3,28,148000,,,중개거래,사당로27길,1132
11590,상도동,포스코더샵,132.735,7,2007,2026,3,28,197000,,,중개거래,장승배기로4길,521
11590,상도동,상도파크자이,84.947,17,2016,2026,3,27,228000,,,중개거래,장승배기로11가길,900
11590,노량진동,쌍용예가,59.957,2,2010,2026,3,27,149300,,,중개거래,장승배기로16길,332
11590,사당동,사당휴먼시아,84.73,12,2009,2026,3,27,118000,,,중개거래,사당로16길,1154
11590,흑석동,흑석리버파크자이,84.96,17,2025,2026,3,5,254000,,,중개거래,서달로,343
11590,상도동,삼성래미안2,84.796,12,2003,2026,3,27,147000,,,중개거래,상도로55길,421
11590,신대방동,보라매삼성쉐르빌,120.59,21,2003,2026,3,5,150000,,,중개거래,보라매로5길,395-66
11590,사당동,대림(169-8),59.67,3,1990,2026,3,4,152000,,,중개거래,사당로17길,169-8
11590,상도동,건영,32.8,9,1997,2026,3,27,74000,,,중개거래,만양로,414
11590,사당동,이수푸르지오더프레티움,84.9243,3,2021,2026,3,25,130000,,,직거래,,1161
11590,신대방동,롯데낙천대,55.4561,7,2003,2026,3,26,118000,,,중개거래,여의대방로10길,713
11590,본동,삼성래미안,59.9843,5,2004,2026,3,26,143000,,,중개거래,매봉로,492
11590,사당동,사당휴먼시아,59.96,7,2009,2026,3,26,93000,,,중개거래,사당로16길,1154
11590,신대방동,현대,84.57,15,1996,2026,3,26,123500,,,중개거래,여의대방로,707
11590,상도동,초원,90.06,4,2003,2026,3,18,49500,,,중개거래,국사봉16길,301-4
11590,사당동,극동(105),46.75,8,1993,2026,3,5,135000,,,중개거래,동작대로29길,105
11590,노량진동,건영(103동-106동),114.96,7,1997,2026,3,12,158800,,,중개거래,만양로,324
11590,상도동,건영,32.8,15,1997,2026,3,25,74000,,,중개거래,만양로,414
11590,신대방동,보라매아카데미타워,84.95,16,1998,2026,3,18,84000,,,중개거래,보라매로5가길,395-69
11590,신대방동,동작협성휴포레시그니처,84.9464,12,2022,2026,3,18,118000,,,중개거래,시흥대로,686-48
11590,상도동,대림아파트,84.89,12,1995,2026,3,25,83000,,,직거래,상도로60길,411
11590,사당동,사당롯데캐슬골든포레,59.9908,8,2021,2026,3,24,143000,,,중개거래,사당로,1160
11590,대방동,성원,84.32,6,1994,2026,3,24,141000,,,중개거래,여의대방로44길,500
11590,본동,한신휴플러스,84.84,17,2004,2026,3,24,152000,,,중개거래,매봉로,487
11590,사당동,사당자이,59.89,1,1999,2026,3,24,113500,,,중개거래,사당로2가길,1139
11590,사당동,사당롯데캐슬골든포레,59.9775,2,2021,2026,3,22,140000,,,중개거래,사당로,1160
11590,흑석동,흑석동양아파트,84.985,5,2003,2026,3,11,151000,,,중개거래,서달로1길,328
11590,상도동,상도휴엔하임,14.7,7,2016,2026,3,23,13500,,,중개거래,상도로15길,363-164
11590,동작동,금강KCC,84.95,13,2003,2026,3,23,142500,,,중개거래,동작대로39가길,331
11590,사당동,사당롯데캐슬골든포레,59.8557,5,2021,2026,3,23,149800,,,중개거래,사당로,1160
11590,상도동,상도동래미안1차,59.828,1,2004,2026,3,5,129000,,,중개거래,등용로,450
11590,상도동,삼성래미안2,59.886,9,2003,2026,3,6,129000,,,중개거래,상도로55길,421
11590,상도동,상도팰리스,84.86,5,2006,2026,3,23,89000,,,중개거래,상도로47바길,460
11590,대방동,우정,59.89,3,1999,2026,3,21,87000,,,중개거래,여의대방로62길,505
11590,신대방동,보라매삼성쉐르빌,120.59,27,2003,2026,3,3,147000,,,중개거래,보라매로5길,395-66
11590,신대방동,우성1차,126.16,15,1988,2026,3,7,159500,,,중개거래,여의대방로,565
11590,노량진동,신동아리버파크,84.88,12,2001,2026,3,23,162000,,,중개거래,만양로,325
11590,상도동,중앙하이츠빌,84.9883,13,2003,2026,3,21,143800,,,중개거래,상도로,415
11590,신대방동,롯데낙천대,55.4561,2,2003,2026,3,22,109000,,,중개거래,여의대방로10길,713
11590,상도동,삼성래미안2,59.886,3,2003,2026,3,22,133000,,,중개거래,상도로55길,421
11590,상도동,힐스테이트 상도 프레스티지,84.884,10,2013,2026,3,22,177500,,,중개거래,상도로,533
11590,흑석동,우리유앤미,59.9404,14,2003,2026,3,20,118000,,,중개거래,서달로,329
11590,신대방동,보라매파크빌,84.73,6,2002,2026,3,21,130000,,,중개거래,여의대방로10길,711
11590,신대방동,롯데낙천대,55.4561,5,2003,2026,3,21,114000,,,중개거래,여의대방로10길,713
11590,상도동,상도효성해링턴플레이스,84.9506,11,2016,2026,3,21,175000,,,중개거래,상도로,536
11590,사당동,삼성래미안,84.967,2,2003,2026,3,21,136500,,,중개거래,사당로23바길,1133
11590,상도동,래미안상도3차,84.96,13,2004,2026,3,21,168000,,,중개거래,상도로53길,431
11590,상도동,경향렉스빌,84.5802,7,2002,2026,3,21,90000,,,중개거래,양녕로23길,445
11590,상도동,아이파크,84.96,18,2004,2026,3,21,161800,,,중개거래,장승배기로,416
11590,신대방동,한성아파트,59.87,19,1995,2026,3,21,115000,,,중개거래,여의대방로10길,470-8
11590,사당동,사당우성3,46.75,5,1993,2026,3,22,135000,,,중개거래,동작대로29길,105
11590,상도동,래미안상도3차,84.96,8,2004,2026,3,21,165500,,,중개거래,상도로53길,431
11590,대방동,대림아파트,59.84,6,1993,2026,3,20,150000,,,중개거래,여의대방로44길,501
11590,사당동,사당자이,84.49,5,1999,2026,3,20,130000,,,중개거래,사당로2가길,1139
11590,신대방동,우성1차,84.99,19,1988,2026,3,20,146000,,,중개거래,여의대방로,565
11590,노량진동,신동아리버파크,84.88,18,2001,2026,3,19,164000,,,중개거래,만양로,325
11590,신대방동,롯데낙천대,55.4561,7,2003,2026,3,20,115300,,,중개거래,여의대방로10길,713
11590,본동,신동아,104.7,7,1993,2026,3,20,149000,,,중개거래,매봉로,481
11590,대방동,현대홈타운2,59.89,2,1999,2026,3,19,115000,,,중개거래,알마타길,506
11590,동작동,이수힐스테이트,84.9817,7,2013,2026,3,19,205000,,,중개거래,동작대로39길,333
11590,사당동,래미안로이파크,84.98,15,2018,2026,3,13,225000,,,중개거래,사당로23길,1159
11590,동작동,이수힐스테이트,108.3358,7,2013,2026,3,4,246000,,,중개거래,동작대로39길,333
11590,상도동,대림아파트,84.89,12,1995,2026,3,19,98000,,,중개거래,상도로60길,411
11590,사당동,삼성래미안,84.967,11,2003,2026,3,7,150000,,,중개거래,사당로23바길,1133
11590,신대방동,롯데낙천대,80.2422,5,2003,2026,3,19,129500,,,중개거래,여의대방로10길,713
11590,사당동,극동(105),59.25,1,1993,2026,3,19,150000,,,중개거래,동작대로29길,105
11590,상도동,상도1차갑을명가,83.84,2,2006,2026,3,16,84000,,,중개거래,국사봉길,458
11590,사당동,이수자이,120.17,20,2010,2026,3,5,176850,,,직거래,사당로,147-29
11590,사당동,신동아5,114.68,3,1998,2026,3,9,149000,,,중개거래,동작대로29길,1137
11590,사당동,삼성래미안,84.967,8,2003,2026,3,18,146000,,,중개거래,사당로23바길,1133
11590,사당동,극동(105),119.91,14,1993,2026,3,18,183000,,,중개거래,동작대로29길,105
11590,본동,신동아,104.7,9,1993,2026,3,15,154000,,,중개거래,매봉로,481
11590,상도동,대우유로카운티,149.049,18,2003,2026,3,17,160000,,,중개거래,양녕로,420
11590,사당동,이수역리가,84.847,4,2013,2026,3,3,176000,,,중개거래,사당로27길,1157
11590,사당동,이너스내안애,84.97,4,2012,2026,3,4,104500,,,중개거래,사당로13길,1156
11590,흑석동,흑석한강센트레빌Ⅱ,84.951,10,2012,2026,3,12,210000,,,중개거래,서달로,339
11590,신대방동,동작협성휴포레시그니처,84.9464,13,2022,2026,3,16,116500,,,중개거래,시흥대로,686-48
11590,신대방동,보라매e편한세상,59.98,11,2010,2026,3,16,118000,,,중개거래,보라매로,720
11590,사당동,극동(105),84.32,7,1993,2026,3,13,162500,,,중개거래,동작대로29길,105
11590,사당동,극동(105),84.32,16,1993,2026,3,5,125000,,,중개거래,동작대로29길,105
11590,상도동,힐스테이트 상도 프레스티지,84.884,17,2013,2026,3,14,181000,,,중개거래,상도로,533
11590,흑석동,해가든,114.22,11,2010,2026,3,13,168000,,,중개거래,서달로,332
11590,사당동,경남아너스빌1차,84.98,14,1997,2026,3,15,125000,,,중개거래,사당로9가길,1134
11590,흑석동,흑석동양아파트,84.985,8,2003,2026,3,15,150000,,,중개거래,서달로1길,328
11590,신대방동,보라매자이더포레스트,59.9365,17,2021,2026,3,14,164500,,,중개거래,여의대방로22길,724
11590,신대방동,롯데낙천대,55.4561,2,2003,2026,3,14,110000,,,중개거래,여의대방로10길,713
11590,신대방동,보라매자이더포레스트,84.75,28,2021,2026,3,3,190000,,,중개거래,여의대방로22길,724
11590,신대방동,동작상떼빌,128.61,6,2006,2026,3,14,129000,,,중개거래,신대방1가길,719
11590,사당동,극동(105),59.25,10,1993,2026,3,12,157500,,,중개거래,동작대로29길,105
11590,사당동,사당휴먼시아,59.96,7,2009,2026,3,5,104000,,,중개거래,사당로16길,1154
11590,노량진동,우성,59.82,6,1997,2026,3,13,143000,,,중개거래,만양로8길,323
11590,본동,신동아,46.75,8,1993,2026,3,13,98000,,,중개거래,매봉로,481
11590,상도동,상도동삼호아파트,84.52,1,1994,2026,3,6,109000,,,중개거래,상도로,408
11590,상도동,상도동삼호아파트,84.52,3,1994,2026,3,7,114000,,,중개거래,상도로,408
11590,상도동,포스코더샵,84.995,6,2007,2026,3,12,190000,,,중개거래,장승배기로4길,521
11590,상도동,초원,92.99,1,2003,2026,3,6,44800,,,중개거래,국사봉16길,301-4
11590,사당동,극동(105),59.25,6,1993,2026,3,12,152000,,,중개거래,동작대로29길,105
11590,신대방동,보라매파크빌,84.84,14,2002,2026,3,11,140000,,,중개거래,여의대방로10길,711
11590,사당동,대창센시티,77.2084,12,2005,2026,3,11,102500,,,중개거래,사당로9가길,1147
11590,상도동,상도역롯데캐슬파크엘,74.9853,18,2021,2026,3,11,199000,,,중개거래,양녕로,904
11590,노량진동,우성,59.82,15,1997,2026,3,11,144000,,,중개거래,만양로8길,323
11590,사당동,사당우성3,46.75,3,1993,2026,3,11,132000,,,중개거래,동작대로29길,105
11590,노량진동,메가스터디타워,15.974,15,2015,2026,3,9,15000,,,중개거래,노량진로,57-1
11590,동작동,이수교KCC스위첸,120.71,7,2006,2026,3,6,168000,,,중개거래,동작대로45길,332
11590,신대방동,보라매e편한세상,59.98,15,2010,2026,3,6,120000,,,중개거래,보라매로,720
11590,사당동,대성유니드,84.93,7,2009,2026,3,9,100000,,,중개거래,동작대로29길,1155
11590,사당동,래미안로이파크,84.98,10,2018,2026,3,6,222500,,,중개거래,사당로23길,1159
11590,신대방동,경남교수,113.93,23,2001,2026,3,9,139000,,,중개거래,여의대방로10길,710
11590,상도동,포스코더샵,84.995,13,2007,2026,3,7,184500,,,중개거래,장승배기로4길,521
11590,상도동,건영,32.8,3,1997,2026,3,7,70000,,,중개거래,만양로,414
11590,사당동,극동(105),84.32,13,1993,2026,3,3,162000,,,중개거래,동작대로29길,105
11590,사당동,신동아4,46.75,14,1993,2026,3,5,139000,,,중개거래,동작대로29길,105
11590,상도동,상도푸르지오클라베뉴,59.8166,4,2024,2026,3,5,142000,,,중개거래,성대로,906
11590,상도동,대우유로카운티,142.129,9,2003,2026,3,5,155000,,,중개거래,양녕로,420
11590,상도동,힐스테이트 상도 센트럴파크,84.7835,11,2012,2026,3,5,190000,,,중개거래,상도로,531
11590,신대방동,롯데낙천대,55.4561,13,2003,2026,3,4,117000,,,중개거래,여의대방로10길,713
11590,사당동,사당우성3,84.66,3,1993,2026,3,4,170000,,,중개거래,동작대로29길,105
11590,사당동,반석블레스,59.86,2,2016,2026,3,4,73000,,,중개거래,사당로2길,1158
11590,사당동,사당휴먼시아,84.9,2,2009,2026,3,4,110000,,,중개거래,사당로16길,1154
11590,신대방동,보라매자이더포레스트,59.9278,34,2021,2026,3,3,160000,,,중개거래,여의대방로22길,724
11590,대방동,대림아파트,59.84,12,1993,2026,3,3,148000,,,중개거래,여의대방로44길,501
11590,사당동,경남아너스빌2차,84.96,4,1998,2026,3,2,100000,,,중개거래,사당로,1135
11590,사당동,두산위브트레지움,84.9706,20,2011,2026,3,2,199000,,,중개거래,사당로13길,1131
