시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11620,신림동,힐스테이트뉴포레,59.9882,11,2022,2026,3,3,145000,,,중개거래,조원로,1746
11620,신림동,힐스테이트뉴포레,59.9986,16,2022,2026,3,18,139000,,,중개거래,조원로,1746
11620,신림동,신림현대,34.86,4,1993,2026,3,25,38000,,,직거래,신림로29길,1694
11620,봉천동,더갤러리테라스,53.22,5,2016,2026,3,31,55000,,,중개거래,행운5길,100-20
11620,봉천동,은선파인빌,92.11,5,2004,2026,3,23,60000,,,중개거래,중앙길,464-41
11620,봉천동,서울대입구아이원(1560-62),84.92,2,2006,2026,3,31,85000,,,중개거래,청룡길,1560-62
11620,신림동,관악산휴먼시아2단지,114.7,8,2008,2026,3,29,60000,,,직거래,난곡로,1735
11620,신림동,관악산휴먼시아2단지,114.7,17,2008,2026,3,19,70000,,,직거래,난곡로,1735
11620,신림동,보라매해담채,12.89,5,2012,2026,3,25,15000,,,직거래,신사로,497-5
11620,봉천동,닷컴힐즈(1653-3),49.01,7,2023,2026,3,24,73000,,,중개거래,인헌1길,1653-3
11620,봉천동,e편한세상서울대입구2차,84.31,9,2020,2026,3,27,137000,,,중개거래,참숯1길,1733
11620,남현동,동송하이클래스,71.36,5,2003,2026,3,30,56000,,,중개거래,승방3가길,602-163
11620,봉천동,관악드림(동아),114.75,10,2003,2026,3,25,130000,,,중개거래,성현로,1712
11620,봉천동,관악중앙하이츠포레,63.3633,2,2022,2026,3,21,68000,,,중개거래,장군봉13길,1737
11620,신림동,성우,59.97,11,1998,2026,3,26,65500,,,중개거래,남부순환로198길,10-622
11620,신림동,신림동쌍용아파트,59.26,7,1998,2026,3,24,52000,,,중개거래,미성길,1686
11620,봉천동,두산,114.99,14,2000,2026,3,7,119000,,,직거래,은천로,1708
11620,신림동,금호(1차),84.96,6,1997,2026,3,27,54000,,,중개거래,대학18길,1705
11620,봉천동,봉천우성,84.96,20,2000,2026,3,2,108000,,,중개거래,관악로30길,1706
11620,남현동,관악산대창센시티,113.38,5,2005,2026,3,21,85000,,,중개거래,남현12길,1137
11620,봉천동,관악유앤아이,84.866,2,2009,2026,3,20,85000,,,중개거래,은천로,1727
11620,신림동,신동아,84.3,8,1994,2026,3,31,48000,,,중개거래,신림로11길,산28-9
11620,신림동,태흥,59.86,9,1995,2026,3,25,43000,,,중개거래,호암로,1698
11620,신림동,건영2,59.76,11,1988,2026,3,31,45500,,,중개거래,난곡로35길,721-2
11620,봉천동,관악동부센트레빌,59.75,8,2004,2026,3,26,87000,,,직거래,은천로33길,1719
11620,신림동,국제산장,84.15,12,1993,2026,3,29,49400,,,중개거래,호암로,1693
11620,신림동,동부,50.57,2,1993,2026,3,31,64000,,,중개거래,신원로,1695
11620,봉천동,은천1,84.65,9,2001,2026,3,30,90000,,,중개거래,인헌12길,1707
11620,봉천동,낙성대현대홈타운,114.919,4,2002,2026,3,5,122500,,,중개거래,솔밭로7길,1713
11620,봉천동,봉천우성,114.78,4,2000,2026,3,31,112000,,,중개거래,관악로30길,1706
11620,봉천동,은천2단지아파트,49.95,3,2000,2026,3,30,56300,,,중개거래,인헌12길,1707-1
11620,신림동,건영2,73.48,8,1988,2026,3,31,57800,,,중개거래,난곡로35길,721-2
11620,봉천동,벽산블루밍,59.99,15,2005,2026,3,31,105000,,,중개거래,은천로,1718
11620,봉천동,두산,114.99,6,2000,2026,3,30,128000,,,중개거래,은천로,1708
11620,봉천동,은천2단지아파트,59.93,10,2000,2026,3,23,70500,,,중개거래,인헌12길,1707-1
11620,신림동,국제산장,84.15,8,1993,2026,3,28,51300,,,중개거래,호암로,1693
11620,봉천동,관악드림(동아),84.96,6,2003,2026,3,30,124000,,,중개거래,성현로,1712
11620,봉천동,벽산블루밍,84.99,16,2005,2026,3,30,117000,,,중개거래,은천로,1718
11620,봉천동,두산,84.87,8,2000,2026,3,30,133000,,,중개거래,봉천로,1708
11620,봉천동,휴먼아파트A,44.01,6,2002,2026,3,30,32500,,,중개거래,인헌1길,1644-26
11620,봉천동,은천2단지아파트,59.93,14,2000,2026,3,30,71500,,,중개거래,인헌12길,1707-1
11620,신림동,건영2,43.92,4,1988,2026,3,28,35000,,,중개거래,난곡로35길,721-2
11620,신림동,LIG대학마을(건영아파트3차),58.9,4,1996,2026,3,30,54700,,,중개거래,신림로3길,1703-1
11620,신림동,힐스테이트뉴포레,44.9796,20,2022,2026,3,29,107000,,,중개거래,조원로,1746
11620,신림동,라이프미성,91.24,6,1982,2026,3,20,85000,,,중개거래,조원로2길,1656
11620,봉천동,관악푸르지오,59.58,12,2004,2026,3,29,114000,,,중개거래,관악로30길,1717
11620,신림동,신림동신도브래뉴,84.95,15,2003,2026,3,28,92500,,,중개거래,조원로16길,1722
11620,봉천동,두산,59.92,11,2000,2026,3,28,122000,,,중개거래,봉천로,1708
11620,신림동,관악산휴먼시아2단지,59.96,4,2008,2026,3,28,61600,,,중개거래,난곡로,1735
11620,신림동,관악산휴먼시아2단지,84.97,6,2008,2026,3,28,72000,,,중개거래,난곡로,1735
11620,봉천동,두산,114.99,16,2000,2026,3,28,139500,,,중개거래,봉천로,1708
11620,봉천동,봉천동아,84.87,23,2000,2026,3,28,112500,,,중개거래,관악로,1703
11620,봉천동,관악월드메르디앙,84.56,5,2005,2026,3,27,81000,,,중개거래,관악로28길,1724
11620,봉천동,은천2단지아파트,59.93,3,2000,2026,3,28,74000,,,중개거래,인헌12길,1707-1
11620,봉천동,관악푸르지오,59.58,11,2004,2026,3,28,114000,,,중개거래,관악로30길,1717
11620,봉천동,관악드림(삼성),59.83,17,2003,2026,3,28,119000,,,중개거래,성현로,1712
11620,신림동,국제산장,84.15,10,1993,2026,3,28,46000,,,중개거래,호암로,1693
11620,봉천동,관악드림(삼성),84.96,18,2003,2026,3,27,124500,,,중개거래,성현로,1712
11620,신림동,국제산장,84.15,9,1993,2026,3,26,48300,,,중개거래,호암로,1693
11620,신림동,상목에버빌B,81.595,5,2004,2026,3,26,47700,,,중개거래,호암로,1559-19
11620,봉천동,두산,59.92,5,2000,2026,3,27,112000,,,중개거래,은천로,1708
11620,봉천동,낙성대현대홈타운,84.923,7,2002,2026,3,27,113000,,,중개거래,솔밭로7길,1713
11620,신림동,그대家,84.77,10,2003,2026,3,27,66300,,,중개거래,난곡로,1727
11620,봉천동,벽산블루밍3차,59.8,5,2004,2026,3,26,97500,,,중개거래,은천로15길,1720
11620,봉천동,신부,84.03,2,2002,2026,3,26,57500,,,중개거래,중앙길,457-146
11620,신림동,신림동쌍용아파트,59.26,4,1998,2026,3,25,50000,,,중개거래,미성길,1686
11620,봉천동,벽산블루밍,59.99,3,2005,2026,3,25,96000,,,중개거래,은천로,1718
11620,봉천동,두산,114.99,23,2000,2026,3,13,137000,,,중개거래,봉천로,1708
11620,봉천동,봉천우성,84.96,2,2000,2026,3,25,119000,,,중개거래,관악로30길,1706
11620,신림동,관악산휴먼시아1단지,84.97,12,2008,2026,3,25,73000,,,중개거래,난곡로,1735-1
11620,신림동,관악산휴먼시아2단지,84.97,13,2008,2026,3,25,73000,,,중개거래,난곡로,1735
11620,신림동,보라매스카이아파트(1739),74.5,2,2016,2026,3,23,69500,,,중개거래,관천로18길,1739
11620,신림동,힐스테이트뉴포레,59.9986,16,2022,2026,3,18,139000,,,중개거래,조원로,1746
