시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11650,잠원동,신반포16,52.32,4,1983,2026,1,9,299000,,,중개거래,잠원로,55-12
11650,반포동,엠브이아파트,83.4,13,1994,2026,1,28,218000,,,중개거래,고무래로10길,46
11650,잠원동,신반포2,137.66,6,1978,2026,1,29,700000,,,중개거래,신반포로23길,73
11650,서초동,비버리캐슬,59.49,3,2020,2026,1,19,115000,,,중개거래,반포대로9길,1486-17
11650,반포동,반포써밋,106.5162,12,2018,2026,1,24,449000,,,중개거래,고무래로,1342
11650,서초동,서초노빌리에,81.36,6,2006,2026,1,30,70000,,,직거래,서초대로46길,1566-19
11650,서초동,롯데캐슬클래식,133.45,2,2006,2026,1,30,390000,,,중개거래,서운로,1312-3
11650,반포동,반포자이,165.052,20,2009,2026,1,23,640000,,,중개거래,신반포로,20-43
11650,방배동,방배2차e-편한세상,164.53,3,2004,2026,1,24,275000,,,중개거래,서초대로33길,881-26
11650,방배동,방배래미안타워,134.36,14,2005,2026,1,28,265500,,,중개거래,남부순환로,485-3
11650,우면동,서초힐스,74.97,17,2012,2026,1,25,189000,,,중개거래,양재대로2길,773
11650,서초동,롯데캐슬클래식,120.18,6,2006,2026,1,24,367000,,,중개거래,서운로,1312-3
11650,반포동,래미안퍼스티지,59.96,21,2009,2026,1,31,435000,,,중개거래,반포대로,18-1
11650,서초동,대림서초리시온,49.92,3,2003,2026,1,30,50500,,,중개거래,서초중앙로22길,1671-5
11650,잠원동,신반포2,107.31,2,1978,2026,1,16,572000,,,중개거래,신반포로23길,73
11650,잠원동,신반포2,79.42,2,1978,2026,1,16,422701,,,직거래,신반포로23길,73
11650,반포동,현대동궁아파트,70.38,1,1991,2026,1,16,280000,,,중개거래,사평대로,64-5
11650,잠원동,신반포27,53.46,5,1985,2026,1,29,279000,,,중개거래,잠원로8길,56-2
11650,잠원동,신반포25,117.06,2,1984,2026,1,20,440000,,,중개거래,잠원로,61-1
11650,반포동,래미안원베일리,84.98,19,2023,2026,1,29,608000,,,중개거래,반포대로,1
11650,반포동,엠브이아파트,129.93,11,1994,2026,1,12,265000,,,중개거래,고무래로10길,46
11650,반포동,반포쎄레노아파트,73.6,5,2002,2026,1,31,87000,,,중개거래,주흥3길,742-10
11650,서초동,새티스,80.85,5,2003,2026,1,30,130000,,,중개거래,남부순환로337가길,1435-2
11650,방배동,방배2차e-편한세상,164.53,8,2004,2026,1,24,295400,,,중개거래,서초대로33길,881-26
11650,방배동,서리풀프라젠아파트,78.19,5,2020,2026,1,26,166400,,,중개거래,서초대로23길,3281
11650,서초동,서초이오빌,36.66,16,2003,2026,1,26,32500,,,중개거래,효령로53길,1593-7
11650,서초동,대성유니드,84.991,10,2004,2026,1,31,208000,,,중개거래,서초대로64길,1641-3
11650,반포동,반포자이,84.943,17,2009,2026,1,22,510000,,,중개거래,신반포로,20-43
11650,잠원동,신반포16,52.32,3,1983,2026,1,13,187119,,,직거래,잠원로,55-12
11650,방배동,삼호2,127.94,10,1976,2026,1,31,300000,,,중개거래,방배로43길,758-4
11650,서초동,서초이오빌,45.96,17,2003,2026,1,23,42000,,,중개거래,효령로53길,1593-7
11650,서초동,서초한빛삼성,110.59,8,1999,2026,1,28,246000,,,중개거래,서초대로40길,1509-1
11650,서초동,서초동아타워,178.58,11,1996,2026,1,27,128000,,,중개거래,서운로,1321-6
11650,서초동,래미안서초에스티지S,84.17,12,2018,2026,1,22,352000,,,중개거래,서운로,1754
11650,반포동,엠브이아파트,129.93,12,1994,2026,1,12,260000,,,중개거래,고무래로10길,46
11650,서초동,래미안서초에스티지S,84.96,16,2018,2026,1,21,355000,,,중개거래,서운로,1754
11650,방배동,삼호2,127.94,8,1976,2026,1,31,295000,,,중개거래,방배로43길,758-4
11650,서초동,래미안서초에스티지S,134.27,6,2018,2026,1,29,503000,,,중개거래,서운로,1754
11650,반포동,반포리체,84.972,19,2010,2026,1,28,450000,,,중개거래,고무래로,30-26
11650,방배동,방배대우유로카운티,216.15,2,2002,2026,1,21,405000,,,중개거래,방배로28길,847-34
11650,반포동,엠브이아파트,59.82,9,1994,2026,1,17,190000,,,중개거래,고무래로10길,46
11650,서초동,서초푸르지오써밋,104.19,3,2017,2026,1,31,400000,,,중개거래,서운로,1311-10
11650,서초동,래미안서초4차,133.14,2,2005,2026,1,12,229500,,,중개거래,남부순환로317길,1473-2
11650,양재동,우성,84.58,2,1991,2026,1,26,225000,,,중개거래,바우뫼로,154-2
11650,서초동,대림서초리시온,41.94,9,2003,2026,1,31,53000,,,중개거래,서초중앙로22길,1671-5
11650,서초동,더미켈란,244.98,9,2005,2026,1,20,407500,,,중개거래,명달로,1494-4
11650,방배동,방배임광3차,84,6,1988,2026,1,27,225000,,,중개거래,방배로2길,1010-1
11650,우면동,서초힐스,59.97,12,2012,2026,1,28,180000,,,중개거래,양재대로2길,773
11650,반포동,엠브이아파트,129.93,1,1994,2026,1,31,225000,,,중개거래,고무래로10길,46
11650,서초동,서초래미안,111.32,14,2003,2026,1,29,320000,,,중개거래,서초대로65길,1682
11650,잠원동,대우아이빌,35.38,12,2001,2026,1,28,64000,,,중개거래,신반포로45길,42-13
11650,서초동,래미안서초에스티지S,84.8,6,2018,2026,1,29,358000,,,중개거래,서운로,1754
11650,서초동,서초동삼성쉐르빌2,52.83,17,2002,2026,1,19,67500,,,중개거래,강남대로53길,1330
11650,서초동,더샵서초,33.06,26,2006,2026,1,21,67000,,,중개거래,서초중앙로2길,1445-14
11650,서초동,서초그랑자이,59.98,34,2021,2026,1,26,355000,,,중개거래,효령로,1757
11650,잠원동,한신,84.52,11,1992,2026,1,24,358500,,,중개거래,잠원로,56-3
11650,서초동,현대아파트,62.05,5,1989,2026,1,6,180000,,,중개거래,효령로72길,1346
11650,반포동,반포자이,84.943,18,2009,2026,1,19,520000,,,중개거래,신반포로,20-43
11650,잠원동,잠원아이비,84.969,5,2005,2026,1,22,143000,,,중개거래,강남대로95길,34-1
11650,방배동,방배그랑자이,84.972,19,2021,2026,1,17,340000,,,중개거래,방배로,3283
11650,잠원동,래미안신반포리오센트,59.95,15,2019,2026,1,26,357000,,,중개거래,잠원로14길,161
11650,서초동,대림서초리시온,49.92,6,2003,2026,1,27,41500,,,직거래,서초중앙로22길,1671-5
11650,반포동,반포훼미리(101동),108.5,11,2002,2026,1,13,146000,,,직거래,주흥11길,713-1
11650,서초동,우성아파트,59.93,18,1998,2026,1,10,218000,,,중개거래,서초대로74길,1326-17
11650,서초동,서초대우아이빌,35.307,8,2003,2026,1,9,30000,,,중개거래,서초대로58길,1675-11
11650,서초동,삼성서초가든스위트,181.5,8,2000,2026,1,21,399000,,,중개거래,서운로,1326
11650,양재동,우성KBS(113동),84.69,8,1996,2026,1,8,205000,,,중개거래,바우뫼로,160-2
11650,방배동,황실자이,186.983,14,2005,2026,1,17,345000,,,중개거래,서초대로,883-9
11650,서초동,래미안서초유니빌,42,7,2003,2026,1,23,45000,,,중개거래,서초중앙로,1445-4
11650,방배동,방배그랑자이,84.9712,10,2021,2026,1,17,340000,,,중개거래,방배로,3283
11650,우면동,동고,77.14,1,1995,2026,1,8,80000,,,직거래,바우뫼로7길,59
11650,방배동,서리풀e편한세상,108.28,5,2010,2026,1,24,333000,,,중개거래,효령로33길,906-13
11650,방배동,삼호한숲,84.87,4,1998,2026,1,27,181000,,,중개거래,방배로3길,1030-1
