시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11680,수서동,까치마을,34.44,3,1993,2026,1,1,141000,,,중개거래,광평로19길,746
11680,일원동,한솔마을,63.76,3,1994,2026,1,13,269000,,,중개거래,광평로10길,731
11680,역삼동,대우디오빌,59.505,21,2002,2026,1,17,80500,,,중개거래,언주로,720-25
11680,압구정동,한양3,161.9,5,1978,2026,1,19,775000,,,중개거래,압구정로,489
11680,압구정동,"현대1차(12,13,21,22,31,32,33동)",131.48,7,1976,2026,1,29,710000,,,중개거래,압구정로29길,369-1
11680,역삼동,진넥스빌2,29.44,10,2003,2026,1,30,22100,,,중개거래,언주로86길,706-24
11680,도곡동,한신(개포),52.72,9,1985,2026,1,25,320000,,,중개거래,언주로,464
11680,대치동,대치르엘,84.7735,6,2021,2026,1,30,377000,,,중개거래,도곡로93길,1030
11680,압구정동,한양1차(영동한양),63.87,3,1977,2026,1,24,540000,,,중개거래,압구정로,490
11680,세곡동,강남신동아파밀리에1단지,59.88,10,2011,2026,1,26,150000,,,중개거래,헌릉로590길,508
11680,역삼동,테헤란아이파크,70.8333,6,2014,2026,1,24,290000,,,중개거래,테헤란로52길,709-5
11680,역삼동,시티프라디움더강남201동,70.54,19,2021,2026,1,31,167000,,,중개거래,언주로,901
11680,도곡동,SK허브프리모,67.5,18,2006,2026,1,30,119000,,,중개거래,강남대로,953-1
11680,도곡동,럭키(963),124.1,11,1995,2026,1,29,311000,,,중개거래,논현로,963
11680,압구정동,한양2,175.92,12,1978,2026,1,22,845000,,,중개거래,압구정로,493
11680,압구정동,신현대11차,183.41,3,1983,2026,1,21,1100000,,,중개거래,압구정로,433
11680,개포동,현대1차101동~106동,177.19,3,1984,2026,1,23,425000,,,중개거래,개포로,653
11680,수서동,까치마을,34.44,4,1993,2026,1,27,150000,,,중개거래,광평로19길,746
11680,삼성동,LG선릉에클라트(B),36.35,10,2004,2026,1,20,35000,,,중개거래,테헤란로63길,142-3
11680,압구정동,신현대9차,109.24,10,1982,2026,1,12,700000,,,중개거래,압구정로,426
11680,압구정동,미성2차,74.4,11,1987,2026,1,24,500000,,,중개거래,압구정로,397
11680,도곡동,도곡렉슬,176.9924,21,2006,2026,1,20,650000,,,중개거래,선릉로,527
