시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11710,삼전동,현대1,80.01,7,1989,2026,3,4,150000,,,중개거래,백제고분로22길,39
11710,마천동,마천금호어울림1차아파트,114.81,13,2002,2026,3,24,114000,,,중개거래,성내천로,575
11710,가락동,주성드림펠리스,109.45,2,2004,2026,3,20,110000,,,중개거래,오금로,160-1
11710,잠실동,트리지움,59.88,19,2007,2026,3,30,275000,,,중개거래,잠실로,35
11710,방이동,올림픽선수기자촌3단지,83.06,3,1988,2026,3,26,290000,,,중개거래,양재대로,89
11710,문정동,문정시영,35.46,7,1989,2026,3,21,85000,,,중개거래,송이로31길,145
11710,가락동,헬리오시티,84.98,20,2018,2026,3,28,270000,,,중개거래,송파대로,913
11710,문정동,문정시영,39.69,7,1989,2026,3,28,106000,,,중개거래,송이로31길,145
11710,가락동,한화오벨리스크,30.25,18,2004,2026,3,21,23000,,,중개거래,중대로,78-1
11710,잠실동,트리지움,149.45,20,2007,2026,3,28,390000,,,중개거래,잠실로,35
11710,신천동,롯데캐슬골드,148.15,26,2005,2026,3,22,320000,,,중개거래,올림픽로,7-18
11710,풍납동,현대리버빌2지구,114.88,3,1999,2026,3,2,167000,,,중개거래,풍성로24길,261
11710,잠실동,트리지움,84.83,17,2007,2026,3,28,300000,,,중개거래,잠실로,35
11710,장지동,송파파인타운9단지,59.95,14,2007,2026,3,14,170000,,,중개거래,송파대로8길,843
11710,풍납동,한강극동,114.76,15,1995,2026,3,7,200500,,,중개거래,토성로,508
11710,문정동,문정시영,46.26,8,1989,2026,3,28,115000,,,중개거래,송이로31길,145
11710,문정동,문정시영,46.26,10,1989,2026,3,20,109500,,,중개거래,송이로31길,145
11710,방이동,올림픽선수기자촌1단지,83.06,11,1988,2026,3,31,277500,,,중개거래,양재대로,89
11710,석촌동,잠실한솔,84.87,11,2000,2026,3,25,189000,,,중개거래,백제고분로,285
11710,문정동,문정시영,25.65,7,1989,2026,3,28,71000,,,중개거래,송이로31길,145
11710,신천동,파크리오,121.63,12,2008,2026,3,20,330000,,,중개거래,올림픽로,17
11710,방이동,광명아파트,56.63,7,2007,2026,3,31,65000,,,중개거래,백제고분로48나길,120-2
11710,문정동,문정시영,25.65,4,1989,2026,3,28,68500,,,중개거래,송이로31길,145
11710,잠실동,리센츠,124.22,30,2008,2026,3,28,398500,,,중개거래,올림픽로,22
11710,가락동,sk파크타워,84.85,6,2003,2026,3,31,126000,,,중개거래,오금로,166-2
11710,신천동,파크리오,59.95,15,2008,2026,3,19,275000,,,중개거래,올림픽로,17
11710,삼전동,현대1,80.01,2,1989,2026,3,28,135000,,,중개거래,백제고분로22길,39
11710,문정동,보라뷰,84.88,5,2003,2026,3,28,81300,,,중개거래,송이로30길,91-19
11710,풍납동,잠실올림픽공원아이파크,59.93,27,2019,2026,3,30,215000,,,직거래,올림픽로43길,514
11710,가락동,헬리오시티,99.6,24,2018,2026,3,27,303000,,,중개거래,송파대로,913
11710,거여동,거여1단지,39.6,6,1997,2026,3,20,89000,,,중개거래,양산로8길,290
11710,잠실동,리센츠,84.99,17,2008,2026,3,30,350000,,,중개거래,올림픽로,22
11710,오금동,다성이즈빌클래식,167.4,4,2003,2026,3,22,104000,,,중개거래,성내천로,75
