시군구코드,법정동,단지명,전용면적,층,건축년도,계약년도,계약월,계약일,거래금액,해제여부,해제사유발생일,거래유형,도로명,지번
11740,천호동,동아하이빌아파트,84.97,12,2000,2026,3,11,106200,,,중개거래,구천면로,217-132
11740,명일동,래미안솔베뉴,49.66,13,2019,2026,3,30,150000,,,중개거래,양재대로,359
11740,성내동,성내동삼성아파트,84.99,19,1999,2026,3,28,160000,,,중개거래,풍성로,590
11740,명일동,시앤디아파트,54.46,7,2025,2026,3,31,80000,,,중개거래,양재대로130길,360
11740,천호동,우성,64.53,4,1985,2026,3,27,116000,,,중개거래,구천면로,19-1
11740,천호동,광남벨라스643V(50-7),84.66,2,2003,2026,3,26,55000,,,직거래,양재대로121길,50-7
11740,고덕동,고덕 아이파크,177.99,10,2011,2026,3,30,216000,,,직거래,동남로79길,499
11740,천호동,강동역두산위브센티움,59.96,10,2004,2026,3,31,74000,,,중개거래,성안로,155-5
11740,둔촌동,프라자,83.4,14,1984,2026,3,26,82000,,,중개거래,천호대로,603
11740,길동,서한베네치아,107.33,7,2005,2026,3,31,68000,,,중개거래,명일로,143-4
11740,성내동,현대상가,111,4,1993,2026,3,27,69700,,,중개거래,성안로,383-11
11740,강일동,강동리버스트4단지,49.82,13,2020,2026,3,20,92000,,,중개거래,아리수로93가길,114
11740,강일동,강일리버파크7단지,84.53,3,2009,2026,3,23,125500,,,중개거래,아리수로98길,686
11740,상일동,고덕아르테온,84.97,8,2020,2026,3,28,233000,,,중개거래,고덕로,519
11740,명일동,신동아,81.07,11,1986,2026,3,27,204500,,,중개거래,고덕로,44
11740,천호동,두산위브센티움,31.37,7,2004,2026,3,31,15500,,,중개거래,올림픽로70길,414
11740,성내동,에스케이허브진,47.36,14,2004,2026,3,23,63000,,,중개거래,천호대로,194
11740,성내동,우림루미아트,84.5,2,2004,2026,3,30,83500,,,중개거래,양재대로101길,599
11740,성내동,현대,84.56,5,1987,2026,3,30,115000,,,중개거래,천호옛12길,30-2
11740,길동,경지Arium,14.33,3,2019,2026,3,30,16000,,,중개거래,천호대로177길,413-11
11740,성내동,라움,41.14,3,2004,2026,3,21,34700,,,중개거래,강동대로55길,439-2
11740,성내동,동원,84.66,8,2002,2026,3,28,87500,,,중개거래,성내로6나길,457-4
11740,고덕동,래미안힐스테이트고덕,97.26,9,2016,2026,3,30,234000,,,중개거래,아리수로50길,688
11740,상일동,고덕롯데캐슬베네루체,84.923,25,2019,2026,3,29,180000,,,중개거래,상암로79길,514
11740,길동,예전이룸2차,83.56,1,2004,2026,3,18,72000,,,중개거래,양재대로122가길,337-19
11740,강일동,힐스테이트리슈빌강일,84.8942,3,2023,2026,3,5,147000,,,중개거래,아리수로93다길,72
11740,길동,신동아4,81.2,2,1999,2026,3,30,50000,,,직거래,명일로,92
11740,둔촌동,현대2,59.19,8,1988,2026,3,23,113000,,,중개거래,풍성로65길,70-5
11740,성내동,파라디아,84.92,5,2010,2026,3,30,120000,,,중개거래,천호옛길,605
11740,성내동,한영해시안아파트,64.24,10,2022,2026,3,28,93500,,,중개거래,성내로,552-1
11740,천호동,현대코아아파트,83.55,22,1999,2026,3,21,83000,,,중개거래,천호대로,565
11740,성내동,건영아모리움,11.6657,7,2017,2026,3,31,12700,,,중개거래,천호대로176길,244-6
11740,둔촌동,더샵둔촌포레,95.2435,9,1984,2026,3,28,185000,,,중개거래,동남로49길,30-4
11740,천호동,천호역마에스트로,38.1851,8,2025,2026,3,31,68000,,,중개거래,올림픽로,334-2
11740,천호동,금호아파트,27.61,10,1987,2026,3,28,35000,,,중개거래,양재대로,44
11740,천호동,중앙하이츠,59.85,2,1998,2026,3,30,80000,,,중개거래,구천면로41길,305
11740,명일동,래미안솔베뉴,59.25,16,2019,2026,3,31,173000,,,중개거래,양재대로,359
11740,천호동,로뎀,84.93,4,2003,2026,3,21,75000,,,중개거래,천중로12길,362
11740,암사동,정산(102동),83.42,3,2001,2026,3,30,77000,,,중개거래,올림픽로104길,441-2
11740,강일동,강일리버파크6단지,84.74,5,2009,2026,3,31,132000,,,중개거래,아리수로94길,684
11740,상일동,고덕센트럴IPARK,74.88,14,2019,2026,3,21,175000,,,중개거래,고덕로80길,513
11740,상일동,고덕아르테스미소지움,59.97,3,2022,2026,3,30,141000,,,중개거래,동남로,555
11740,상일동,고덕아르테온,84.97,11,2020,2026,3,16,228000,,,중개거래,고덕로,519
11740,암사동,현대홈타운,84.98,2,2004,2026,3,13,171000,,,중개거래,고덕로27길,400
11740,성내동,코오롱(1차),114.5,12,1999,2026,3,14,129400,,,중개거래,천호대로168길,196-8
11740,천호동,엘림스퀘어II,17.07,4,2019,2026,3,30,13000,,,중개거래,구천면로24길,416-12
11740,둔촌동,둔촌하이츠,59.79,15,1998,2026,3,31,110000,,,중개거래,명일로,545
11740,길동,길동우성,40.36,10,1994,2026,3,28,75000,,,중개거래,천호대로193길,400
11740,암사동,동양넥스빌,59.98,5,1999,2026,3,30,63000,,,중개거래,상암로,501-4
11740,명일동,고덕삼환아파트,84.644,10,1987,2026,3,27,139000,,,중개거래,고덕로62길,41
11740,명일동,명일지에스아파트,59.79,4,1999,2026,3,30,111000,,,중개거래,상암로51길,332
11740,상일동,고덕아르테온,84.93,10,2020,2026,3,3,226500,,,중개거래,고덕로,519
11740,성내동,둔촌역청구,59.96,1,1999,2026,3,21,108500,,,중개거래,풍성로,419-1
11740,강일동,강동리버스트8단지,49.74,5,2021,2026,3,26,93500,,,중개거래,아리수로93나길,66
11740,천호동,천호롯데아파트,59.99,2,1999,2026,3,30,67800,,,중개거래,천중로,55-4
11740,상일동,고덕롯데캐슬베네루체,59.981,8,2019,2026,3,30,157000,,,중개거래,상암로79길,514
11740,천호동,강동역두산위브센티움,59.96,9,2004,2026,3,9,69000,,,중개거래,성안로,155-5
11740,강일동,강동리버스트8단지,49.8,10,2021,2026,3,29,95500,,,중개거래,아리수로93나길,66
11740,성내동,에스케이허브진,33.71,13,2004,2026,3,30,30000,,,중개거래,천호대로,194
11740,명일동,삼익그린2차,42.93,6,1983,2026,3,28,146000,,,중개거래,고덕로,15
11740,고덕동,래미안힐스테이트고덕,59.96,3,2016,2026,3,28,184000,,,중개거래,아리수로50길,688
11740,고덕동,고덕센트럴푸르지오,59.14,27,2020,2026,3,28,154500,,,중개거래,고덕로,210-1
11740,고덕동,배재현대,59.94,8,1995,2026,3,28,144000,,,중개거래,고덕로61길,312
11740,명일동,삼익그린2차,54.81,1,1983,2026,3,28,160000,,,중개거래,고덕로,15
11740,명일동,래미안솔베뉴,59.25,23,2019,2026,3,28,175000,,,중개거래,양재대로,359
11740,둔촌동,신동아파밀리에,84.54,3,2002,2026,3,27,145000,,,중개거래,양재대로96길,555
11740,천호동,천호1차우림루미아트,84.69,2,2004,2026,3,28,76000,,,중개거래,천중로39길,47-24
11740,명일동,래미안솔베뉴,59.11,5,2019,2026,3,28,175000,,,중개거래,양재대로,359
11740,둔촌동,프라자,83.4,14,1984,2026,3,28,138500,,,중개거래,천호대로,603
11740,성내동,아이퍼스트빌,15.94,6,2012,2026,3,27,14000,,,중개거래,천호대로174길,199-18
11740,고덕동,고덕그라시움,59.052,9,2019,2026,3,27,205000,,,중개거래,고덕로,693
11740,천호동,래미안강동팰리스,59.98,19,2017,2026,3,23,161500,,,중개거래,천호대로,571
11740,둔촌동,올림픽파크포레온,39.95,11,2024,2026,3,27,180000,,,중개거래,양재대로,633
11740,길동,이편한세상강동에코포레,59.99,2,2020,2026,3,27,138000,,,중개거래,천중로,477
11740,명일동,현대(고덕),131.83,10,1986,2026,3,27,230000,,,중개거래,동남로71길,56
11740,고덕동,고덕그라시움,73.566,19,2019,2026,3,27,210000,,,중개거래,고덕로,693
11740,암사동,선사현대아파트,59.64,17,2000,2026,3,26,155000,,,중개거래,상암로,509
11740,명일동,명일우성,84.93,7,1986,2026,3,27,208500,,,중개거래,고덕로62길,42
11740,천호동,율전에버그린아파트,78.73,7,2005,2026,3,27,63700,,,중개거래,천중로39길,54-7
11740,상일동,중앙하이츠,84.23,5,1992,2026,3,26,135000,,,중개거래,구천면로,476
11740,고덕동,아남1,84.91,11,1996,2026,3,26,159000,,,중개거래,양재대로,486
11740,상일동,고덕아르테온,59.98,19,2020,2026,3,26,183000,,,중개거래,고덕로,519
11740,명일동,삼익그린2차,54.81,6,1983,2026,3,26,171000,,,중개거래,고덕로,15
11740,둔촌동,더샵파크솔레이유,59.86,9,2023,2026,3,21,143500,,,중개거래,진황도로61길,654
11740,고덕동,고덕그라시움,84.244,3,2019,2026,3,26,222500,,,중개거래,고덕로,693
11740,강일동,강동리버스트8단지,59.97,21,2021,2026,3,26,118000,,,중개거래,아리수로93나길,66
11740,길동,에이치비골드빌(103동),62.39,6,2004,2026,3,17,59800,,,중개거래,성안로,384-5
11740,암사동,동원베네스트,84.82,3,2002,2026,3,26,81500,,,중개거래,고덕로,670
11740,강일동,강동리버스트8단지,49.8,2,2021,2026,3,25,79800,,,중개거래,아리수로93나길,66
11740,강일동,강동리버스트8단지,49.74,1,2021,2026,3,25,89400,,,중개거래,아리수로93나길,66
11740,성내동,코오롱(1차),114.5,4,1999,2026,3,23,118000,,,중개거래,천호대로168길,196-8
